Country,y,f,Total installed capacity (GW),Source
BEN,2020,GAS,0.08,Natural Gas
BEN,2020,HFO,0.12576,Heavy Fuel Oil
BEN,2020,HYD,0.4359999999999999,Hydropower
BEN,2020,LFO,0.0971214789045165,Light Fuel Oil
BEN,2020,SOL,0.00795,Solar
BEN,2021,GAS,0.076,Natural Gas
BEN,2021,HFO,0.124472,Heavy Fuel Oil
BEN,2021,HYD,0.4359999999999999,Hydropower
BEN,2021,LFO,0.0925467789045165,Light Fuel Oil
BEN,2021,SOL,0.0079,Solar
BEN,2022,GAS,0.154194023753472,Natural Gas
BEN,2022,HFO,0.123184,Heavy Fuel Oil
BEN,2022,HYD,0.4359999999999999,Hydropower
BEN,2022,LFO,0.0879720789045165,Light Fuel Oil
BEN,2022,SOL,0.00785,Solar
BEN,2023,GAS,0.150194023753472,Natural Gas
BEN,2023,HFO,0.121896,Heavy Fuel Oil
BEN,2023,HYD,0.4359999999999999,Hydropower
BEN,2023,LFO,0.0833973789045165,Light Fuel Oil
BEN,2023,SOL,0.0078,Solar
BEN,2024,GAS,0.146194023753472,Natural Gas
BEN,2024,HFO,0.120608,Heavy Fuel Oil
BEN,2024,HYD,0.4359999999999999,Hydropower
BEN,2024,LFO,0.0788226789045165,Light Fuel Oil
BEN,2024,SOL,0.00775,Solar
BEN,2025,GAS,0.142194023753472,Natural Gas
BEN,2025,HFO,0.11932,Heavy Fuel Oil
BEN,2025,HYD,0.4359999999999999,Hydropower
BEN,2025,LFO,0.071680032791416,Light Fuel Oil
BEN,2025,SOL,0.0077,Solar
BEN,2026,GAS,0.138194023753472,Natural Gas
BEN,2026,HFO,0.118032,Heavy Fuel Oil
BEN,2026,HYD,0.539682140151749,Hydropower
BEN,2026,LFO,0.067105332791416,Light Fuel Oil
BEN,2026,SOL,0.00765,Solar
BEN,2027,GAS,0.134194023753472,Natural Gas
BEN,2027,HFO,0.116744,Heavy Fuel Oil
BEN,2027,HYD,0.539682140151749,Hydropower
BEN,2027,LFO,0.0604612738800773,Light Fuel Oil
BEN,2027,SOL,0.0076,Solar
BEN,2028,GAS,0.130194023753472,Natural Gas
BEN,2028,HFO,0.115456,Heavy Fuel Oil
BEN,2028,HYD,0.539682140151749,Hydropower
BEN,2028,LFO,0.0548964,Light Fuel Oil
BEN,2028,SOL,0.00755,Solar
BEN,2029,GAS,0.126194023753472,Natural Gas
BEN,2029,HFO,0.114168,Heavy Fuel Oil
BEN,2029,HYD,0.539682140151749,Hydropower
BEN,2029,LFO,0.0503217,Light Fuel Oil
BEN,2029,SOL,0.0226298738953312,Solar
BEN,2030,GAS,0.1221940237534719,Natural Gas
BEN,2030,HFO,0.11288,Heavy Fuel Oil
BEN,2030,HYD,0.539682140151749,Hydropower
BEN,2030,LFO,0.045747,Light Fuel Oil
BEN,2030,SOL,0.0466848986623842,Solar
