Country,y,f,Total installed capacity (GW),Source
CAF,2020,HYD,0.018751,Hydropower
CAF,2020,LFO,0.043863142530743,Light Fuel Oil
CAF,2021,BIO,0.034439379890634,Biomass
CAF,2021,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2021,HYD,0.018751,Hydropower
CAF,2021,LFO,0.043491492530743,Light Fuel Oil
CAF,2022,BIO,0.034439379890634,Biomass
CAF,2022,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2022,HYD,0.018751,Hydropower
CAF,2022,LFO,0.043119842530743,Light Fuel Oil
CAF,2023,BIO,0.034439379890634,Biomass
CAF,2023,COA,0.0410640678530149,Coal
CAF,2023,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2023,HYD,0.018751,Hydropower
CAF,2023,LFO,0.0427481925307429,Light Fuel Oil
CAF,2024,BIO,0.034439379890634,Biomass
CAF,2024,COA,0.0599922589381477,Coal
CAF,2024,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2024,HYD,0.018751,Hydropower
CAF,2024,LFO,0.0423765425307429,Light Fuel Oil
CAF,2025,BIO,0.034439379890634,Biomass
CAF,2025,COA,0.0797622599043025,Coal
CAF,2025,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2025,HYD,0.018751,Hydropower
CAF,2025,LFO,0.0057824894529222,Light Fuel Oil
CAF,2026,BIO,0.034439379890634,Biomass
CAF,2026,COA,0.0797622599043025,Coal
CAF,2026,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2026,HYD,0.0537909935338088,Hydropower
CAF,2026,LFO,0.0052031,Light Fuel Oil
CAF,2026,SOL,0.0034290262114578,Solar
CAF,2027,BIO,0.034439379890634,Biomass
CAF,2027,COA,0.0797622599043025,Coal
CAF,2027,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2027,HYD,0.0635757178725995,Hydropower
CAF,2027,LFO,0.00483145,Light Fuel Oil
CAF,2027,SOL,0.0070474551202888,Solar
CAF,2028,BIO,0.034439379890634,Biomass
CAF,2028,COA,0.0797622599043025,Coal
CAF,2028,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2028,HYD,0.0725768411754053,Hydropower
CAF,2028,LFO,0.0044598,Light Fuel Oil
CAF,2028,SOL,0.0115689017901654,Solar
CAF,2029,BIO,0.034439379890634,Biomass
CAF,2029,COA,0.0797622599043025,Coal
CAF,2029,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2029,HYD,0.0815722175389598,Hydropower
CAF,2029,LFO,0.00408815,Light Fuel Oil
CAF,2029,SOL,0.0161307269927431,Solar
CAF,2030,BIO,0.034439379890634,Biomass
CAF,2030,COA,0.0797622599043025,Coal
CAF,2030,HFO,0.0138779297471817,Heavy Fuel Oil
CAF,2030,HYD,0.0856049708615305,Hydropower
CAF,2030,LFO,0.0037165,Light Fuel Oil
CAF,2030,SOL,0.0267255989718877,Solar
