Country,y,f,Total installed capacity (GW),Source
COG,2020,BIO,0.0085,Biomass
COG,2020,GAS,0.4572161531425455,Natural Gas
COG,2020,HFO,0.01915,Heavy Fuel Oil
COG,2020,HYD,0.2132,Hydropower
COG,2020,LFO,0.246930654380621,Light Fuel Oil
COG,2020,SOL,0.00095,Solar
COG,2021,BIO,0.008075,Biomass
COG,2021,GAS,0.5058170223828136,Natural Gas
COG,2021,HFO,0.0181925,Heavy Fuel Oil
COG,2021,HYD,0.2132,Hydropower
COG,2021,LFO,0.245212654380621,Light Fuel Oil
COG,2021,SOL,0.0009,Solar
COG,2022,BIO,0.00765,Biomass
COG,2022,GAS,0.5631513816694521,Natural Gas
COG,2022,HFO,0.017235,Heavy Fuel Oil
COG,2022,HYD,0.2132,Hydropower
COG,2022,LFO,0.243494654380621,Light Fuel Oil
COG,2022,SOL,0.00085,Solar
COG,2023,BIO,0.007225,Biomass
COG,2023,GAS,0.590552106111785,Natural Gas
COG,2023,HFO,0.0162775,Heavy Fuel Oil
COG,2023,HYD,0.2132,Hydropower
COG,2023,LFO,0.241776654380621,Light Fuel Oil
COG,2023,SOL,0.0008,Solar
COG,2024,BIO,0.0068,Biomass
COG,2024,GAS,0.6059665642952028,Natural Gas
COG,2024,HFO,0.01532,Heavy Fuel Oil
COG,2024,HYD,0.2132,Hydropower
COG,2024,LFO,0.240058654380621,Light Fuel Oil
COG,2024,SOL,0.00075,Solar
COG,2025,BIO,0.00425,Biomass
COG,2025,GAS,0.6246123510238848,Natural Gas
COG,2025,HFO,0.0143625,Heavy Fuel Oil
COG,2025,HYD,0.2132,Hydropower
COG,2025,LFO,0.1677553618118192,Light Fuel Oil
COG,2025,SOL,0.0007,Solar
COG,2026,BIO,0.003825,Biomass
COG,2026,GAS,0.6753651428193446,Natural Gas
COG,2026,HFO,0.013405,Heavy Fuel Oil
COG,2026,HYD,0.2132,Hydropower
COG,2026,LFO,0.11952979502267,Light Fuel Oil
COG,2026,SOL,0.00065,Solar
COG,2027,BIO,0.0034,Biomass
COG,2027,GAS,0.6889274512840468,Natural Gas
COG,2027,HFO,0.0124475,Heavy Fuel Oil
COG,2027,HYD,0.2132,Hydropower
COG,2027,LFO,0.0819072569539552,Light Fuel Oil
COG,2027,SOL,0.0006,Solar
COG,2028,BIO,0.002975,Biomass
COG,2028,GAS,0.694616025993008,Natural Gas
COG,2028,HFO,0.01149,Heavy Fuel Oil
COG,2028,HYD,0.2132,Hydropower
COG,2028,LFO,0.020616,Light Fuel Oil
COG,2028,SOL,0.0283886928748866,Solar
COG,2029,BIO,0.00255,Biomass
COG,2029,GAS,0.7123074227819237,Natural Gas
COG,2029,HFO,0.0105325,Heavy Fuel Oil
COG,2029,HYD,0.2132,Hydropower
COG,2029,LFO,0.018898,Light Fuel Oil
COG,2029,SOL,0.059578242990136,Solar
COG,2030,BIO,0.002125,Biomass
COG,2030,GAS,0.6994219754613341,Natural Gas
COG,2030,HFO,0.009575,Heavy Fuel Oil
COG,2030,HYD,0.2132,Hydropower
COG,2030,LFO,0.01718,Light Fuel Oil
COG,2030,SOL,0.1395954834730506,Solar
