Country,y,f,Total installed capacity (GW),Source
DJI,2020,HFO,0.094,Heavy Fuel Oil
DJI,2020,LFO,0.0827041840342774,Light Fuel Oil
DJI,2021,GEO,0.03,Geothermal
DJI,2021,HFO,0.0893,Heavy Fuel Oil
DJI,2021,LFO,0.0788291840342774,Light Fuel Oil
DJI,2022,GEO,0.03,Geothermal
DJI,2022,HFO,0.0846,Heavy Fuel Oil
DJI,2022,LFO,0.0749541840342774,Light Fuel Oil
DJI,2023,GEO,0.03,Geothermal
DJI,2023,HFO,0.0799,Heavy Fuel Oil
DJI,2023,LFO,0.0710791840342774,Light Fuel Oil
DJI,2024,GEO,0.03,Geothermal
DJI,2024,HFO,0.0752,Heavy Fuel Oil
DJI,2024,LFO,0.0672041840342774,Light Fuel Oil
DJI,2025,GEO,0.03,Geothermal
DJI,2025,HFO,0.0705,Heavy Fuel Oil
DJI,2025,LFO,0.0633291840342774,Light Fuel Oil
DJI,2026,GEO,0.0583881618486856,Geothermal
DJI,2026,HFO,0.0658,Heavy Fuel Oil
DJI,2026,LFO,0.0594541840342774,Light Fuel Oil
DJI,2027,GEO,0.11403243413266,Geothermal
DJI,2027,HFO,0.0611,Heavy Fuel Oil
DJI,2027,LFO,0.0513528245627735,Light Fuel Oil
DJI,2028,GEO,0.1158481947987935,Geothermal
DJI,2028,HFO,0.0564,Heavy Fuel Oil
DJI,2028,LFO,0.0465,Light Fuel Oil
DJI,2029,GEO,0.1382167970215655,Geothermal
DJI,2029,HFO,0.0517,Heavy Fuel Oil
DJI,2029,LFO,0.042625,Light Fuel Oil
DJI,2030,GEO,0.1565235115557194,Geothermal
DJI,2030,HFO,0.047,Heavy Fuel Oil
DJI,2030,LFO,0.03875,Light Fuel Oil
DJI,2030,SOL,0.0247036357906621,Solar
