Country,y,f,Total installed capacity (GW),Source
ERI,2020,HFO,0.12929,Heavy Fuel Oil
ERI,2020,LFO,0.0412926837449676,Light Fuel Oil
ERI,2020,SOL,0.001,Solar
ERI,2020,WIN,0.00063,Wind
ERI,2021,BIO,0.0093425161316617,Biomass
ERI,2021,HFO,0.1228255,Heavy Fuel Oil
ERI,2021,LFO,0.0394226837449676,Light Fuel Oil
ERI,2021,SOL,0.001,Solar
ERI,2021,WIN,0.0005985,Wind
ERI,2022,BIO,0.0224588105680812,Biomass
ERI,2022,HFO,0.116361,Heavy Fuel Oil
ERI,2022,LFO,0.0375526837449676,Light Fuel Oil
ERI,2022,SOL,0.001,Solar
ERI,2022,WIN,0.000567,Wind
ERI,2023,BIO,0.0347825980118861,Biomass
ERI,2023,HFO,0.1098965,Heavy Fuel Oil
ERI,2023,LFO,0.0356826837449676,Light Fuel Oil
ERI,2023,SOL,0.0101624688126709,Solar
ERI,2023,WIN,0.0005355,Wind
ERI,2024,BIO,0.0347825980118861,Biomass
ERI,2024,GEO,0.0752383060492619,Geothermal
ERI,2024,HFO,0.103432,Heavy Fuel Oil
ERI,2024,LFO,0.0338126837449676,Light Fuel Oil
ERI,2024,SOL,0.0101624688126709,Solar
ERI,2024,WIN,0.000504,Wind
ERI,2025,BIO,0.0347825980118861,Biomass
ERI,2025,GEO,0.0921652021984903,Geothermal
ERI,2025,HFO,0.0969675,Heavy Fuel Oil
ERI,2025,LFO,0.0319426837449676,Light Fuel Oil
ERI,2025,SOL,0.0101624688126709,Solar
ERI,2025,WIN,0.0004725,Wind
ERI,2026,BIO,0.0347825980118861,Biomass
ERI,2026,GEO,0.1091027297273056,Geothermal
ERI,2026,HFO,0.090503,Heavy Fuel Oil
ERI,2026,LFO,0.0300726837449675,Light Fuel Oil
ERI,2026,SOL,0.0101624688126709,Solar
ERI,2026,WIN,0.000441,Wind
ERI,2027,BIO,0.0347825980118861,Biomass
ERI,2027,GEO,0.1204405184883365,Geothermal
ERI,2027,HFO,0.0840385,Heavy Fuel Oil
ERI,2027,LFO,0.0282026837449675,Light Fuel Oil
ERI,2027,SOL,0.0151674833659393,Solar
ERI,2027,WIN,0.0004095,Wind
ERI,2028,BIO,0.0347825980118861,Biomass
ERI,2028,GEO,0.1241072687946508,Geothermal
ERI,2028,HFO,0.077574,Heavy Fuel Oil
ERI,2028,LFO,0.02244,Light Fuel Oil
ERI,2028,SOL,0.042518748045314,Solar
ERI,2028,WIN,0.000378,Wind
ERI,2029,BIO,0.0347825980118861,Biomass
ERI,2029,GEO,0.1314537981228508,Geothermal
ERI,2029,HFO,0.0711095,Heavy Fuel Oil
ERI,2029,LFO,0.02057,Light Fuel Oil
ERI,2029,SOL,0.0563851132308186,Solar
ERI,2029,WIN,0.0003465,Wind
ERI,2030,BIO,0.0347825980118861,Biomass
ERI,2030,GEO,0.1422570097937862,Geothermal
ERI,2030,HFO,0.064645,Heavy Fuel Oil
ERI,2030,LFO,0.0187,Light Fuel Oil
ERI,2030,SOL,0.0802457425219487,Solar
ERI,2030,WIN,0.000315,Wind
