Country,y,f,Total installed capacity (GW),Source
GNB,2020,LFO,0.0533974225351391,Light Fuel Oil
GNB,2020,SOL,0.0002964,Solar
GNB,2021,LFO,0.0517666725351391,Light Fuel Oil
GNB,2021,SOL,0.0137767572820548,Solar
GNB,2022,LFO,0.0501359225351391,Light Fuel Oil
GNB,2022,SOL,0.0146107578629766,Solar
GNB,2023,HYD,0.0161531415517137,Hydropower
GNB,2023,LFO,0.0485051725351391,Light Fuel Oil
GNB,2023,SOL,0.0145951578629766,Solar
GNB,2024,HYD,0.0239605596220928,Hydropower
GNB,2024,LFO,0.0468744225351391,Light Fuel Oil
GNB,2024,SOL,0.0145795578629766,Solar
GNB,2025,HYD,0.050612266026497,Hydropower
GNB,2025,LFO,0.0452436725351391,Light Fuel Oil
GNB,2025,SOL,0.015968912468003,Solar
GNB,2026,HYD,0.050612266026497,Hydropower
GNB,2026,LFO,0.0432328423176079,Light Fuel Oil
GNB,2026,SOL,0.0241057782270472,Solar
GNB,2027,HYD,0.0728611442167469,Hydropower
GNB,2027,LFO,0.0241069965743956,Light Fuel Oil
GNB,2027,SOL,0.0255856377023421,Solar
GNB,2028,HYD,0.0753322665371064,Hydropower
GNB,2028,LFO,0.019569,Light Fuel Oil
GNB,2028,SOL,0.0283919228714665,Solar
GNB,2029,HYD,0.0753322665371064,Hydropower
GNB,2029,LFO,0.01793825,Light Fuel Oil
GNB,2029,SOL,0.0296597798805276,Solar
GNB,2030,HYD,0.0753322665371064,Hydropower
GNB,2030,LFO,0.0163075,Light Fuel Oil
GNB,2030,SOL,0.038141956678226,Solar
