Country,y,f,Total installed capacity (GW),Source
MRT,2020,HFO,0.423034,Heavy Fuel Oil
MRT,2020,HYD,0.0689999999999999,Hydropower
MRT,2020,LFO,0.0475917864529777,Light Fuel Oil
MRT,2020,SOL,0.1012884851558553,Solar
MRT,2020,WIN,0.0344,Wind
MRT,2021,HFO,0.4085623,Heavy Fuel Oil
MRT,2021,HYD,0.0689999999999999,Hydropower
MRT,2021,LFO,0.0458797364529777,Light Fuel Oil
MRT,2021,SOL,0.1472152074064283,Solar
MRT,2021,WIN,0.03418,Wind
MRT,2022,GAS,0.01070398511169,Natural Gas
MRT,2022,HFO,0.3940906,Heavy Fuel Oil
MRT,2022,HYD,0.0689999999999999,Hydropower
MRT,2022,LFO,0.0441676864529777,Light Fuel Oil
MRT,2022,SOL,0.1911807397081669,Solar
MRT,2022,WIN,0.065485378233641,Wind
MRT,2023,GAS,0.0586142258268323,Natural Gas
MRT,2023,HFO,0.3796189,Heavy Fuel Oil
MRT,2023,HYD,0.0979758100657729,Hydropower
MRT,2023,LFO,0.0424556364529777,Light Fuel Oil
MRT,2023,SOL,0.2054340306012645,Solar
MRT,2023,WIN,0.065265378233641,Wind
MRT,2024,GAS,0.380115590198541,Natural Gas
MRT,2024,HFO,0.3651472,Heavy Fuel Oil
MRT,2024,HYD,0.1289999999999997,Hydropower
MRT,2024,LFO,0.0407435864529776,Light Fuel Oil
MRT,2024,SOL,0.2207376218316797,Solar
MRT,2024,WIN,0.065045378233641,Wind
MRT,2025,GAS,0.380115590198541,Natural Gas
MRT,2025,HFO,0.3506755,Heavy Fuel Oil
MRT,2025,HYD,0.1289999999999997,Hydropower
MRT,2025,LFO,0.0390314813831721,Light Fuel Oil
MRT,2025,SOL,0.2319031207455767,Solar
MRT,2025,WIN,0.064825378233641,Wind
MRT,2026,GAS,0.3906583931589921,Natural Gas
MRT,2026,HFO,0.3362038,Heavy Fuel Oil
MRT,2026,HYD,0.1289999999999997,Hydropower
MRT,2026,LFO,0.0315399304081469,Light Fuel Oil
MRT,2026,SOL,0.2547310016369754,Solar
MRT,2026,WIN,0.0821651752341932,Wind
MRT,2027,GAS,0.3991078029243999,Natural Gas
MRT,2027,HFO,0.3217320999999999,Heavy Fuel Oil
MRT,2027,HYD,0.1289999999999997,Hydropower
MRT,2027,LFO,0.0252497306265921,Light Fuel Oil
MRT,2027,SOL,0.2983866158034214,Solar
MRT,2027,WIN,0.0827583265726212,Wind
MRT,2028,GAS,0.4053600311331486,Natural Gas
MRT,2028,HFO,0.3072604,Heavy Fuel Oil
MRT,2028,HYD,0.1289999999999997,Hydropower
MRT,2028,LFO,0.0205446,Light Fuel Oil
MRT,2028,SOL,0.3438036880015341,Solar
MRT,2028,WIN,0.0825383265726212,Wind
MRT,2029,GAS,0.4337534404677828,Natural Gas
MRT,2029,HFO,0.2927887,Heavy Fuel Oil
MRT,2029,HYD,0.1289999999999997,Hydropower
MRT,2029,LFO,0.01883255,Light Fuel Oil
MRT,2029,SOL,0.4257173823823604,Solar
MRT,2029,WIN,0.0823183265726212,Wind
MRT,2030,GAS,0.4463196554259743,Natural Gas
MRT,2030,HFO,0.278317,Heavy Fuel Oil
MRT,2030,HYD,0.1289999999999997,Hydropower
MRT,2030,LFO,0.0171205,Light Fuel Oil
MRT,2030,SOL,0.5994195239909161,Solar
MRT,2030,WIN,0.0820983265726212,Wind
