Country,y,f,Total installed capacity (GW),Source
NGA,2020,BIO,0.0077,Biomass
NGA,2020,GAS,8.754511,Natural Gas
NGA,2020,HFO,1.658497,Heavy Fuel Oil
NGA,2020,HYD,3.0408,Hydropower
NGA,2020,LFO,0.292332220298197,Light Fuel Oil
NGA,2020,SOL,0.0172974,Solar
NGA,2020,WIN,0.016175,Wind
NGA,2021,BIO,0.007315,Biomass
NGA,2021,GAS,9.46762345,Natural Gas
NGA,2021,HFO,1.58357215,Heavy Fuel Oil
NGA,2021,HYD,3.0408,Hydropower
NGA,2021,LFO,0.284343520298197,Light Fuel Oil
NGA,2021,SOL,0.1926585356642094,Solar
NGA,2021,WIN,0.015875,Wind
NGA,2022,BIO,0.4515521985331229,Biomass
NGA,2022,COA,0.6,Coal
NGA,2022,GAS,10.1807359,Natural Gas
NGA,2022,HFO,1.5086473,Heavy Fuel Oil
NGA,2022,HYD,3.0408,Hydropower
NGA,2022,LFO,0.276354820298197,Light Fuel Oil
NGA,2022,SOL,0.2398776020551059,Solar
NGA,2022,WIN,0.0155749999999999,Wind
NGA,2023,BIO,0.7053119114257875,Biomass
NGA,2023,COA,1.2,Coal
NGA,2023,GAS,10.89384835,Natural Gas
NGA,2023,HFO,1.43372245,Heavy Fuel Oil
NGA,2023,HYD,3.7908,Hydropower
NGA,2023,LFO,0.268366120298197,Light Fuel Oil
NGA,2023,SOL,0.2734824769132949,Solar
NGA,2023,WIN,0.015275,Wind
NGA,2024,BIO,1.3979880603042056,Biomass
NGA,2024,COA,4.833918217854091,Coal
NGA,2024,GAS,10.6069608,Natural Gas
NGA,2024,HFO,1.3587976,Heavy Fuel Oil
NGA,2024,HYD,4.3308,Hydropower
NGA,2024,LFO,0.260377420298197,Light Fuel Oil
NGA,2024,SOL,0.2928131809846996,Solar
NGA,2024,WIN,0.0149749999999999,Wind
NGA,2025,BIO,2.194508917767057,Biomass
NGA,2025,COA,6.954015430607687,Coal
NGA,2025,GAS,10.32007325,Natural Gas
NGA,2025,HFO,1.28387275,Heavy Fuel Oil
NGA,2025,HYD,5.0808,Hydropower
NGA,2025,LFO,0.252388720298197,Light Fuel Oil
NGA,2025,SOL,0.2969224536919929,Solar
NGA,2025,WIN,0.014675,Wind
NGA,2026,BIO,2.305527519181916,Biomass
NGA,2026,COA,6.967527623626608,Coal
NGA,2026,GAS,11.0331857,Natural Gas
NGA,2026,HFO,1.2089479,Heavy Fuel Oil
NGA,2026,HYD,5.8308,Hydropower
NGA,2026,LFO,0.244400020298197,Light Fuel Oil
NGA,2026,SOL,0.7628786760383356,Solar
NGA,2026,WIN,0.0143749999999999,Wind
NGA,2027,BIO,2.305142519181916,Biomass
NGA,2027,COA,6.967527623626608,Coal
NGA,2027,GAS,11.335293006766516,Natural Gas
NGA,2027,HFO,1.13402305,Heavy Fuel Oil
NGA,2027,HYD,6.5808,Hydropower
NGA,2027,LFO,0.2038531,Light Fuel Oil
NGA,2027,SOL,0.9239373776652016,Solar
NGA,2027,WIN,0.014075,Wind
NGA,2028,BIO,2.304757519181916,Biomass
NGA,2028,COA,6.967527623626608,Coal
NGA,2028,GAS,11.754197958086277,Natural Gas
NGA,2028,HFO,1.0590982,Heavy Fuel Oil
NGA,2028,HYD,7.3308,Hydropower
NGA,2028,LFO,0.0958644,Light Fuel Oil
NGA,2028,SOL,1.1827278461890425,Solar
NGA,2028,WIN,0.0137749999999999,Wind
NGA,2029,BIO,2.304372519181916,Biomass
NGA,2029,COA,6.967527623626608,Coal
NGA,2029,GAS,12.041068650707,Natural Gas
NGA,2029,HFO,0.98417335,Heavy Fuel Oil
NGA,2029,HYD,8.0808,Hydropower
NGA,2029,LFO,0.0878757,Light Fuel Oil
NGA,2029,SOL,1.3501834730520652,Solar
NGA,2029,WIN,0.013475,Wind
NGA,2030,BIO,2.303987519181916,Biomass
NGA,2030,COA,6.967527623626608,Coal
NGA,2030,GAS,12.358763268730057,Natural Gas
NGA,2030,HFO,0.9092485,Heavy Fuel Oil
NGA,2030,HYD,8.8308,Hydropower
NGA,2030,LFO,0.079887,Light Fuel Oil
NGA,2030,SOL,1.754427088752582,Solar
NGA,2030,WIN,0.013175,Wind
