Country,y,f,Total installed capacity (GW),Source
SWZ,2020,BIO,0.044,Biomass
SWZ,2020,HFO,0.009,Heavy Fuel Oil
SWZ,2020,HYD,0.064492,Hydropower
SWZ,2020,LFO,0.0021844139537156,Light Fuel Oil
SWZ,2021,BIO,0.0418,Biomass
SWZ,2021,HFO,0.00855,Heavy Fuel Oil
SWZ,2021,HYD,0.064492,Hydropower
SWZ,2021,LFO,0.0021379139537156,Light Fuel Oil
SWZ,2022,BIO,0.0396,Biomass
SWZ,2022,HFO,0.0081,Heavy Fuel Oil
SWZ,2022,HYD,0.064492,Hydropower
SWZ,2022,LFO,0.0020914139537156,Light Fuel Oil
SWZ,2023,BIO,0.0374,Biomass
SWZ,2023,HFO,0.00765,Heavy Fuel Oil
SWZ,2023,HYD,0.064492,Hydropower
SWZ,2023,LFO,0.0020449139537156,Light Fuel Oil
SWZ,2024,BIO,0.0352,Biomass
SWZ,2024,COA,0.2618233418936896,Coal
SWZ,2024,HFO,0.0072,Heavy Fuel Oil
SWZ,2024,HYD,0.064492,Hydropower
SWZ,2024,LFO,0.0019984139537156,Light Fuel Oil
SWZ,2025,BIO,0.022,Biomass
SWZ,2025,COA,0.6052469567501964,Coal
SWZ,2025,HFO,0.00675,Heavy Fuel Oil
SWZ,2025,HYD,0.064492,Hydropower
SWZ,2025,LFO,0.0019519139537156,Light Fuel Oil
SWZ,2026,BIO,0.0198,Biomass
SWZ,2026,COA,0.7630176628404748,Coal
SWZ,2026,HFO,0.0063,Heavy Fuel Oil
SWZ,2026,HYD,0.064492,Hydropower
SWZ,2026,LFO,0.0012570219416418,Light Fuel Oil
SWZ,2027,BIO,0.0176,Biomass
SWZ,2027,COA,0.8533256444832913,Coal
SWZ,2027,HFO,0.00585,Heavy Fuel Oil
SWZ,2027,HYD,0.064492,Hydropower
SWZ,2027,LFO,0.0011956505652178,Light Fuel Oil
SWZ,2028,BIO,0.0154,Biomass
SWZ,2028,COA,1.272038897041565,Coal
SWZ,2028,HFO,0.0054,Heavy Fuel Oil
SWZ,2028,HYD,0.064492,Hydropower
SWZ,2028,LFO,0.000558,Light Fuel Oil
SWZ,2029,BIO,0.0132,Biomass
SWZ,2029,COA,1.272038897041565,Coal
SWZ,2029,HFO,0.00495,Heavy Fuel Oil
SWZ,2029,HYD,0.064492,Hydropower
SWZ,2029,LFO,0.0005115,Light Fuel Oil
SWZ,2029,SOL,0.2835532449182953,Solar
SWZ,2030,BIO,0.011,Biomass
SWZ,2030,COA,1.272038897041565,Coal
SWZ,2030,HFO,0.0045,Heavy Fuel Oil
SWZ,2030,HYD,0.064492,Hydropower
SWZ,2030,LFO,0.000465,Light Fuel Oil
SWZ,2030,SOL,0.5621292242059132,Solar
