Country,y,f,Total annual demand (GWh),Demand type
GIN,2020.0,EL3E,1679.4166680102,Current electrified
GIN,2021.0,EL3E,1722.1666680444,Current electrified
GIN,2021.0,EL3U,265.8888891016,New electrified
GIN,2022.0,EL3E,1760.6388902974002,Current electrified
GIN,2022.0,EL3U,531.7500004254,New electrified
GIN,2023.0,EL3E,1795.3055569918,Current electrified
GIN,2023.0,EL3U,797.6388895270001,New electrified
GIN,2024.0,EL3E,1826.8333347948,Current electrified
GIN,2024.0,EL3U,1063.5277786286,New electrified
GIN,2025.0,EL3E,1923.3611126498,Current electrified
GIN,2025.0,EL3U,1329.3888899524002,New electrified
GIN,2026.0,EL3E,2021.1666682836,Current electrified
GIN,2026.0,EL3U,1595.277779054,New electrified
GIN,2027.0,EL3E,2120.1666683628,Current electrified
GIN,2027.0,EL3U,1680.0555568996,New electrified
GIN,2028.0,EL3E,2220.2500017762,Current electrified
GIN,2028.0,EL3U,1764.8611125230002,New electrified
GIN,2029.0,EL3E,2321.2500018570004,Current electrified
GIN,2029.0,EL3U,1849.6666681464,New electrified
GIN,2030.0,EL3E,2437.8611130614004,Current electrified
GIN,2030.0,EL3U,1934.4444459920005,New electrified
GIN,2020.0,GNBEL1,0.7500000006,Exports (GNB)
GIN,2020.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2021.0,GNBEL1,81.1944445094,Exports (GNB)
GIN,2021.0,LBREL1,607.500000486,Exports (LBR)
GIN,2021.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2021.0,SENEL1,1514.1944456558,Exports (SEN)
GIN,2021.0,SLEEL1,23.750000019,Exports (SLE)
GIN,2022.0,GNBEL1,108.8333334204,Exports (GNB)
GIN,2022.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2022.0,SENEL1,1731.3055569406,Exports (SEN)
GIN,2023.0,GNBEL1,70.138888945,Exports (GNB)
GIN,2023.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2023.0,SENEL1,1535.2500012282,Exports (SEN)
GIN,2024.0,GNBEL1,82.69444451060001,Exports (GNB)
GIN,2024.0,LBREL1,159.58333346100002,Exports (LBR)
GIN,2024.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2024.0,SENEL1,920.7500007366,Exports (SEN)
GIN,2024.0,SLEEL1,18.611111126,Exports (SLE)
GIN,2025.0,GNBEL1,17.8333333476,Exports (GNB)
GIN,2025.0,LBREL1,39.722222254,Exports (LBR)
GIN,2025.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2025.0,SENEL1,596.2222226992,Exports (SEN)
GIN,2025.0,SLEEL1,36.2222222512,Exports (SLE)
GIN,2026.0,GNBEL1,37.083333363,Exports (GNB)
GIN,2026.0,LBREL1,31.111111136,Exports (LBR)
GIN,2026.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2027.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2027.0,SENEL1,84.3333334008,Exports (SEN)
GIN,2028.0,GNBEL1,4.583333337,Exports (GNB)
GIN,2028.0,LBREL1,218.4444446192,Exports (LBR)
GIN,2028.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2028.0,SENEL1,322.4444447024,Exports (SEN)
GIN,2029.0,GNBEL1,3.0000000024,Exports (GNB)
GIN,2029.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2029.0,SENEL1,164.6388890206,Exports (SEN)
GIN,2030.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2030.0,SENEL1,2.9444444468,Exports (SEN)
