Country,y,f,Total annual demand (GWh),Demand type
KEN,2020.0,EL3E,9869.2222301176,Current electrified
KEN,2021.0,EL3E,11740.9444538372,Current electrified
KEN,2021.0,EL3U,2956.111113476,New electrified
KEN,2022.0,EL3E,12446.4722321794,Current electrified
KEN,2022.0,EL3U,5912.222226952,New electrified
KEN,2023.0,EL3E,13137.50001051,Current electrified
KEN,2023.0,EL3U,8868.333340428,New electrified
KEN,2024.0,EL3E,13814.9444554964,Current electrified
KEN,2024.0,EL3U,11824.444453904,New electrified
KEN,2025.0,EL3E,14480.6111226956,Current electrified
KEN,2025.0,EL3U,14780.55556738,New electrified
KEN,2026.0,EL3E,15389.388901200402,Current electrified
KEN,2026.0,EL3U,17736.666680856,New electrified
KEN,2027.0,EL3E,16288.5833463642,Current electrified
KEN,2027.0,EL3U,18465.833348106004,New electrified
KEN,2028.0,EL3E,17178.4444581872,Current electrified
KEN,2028.0,EL3U,19195.000015356003,New electrified
KEN,2029.0,EL3E,18059.9722366702,Current electrified
KEN,2029.0,EL3U,19924.166682606003,New electrified
KEN,2030.0,EL3E,18934.3611262586,Current electrified
KEN,2030.0,EL3U,20653.333349856,New electrified
KEN,2020.0,TZAEL1,7835.0555618236,Exports (TZA)
KEN,2021.0,TZAEL1,4899.0833372526,Exports (TZA)
KEN,2022.0,TZAEL1,4319.7777812336,Exports (TZA)
KEN,2023.0,TZAEL1,6097.000004877601,Exports (TZA)
KEN,2023.0,UGAEL1,2357.8888907752003,Exports (UGA)
KEN,2024.0,TZAEL1,12039.1111207424,Exports (TZA)
KEN,2024.0,UGAEL1,2680.5277799222004,Exports (UGA)
KEN,2025.0,TZAEL1,9653.750007723002,Exports (TZA)
KEN,2025.0,UGAEL1,3689.0833362846006,Exports (UGA)
KEN,2026.0,TZAEL1,8068.3055620102,Exports (TZA)
KEN,2026.0,UGAEL1,4697.5277815358,Exports (UGA)
KEN,2027.0,TZAEL1,9746.6944522418,Exports (TZA)
KEN,2027.0,UGAEL1,4375.8611146118,Exports (UGA)
KEN,2028.0,TZAEL1,11175.3333422736,Exports (TZA)
KEN,2028.0,UGAEL1,5138.1388929994,Exports (UGA)
KEN,2029.0,TZAEL1,13062.166677116402,Exports (TZA)
KEN,2029.0,UGAEL1,5138.8333374444,Exports (UGA)
KEN,2030.0,TZAEL1,13744.9444554404,Exports (TZA)
KEN,2030.0,UGAEL1,5160.694448573,Exports (UGA)
