Country,y,f,Total annual demand (GWh),Demand type
MOZ,2020.0,EL3E,16944.1389024442,Current electrified
MOZ,2021.0,EL3E,13078.2500104626,Current electrified
MOZ,2021.0,EL3U,1070.7500008566,New electrified
MOZ,2022.0,EL3E,12306.3333431784,Current electrified
MOZ,2022.0,EL3U,2141.4722239354,New electrified
MOZ,2023.0,EL3E,11598.5000092788,Current electrified
MOZ,2023.0,EL3U,3212.2222247920004,New electrified
MOZ,2024.0,EL3E,10955.1944532086,Current electrified
MOZ,2024.0,EL3U,4282.9722256486,New electrified
MOZ,2025.0,EL3E,10378.7222305252,Current electrified
MOZ,2025.0,EL3U,5353.6944487274,New electrified
MOZ,2026.0,EL3E,10390.6666749792,Current electrified
MOZ,2026.0,EL3U,6424.444449584001,New electrified
MOZ,2027.0,EL3E,10468.944452819602,Current electrified
MOZ,2027.0,EL3U,6826.166672127601,New electrified
MOZ,2028.0,EL3E,10610.5277862662,Current electrified
MOZ,2028.0,EL3U,7227.916672449,New electrified
MOZ,2029.0,EL3E,10813.083341983802,Current electrified
MOZ,2029.0,EL3U,7629.6666727704,New electrified
MOZ,2030.0,EL3E,11074.027786637002,Current electrified
MOZ,2030.0,EL3U,8031.388895314,New electrified
MOZ,2020.0,MWIEL1,268.3611113258,Exports (MWI)
MOZ,2021.0,MWIEL1,1475.1666678468,Exports (MWI)
MOZ,2021.0,ZWEEL1,568.5833337882,Exports (ZWE)
MOZ,2022.0,MWIEL1,2724.3888910684004,Exports (MWI)
MOZ,2023.0,MWIEL1,3539.1111139424,Exports (MWI)
MOZ,2023.0,ZWEEL1,20.2500000162,Exports (ZWE)
MOZ,2024.0,MWIEL1,4441.111114664,Exports (MWI)
MOZ,2024.0,SWZEL1,747.9722228206,Exports (SWZ)
MOZ,2024.0,ZAFEL1,1155.5833342578,Exports (ZAF)
MOZ,2024.0,ZWEEL1,1141.250000913,Exports (ZWE)
MOZ,2025.0,MWIEL1,5801.500004641201,Exports (MWI)
MOZ,2025.0,SWZEL1,196.4166668238,Exports (SWZ)
MOZ,2025.0,ZAFEL1,2813.6944466954,Exports (ZAF)
MOZ,2025.0,ZWEEL1,633.6111116180001,Exports (ZWE)
MOZ,2026.0,MWIEL1,7170.3055612918,Exports (MWI)
MOZ,2026.0,SWZEL1,14.4722222338,Exports (SWZ)
MOZ,2026.0,ZAFEL1,6966.4444500176005,Exports (ZAF)
MOZ,2026.0,ZWEEL1,462.083333703,Exports (ZWE)
MOZ,2027.0,MWIEL1,8095.5277842542,Exports (MWI)
MOZ,2027.0,SWZEL1,15.27777779,Exports (SWZ)
MOZ,2027.0,ZAFEL1,6064.111115962401,Exports (ZAF)
MOZ,2027.0,ZWEEL1,635.8611116198,Exports (ZWE)
MOZ,2028.0,MWIEL1,8504.0000068032,Exports (MWI)
MOZ,2028.0,ZAFEL1,5665.4722267546,Exports (ZAF)
MOZ,2028.0,ZWEEL1,585.9166671354001,Exports (ZWE)
MOZ,2029.0,MWIEL1,8863.3888959796,Exports (MWI)
MOZ,2029.0,ZAFEL1,5978.1388936714,Exports (ZAF)
MOZ,2029.0,ZWEEL1,115.0555556476,Exports (ZWE)
MOZ,2030.0,MWIEL1,9087.8888961592,Exports (MWI)
MOZ,2030.0,ZAFEL1,13339.5555662272,Exports (ZAF)
