Country,y,f,Total annual demand (GWh),Demand type
NER,2020.0,EL3E,1457.8888900552,Current electrified
NER,2021.0,EL3E,1495.0277789738,Current electrified
NER,2021.0,EL3U,323.2777780364,New electrified
NER,2022.0,EL3E,1528.4444456672,Current electrified
NER,2022.0,EL3U,646.5833338506001,New electrified
NER,2023.0,EL3E,1558.5000012468,Current electrified
NER,2023.0,EL3U,969.861111887,New electrified
NER,2024.0,EL3E,1585.9166679354,Current electrified
NER,2024.0,EL3U,1293.1388899234005,New electrified
NER,2025.0,EL3E,1669.722223558,Current electrified
NER,2025.0,EL3U,1616.4444457376,New electrified
NER,2026.0,EL3E,1754.5555569592,Current electrified
NER,2026.0,EL3U,1939.722223774,New electrified
NER,2027.0,EL3E,1840.5277792502,Current electrified
NER,2027.0,EL3U,2070.6944461010003,New electrified
NER,2028.0,EL3E,1927.4444459864003,Current electrified
NER,2028.0,EL3U,2201.6666684280003,New electrified
NER,2029.0,EL3E,2015.1111127232,Current electrified
NER,2029.0,EL3U,2332.6388907550004,New electrified
NER,2030.0,EL3E,2116.3333350264,Current electrified
NER,2030.0,EL3U,2463.611113082,New electrified
NER,2023.0,NGAEL1,28.9444444676,Exports (NGA)
NER,2024.0,BFAEL1,228.472222405,Exports (BFA)
NER,2025.0,BFAEL1,228.472222405,Exports (BFA)
NER,2026.0,BFAEL1,228.472222405,Exports (BFA)
NER,2026.0,NGAEL1,160.6666667952,Exports (NGA)
NER,2027.0,BFAEL1,299.1111113504,Exports (BFA)
NER,2028.0,BFAEL1,986.5555563448,Exports (BFA)
NER,2029.0,BFAEL1,889.5833340450001,Exports (BFA)
NER,2030.0,BFAEL1,1451.7777789392,Exports (BFA)
