Country,y,f,Total annual demand (GWh),Demand type
SWZ,2020.0,EL3E,1985.1944460326,Current electrified
SWZ,2021.0,EL3E,2318.9166685218,Current electrified
SWZ,2021.0,EL3U,91.66666674,New electrified
SWZ,2022.0,EL3E,2691.8611132646,Current electrified
SWZ,2022.0,EL3U,183.33333348,New electrified
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified
SWZ,2023.0,EL3U,275.00000022,New electrified
SWZ,2024.0,EL3E,3571.4166695238,Current electrified
SWZ,2024.0,EL3U,366.66666696,New electrified
SWZ,2025.0,EL3E,4010.3611143194,Current electrified
SWZ,2025.0,EL3U,458.3333337,New electrified
SWZ,2026.0,EL3E,4492.0000035936,Current electrified
SWZ,2026.0,EL3U,550.00000044,New electrified
SWZ,2027.0,EL3E,5018.861115126199,Current electrified
SWZ,2027.0,EL3U,580.7500004646,New electrified
SWZ,2028.0,EL3E,5594.2500044754,Current electrified
SWZ,2028.0,EL3U,611.5277782669999,New electrified
SWZ,2029.0,EL3E,6221.722227199601,Current electrified
SWZ,2029.0,EL3U,642.3055560694,New electrified
SWZ,2030.0,EL3E,6838.1666721372,Current electrified
SWZ,2030.0,EL3U,673.055556094,New electrified
SWZ,2026.0,MOZEL1,299.5277780174,Exports (MOZ)
SWZ,2026.0,ZAFEL1,10.0555555636,Exports (ZAF)
SWZ,2027.0,MOZEL1,335.33333360160003,Exports (MOZ)
SWZ,2027.0,ZAFEL1,11.250000009,Exports (ZAF)
SWZ,2028.0,MOZEL1,1691.3611124642,Exports (MOZ)
SWZ,2028.0,ZAFEL1,937.5833340834,Exports (ZAF)
SWZ,2029.0,MOZEL1,578.0833337958001,Exports (MOZ)
SWZ,2029.0,ZAFEL1,1867.2500014938,Exports (ZAF)
SWZ,2030.0,ZAFEL1,2267.5000018140004,Exports (ZAF)
