Country,y,f,Total annual demand (GWh),Demand type
TCD,2020.0,EL3E,233.7777779648,Current electrified
TCD,2021.0,EL3E,239.722222414,Current electrified
TCD,2021.0,EL3U,148.9444445636,New electrified
TCD,2022.0,EL3E,245.1111113072,Current electrified
TCD,2022.0,EL3U,297.8611113494,New electrified
TCD,2023.0,EL3E,249.9444446444,Current electrified
TCD,2023.0,EL3U,446.805555913,New electrified
TCD,2024.0,EL3E,254.3333335368,Current electrified
TCD,2024.0,EL3U,595.7500004766,New electrified
TCD,2025.0,EL3E,267.7500002142,Current electrified
TCD,2025.0,EL3U,744.6666672624001,New electrified
TCD,2026.0,EL3E,281.36111133620005,Current electrified
TCD,2026.0,EL3U,893.6111118260001,New electrified
TCD,2027.0,EL3E,295.138889125,Current electrified
TCD,2027.0,EL3U,943.888889644,New electrified
TCD,2028.0,EL3E,309.0833335806,Current electrified
TCD,2028.0,EL3U,994.166667462,New electrified
TCD,2029.0,EL3E,323.1388891474,Current electrified
TCD,2029.0,EL3U,1044.44444528,New electrified
TCD,2030.0,EL3E,339.36111138260003,Current electrified
TCD,2030.0,EL3U,1094.722223098,New electrified
TCD,2020.0,CMREL1,75.3611111714,Exports (CMR)
TCD,2021.0,CMREL1,75.3611111714,Exports (CMR)
TCD,2022.0,CMREL1,54.9166667106,Exports (CMR)
TCD,2023.0,CMREL1,10.7500000086,Exports (CMR)
TCD,2024.0,CMREL1,114.9444445364,Exports (CMR)
TCD,2025.0,CMREL1,1788.333334764,Exports (CMR)
TCD,2026.0,CMREL1,3636.0555584644,Exports (CMR)
TCD,2027.0,CMREL1,5590.0555600276,Exports (CMR)
TCD,2028.0,CMREL1,7135.000005708001,Exports (CMR)
TCD,2029.0,CMREL1,8688.5555625064,Exports (CMR)
TCD,2030.0,CMREL1,10111.0555636444,Exports (CMR)
