Country,y,f,Total annual production (GWh),Source
BEN,2020.0,HFO,34.5277778054,Heavy Fuel Oil
BEN,2020.0,HYD,1812.1111125608,Hydropower
BEN,2020.0,Imports (NGA),5594.3888933644,Imports (NGA)
BEN,2020.0,LFO,130.277777882,Light Fuel Oil
BEN,2020.0,NGA,112.2777778676,Natural Gas
BEN,2020.0,SOL,9.4166666742,Solar
BEN,2021.0,HFO,873.5555562544,Heavy Fuel Oil
BEN,2021.0,HYD,1812.1111125608,Hydropower
BEN,2021.0,Imports (NGA),800.3888895292001,Imports (NGA)
BEN,2021.0,LFO,124.2777778772,Light Fuel Oil
BEN,2021.0,NGA,106.666666752,Natural Gas
BEN,2021.0,SOL,9.3611111186,Solar
BEN,2022.0,HFO,864.9166673586,Heavy Fuel Oil
BEN,2022.0,HYD,1812.1111125608,Hydropower
BEN,2022.0,LFO,118.1111112056,Light Fuel Oil
BEN,2022.0,NGA,710.1666672348,Natural Gas
BEN,2022.0,SOL,9.305555563,Solar
BEN,2023.0,HFO,856.2777784628,Heavy Fuel Oil
BEN,2023.0,HYD,1812.1111125608,Hydropower
BEN,2023.0,LFO,111.944444534,Light Fuel Oil
BEN,2023.0,NGA,704.5555561192,Natural Gas
BEN,2023.0,SOL,9.2222222296,Solar
BEN,2024.0,HFO,847.6666673448,Heavy Fuel Oil
BEN,2024.0,HYD,1812.1111125608,Hydropower
BEN,2024.0,Imports (NGA),282.13888911460003,Imports (NGA)
BEN,2024.0,LFO,105.8055556402,Light Fuel Oil
BEN,2024.0,NGA,698.9444450036,Natural Gas
BEN,2024.0,SOL,9.166666674,Solar
BEN,2025.0,HFO,839.0277784489999,Heavy Fuel Oil
BEN,2025.0,HYD,1812.1111125608,Hydropower
BEN,2025.0,Imports (NGA),4989.166670658,Imports (NGA)
BEN,2025.0,LFO,95.8611111878,Light Fuel Oil
BEN,2025.0,NGA,693.3333338880001,Natural Gas
BEN,2025.0,SOL,9.111111118400002,Solar
BEN,2026.0,HFO,830.3888895532,Heavy Fuel Oil
BEN,2026.0,HYD,2243.5277795726,Hydropower
BEN,2026.0,Imports (GHA),364.9722225142,Imports (GHA)
BEN,2026.0,Imports (NGA),78.5555556184,Imports (NGA)
BEN,2026.0,LFO,89.6666667384,Light Fuel Oil
BEN,2026.0,NGA,772.8611117294,Natural Gas
BEN,2026.0,SOL,9.0555555628,Solar
BEN,2027.0,HFO,821.7500006574,Heavy Fuel Oil
BEN,2027.0,HYD,2243.5277795726,Hydropower
BEN,2027.0,Imports (NGA),1512.3333345432,Imports (NGA)
BEN,2027.0,LFO,80.41666673099999,Light Fuel Oil
BEN,2027.0,NGA,682.1111116568001,Natural Gas
BEN,2027.0,SOL,9.0000000072,Solar
BEN,2028.0,HFO,813.1388895394,Heavy Fuel Oil
BEN,2028.0,HYD,2243.5277795726,Hydropower
BEN,2028.0,Imports (NGA),2406.1944463694003,Imports (NGA)
BEN,2028.0,LFO,73.5833333922,Light Fuel Oil
BEN,2028.0,NGA,676.5000005412,Natural Gas
BEN,2028.0,SOL,8.9444444516,Solar
BEN,2029.0,HFO,804.5000006436,Heavy Fuel Oil
BEN,2029.0,HYD,2243.5277795726,Hydropower
BEN,2029.0,Imports (NGA),3073.8055580146,Imports (NGA)
BEN,2029.0,LFO,67.4444444984,Light Fuel Oil
BEN,2029.0,NGA,670.8888894256,Natural Gas
BEN,2029.0,SOL,40.0555555876,Solar
BEN,2030.0,HFO,795.8611117478,Heavy Fuel Oil
BEN,2030.0,HYD,2243.5277795726,Hydropower
BEN,2030.0,Imports (NGA),4335.4166701350005,Imports (NGA)
BEN,2030.0,LFO,61.3055556046,Light Fuel Oil
BEN,2030.0,NGA,665.27777831,Natural Gas
BEN,2030.0,SOL,89.6111111828,Solar
