Country,y,f,Total annual production (GWh),Source
COD,2020.0,HFO,29.6111111348,Heavy Fuel Oil
COD,2020.0,HYD,10866.3333420264,Hydropower
COD,2020.0,Imports (AGO),1113.8611120022,Imports (AGO)
COD,2020.0,LFO,12.3333333432,Light Fuel Oil
COD,2020.0,NGA,20.3611111274,Natural Gas
COD,2020.0,SOL,4.583333337,Solar
COD,2021.0,HFO,28.1388889114,Heavy Fuel Oil
COD,2021.0,HYD,10866.3333420264,Hydropower
COD,2021.0,Imports (AGO),1924.8888904288,Imports (AGO)
COD,2021.0,Imports (ZMB),1062.638889739,Imports (ZMB)
COD,2021.0,LFO,31.527777803000003,Light Fuel Oil
COD,2021.0,NGA,19.3333333488,Natural Gas
COD,2021.0,SOL,4.5277777814,Solar
COD,2022.0,HFO,55.5277778222,Heavy Fuel Oil
COD,2022.0,HYD,11070.222231078398,Hydropower
COD,2022.0,Imports (AGO),2705.4722243866,Imports (AGO)
COD,2022.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2022.0,Imports (ZMB),1828.5833347962,Imports (ZMB)
COD,2022.0,LFO,30.8888889136,Light Fuel Oil
COD,2022.0,NGA,28.527777800600003,Natural Gas
COD,2022.0,SOL,4.4722222258,Solar
COD,2023.0,COA,3412.5833360634,Coal
COD,2023.0,HFO,52.4444444864,Heavy Fuel Oil
COD,2023.0,HYD,11070.222231078398,Hydropower
COD,2023.0,Imports (AGO),1184.72222317,Imports (AGO)
COD,2023.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2023.0,Imports (RWA),73.3888889476,Imports (RWA)
COD,2023.0,Imports (ZMB),1885.000001508,Imports (ZMB)
COD,2023.0,LFO,61.555555604800006,Light Fuel Oil
COD,2023.0,NGA,36.02777780660001,Natural Gas
COD,2023.0,SOL,4.416666670200001,Solar
COD,2024.0,COA,3773.5277807966,Coal
COD,2024.0,HFO,49.3611111506,Heavy Fuel Oil
COD,2024.0,HYD,11070.222231078398,Hydropower
COD,2024.0,Imports (AGO),2524.166668686,Imports (AGO)
COD,2024.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2024.0,Imports (RWA),460.4722225906,Imports (RWA)
COD,2024.0,Imports (ZMB),1277.1944454662,Imports (ZMB)
COD,2024.0,LFO,29.6388889126,Light Fuel Oil
COD,2024.0,NGA,33.9166666938,Natural Gas
COD,2024.0,SOL,4.3611111146,Solar
COD,2025.0,COA,7487.777783768,Coal
COD,2025.0,HFO,46.2777778148,Heavy Fuel Oil
COD,2025.0,HYD,11070.222231078398,Hydropower
COD,2025.0,Imports (AGO),1863.6388903798,Imports (AGO)
COD,2025.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2025.0,Imports (RWA),84.2777778452,Imports (RWA)
COD,2025.0,Imports (ZMB),799.5000006396001,Imports (ZMB)
COD,2025.0,LFO,21.0000000168,Light Fuel Oil
COD,2025.0,NGA,23.9444444636,Natural Gas
COD,2025.0,SOL,4.305555559,Solar
COD,2026.0,COA,11566.9722314758,Coal
COD,2026.0,HFO,43.194444479000005,Heavy Fuel Oil
COD,2026.0,HYD,11070.222231078398,Hydropower
COD,2026.0,Imports (AGO),1748.6944458434002,Imports (AGO)
COD,2026.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2026.0,Imports (RWA),89.3888889604,Imports (RWA)
COD,2026.0,LFO,28.2500000226,Light Fuel Oil
COD,2026.0,NGA,14.8888889008,Natural Gas
COD,2026.0,SOL,4.2500000034,Solar
COD,2027.0,COA,12854.8888991728,Coal
COD,2027.0,HFO,40.1111111432,Heavy Fuel Oil
COD,2027.0,HYD,11070.222231078398,Hydropower
COD,2027.0,Imports (AGO),1771.3611125282,Imports (AGO)
COD,2027.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2027.0,Imports (RWA),7.0277777834,Imports (RWA)
COD,2027.0,LFO,27.500000022,Light Fuel Oil
COD,2027.0,NGA,13.8055555666,Natural Gas
COD,2027.0,SOL,4.1944444478000005,Solar
COD,2028.0,COA,13333.2222328888,Coal
COD,2028.0,HFO,37.0277778074,Heavy Fuel Oil
COD,2028.0,HYD,11070.222231078398,Hydropower
COD,2028.0,Imports (AGO),1872.4444459424,Imports (AGO)
COD,2028.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2028.0,Imports (RWA),673.5833338722,Imports (RWA)
COD,2028.0,LFO,7.3888888948,Light Fuel Oil
COD,2028.0,NGA,19.166666682,Natural Gas
COD,2028.0,SOL,4.1388888922,Solar
COD,2029.0,COA,15226.9166788482,Coal
COD,2029.0,HFO,33.9444444716,Heavy Fuel Oil
COD,2029.0,HYD,11070.222231078398,Hydropower
COD,2029.0,Imports (AGO),1823.2222236808,Imports (AGO)
COD,2029.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2029.0,Imports (RWA),65.66666671920001,Imports (RWA)
COD,2029.0,LFO,6.7777777832,Light Fuel Oil
COD,2029.0,NGA,17.555555569600003,Natural Gas
COD,2029.0,SOL,4.0833333366,Solar
COD,2030.0,COA,16018.5277905926,Coal
COD,2030.0,HFO,30.8611111358,Heavy Fuel Oil
COD,2030.0,HYD,11070.222231078398,Hydropower
COD,2030.0,Imports (AGO),1872.4444459424,Imports (AGO)
COD,2030.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2030.0,Imports (RWA),1224.166667646,Imports (RWA)
COD,2030.0,LFO,11.1388888978,Light Fuel Oil
COD,2030.0,NGA,15.972222235000002,Natural Gas
COD,2030.0,SOL,68.888888944,Solar
