Country,y,f,Total annual production (GWh),Source
DJI,2020.0,HFO,126.0000001008,Heavy Fuel Oil
DJI,2020.0,Imports (ETH),401.41666698780006,Imports (ETH)
DJI,2020.0,LFO,107.2500000858,Light Fuel Oil
DJI,2021.0,GEO,223.3888890676,Geothermal
DJI,2021.0,HFO,128.5555556584,Heavy Fuel Oil
DJI,2021.0,Imports (ETH),261.1666668756,Imports (ETH)
DJI,2021.0,LFO,102.9444445268,Light Fuel Oil
DJI,2022.0,GEO,223.3888890676,Geothermal
DJI,2022.0,HFO,236.2222224112,Heavy Fuel Oil
DJI,2022.0,Imports (ETH),305.833333578,Imports (ETH)
DJI,2022.0,LFO,97.6666667448,Light Fuel Oil
DJI,2023.0,GEO,223.3888890676,Geothermal
DJI,2023.0,HFO,223.1111112896,Heavy Fuel Oil
DJI,2023.0,Imports (ETH),349.6944447242,Imports (ETH)
DJI,2023.0,LFO,92.41666674060002,Light Fuel Oil
DJI,2024.0,GEO,83.7777778448,Geothermal
DJI,2024.0,HFO,100.7777778584,Heavy Fuel Oil
DJI,2024.0,Imports (ETH),680.6388894334,Imports (ETH)
DJI,2024.0,LFO,86.80555562500001,Light Fuel Oil
DJI,2025.0,GEO,83.7777778448,Geothermal
DJI,2025.0,HFO,196.8611112686,Heavy Fuel Oil
DJI,2025.0,Imports (ETH),691.2500005530001,Imports (ETH)
DJI,2025.0,LFO,81.80555562100001,Light Fuel Oil
DJI,2026.0,GEO,434.7500003478,Geothermal
DJI,2026.0,HFO,183.7222223692,Heavy Fuel Oil
DJI,2026.0,Imports (ETH),460.6666670352,Imports (ETH)
DJI,2026.0,LFO,76.6111111724,Light Fuel Oil
DJI,2027.0,GEO,849.0833340126001,Geothermal
DJI,2027.0,HFO,170.6111112476,Heavy Fuel Oil
DJI,2027.0,Imports (ETH),140.50000011240002,Imports (ETH)
DJI,2027.0,LFO,68.25000005460001,Light Fuel Oil
DJI,2028.0,GEO,862.6111118012,Geothermal
DJI,2028.0,HFO,157.4722223482,Heavy Fuel Oil
DJI,2028.0,Imports (ETH),163.5277779086,Imports (ETH)
DJI,2028.0,LFO,62.3333333832,Light Fuel Oil
DJI,2029.0,GEO,1029.16666749,Geothermal
DJI,2029.0,HFO,144.36111122660003,Heavy Fuel Oil
DJI,2029.0,Imports (ETH),78.08333339580001,Imports (ETH)
DJI,2029.0,LFO,57.1388889346,Light Fuel Oil
DJI,2030.0,GEO,1165.4722231546002,Geothermal
DJI,2030.0,HFO,131.2222223272,Heavy Fuel Oil
DJI,2030.0,Imports (ETH),11.805555565,Imports (ETH)
DJI,2030.0,LFO,51.944444486,Light Fuel Oil
DJI,2030.0,SOL,42.250000033800006,Solar
