Country,y,f,Total annual production (GWh),Source
EGY,2020.0,BIO,4421.083336870201,Biomass
EGY,2020.0,HFO,1706.6666680320002,Heavy Fuel Oil
EGY,2020.0,HYD,11959.0555651228,Hydropower
EGY,2020.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2020.0,Imports (SDN),2130.6666683712,Imports (SDN)
EGY,2020.0,LFO,695.6111116676,Light Fuel Oil
EGY,2020.0,NGA,184641.2223699352,Natural Gas
EGY,2020.0,SOL,4936.4722261714005,Solar
EGY,2020.0,WIN,4637.027781487401,Wind
EGY,2021.0,BIO,4694.9722259782,Biomass
EGY,2021.0,HFO,1621.3333346304,Heavy Fuel Oil
EGY,2021.0,HYD,11959.0555651228,Hydropower
EGY,2021.0,Imports (LBY),1414.7500011318,Imports (LBY)
EGY,2021.0,Imports (SAU),7147.111116828801,Imports (SAU)
EGY,2021.0,Imports (SDN),16644.0000133152,Imports (SDN)
EGY,2021.0,LFO,675.7222227628,Light Fuel Oil
EGY,2021.0,NGA,174486.5001395892,Natural Gas
EGY,2021.0,SOL,19516.916682280204,Solar
EGY,2021.0,WIN,8024.916673086601,Wind
EGY,2022.0,BIO,4968.8333373084,Biomass
EGY,2022.0,HFO,1536.0000012288,Heavy Fuel Oil
EGY,2022.0,HYD,11959.0555651228,Hydropower
EGY,2022.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2022.0,Imports (LBY),1414.7500011318,Imports (LBY)
EGY,2022.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2022.0,Imports (SDN),15520.416679083,Imports (SDN)
EGY,2022.0,LFO,655.8611116358001,Light Fuel Oil
EGY,2022.0,NGA,211625.36128041145,Natural Gas
EGY,2022.0,SOL,25113.5833534242,Solar
EGY,2022.0,WIN,11412.8333424636,Wind
EGY,2023.0,BIO,4802.7500038422,Biomass
EGY,2023.0,HFO,1796.8888903264,Heavy Fuel Oil
EGY,2023.0,HYD,12821.111121368,Hydropower
EGY,2023.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2023.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2023.0,Imports (SDN),11284.305564583,Imports (SDN)
EGY,2023.0,LFO,635.972222731,Light Fuel Oil
EGY,2023.0,NGA,235135.58352144185,Natural Gas
EGY,2023.0,SOL,26967.527799351803,Solar
EGY,2023.0,WIN,14800.7222340628,Wind
EGY,2024.0,BIO,4636.6944481538,Biomass
EGY,2024.0,HFO,21017.8889057032,Heavy Fuel Oil
EGY,2024.0,HYD,12821.111121368,Hydropower
EGY,2024.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2024.0,Imports (LBY),618.3888893836,Imports (LBY)
EGY,2024.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2024.0,Imports (SDN),9291.5833407666,Imports (SDN)
EGY,2024.0,LFO,616.0833338262,Light Fuel Oil
EGY,2024.0,NGA,233074.444630904,Natural Gas
EGY,2024.0,SOL,31551.416691907805,Solar
EGY,2024.0,WIN,18188.611125662,Wind
EGY,2025.0,BIO,3640.3055584678,Biomass
EGY,2025.0,COA,22232.8889066752,Coal
EGY,2025.0,HFO,20591.2222386952,Heavy Fuel Oil
EGY,2025.0,HYD,12821.111121368,Hydropower
EGY,2025.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2025.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2025.0,Imports (SDN),4988.5555595464,Imports (SDN)
EGY,2025.0,LFO,521.6944448618,Light Fuel Oil
EGY,2025.0,NGA,231013.27796258844,Natural Gas
EGY,2025.0,SOL,37989.250030391406,Solar
EGY,2025.0,WIN,21576.5000172612,Wind
EGY,2026.0,BIO,3474.2500027794003,Biomass
EGY,2026.0,COA,44465.7500355726,Coal
EGY,2026.0,HFO,18248.61112571,Heavy Fuel Oil
EGY,2026.0,HYD,12821.111121368,Hydropower
EGY,2026.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2026.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2026.0,LFO,427.2777781196,Light Fuel Oil
EGY,2026.0,NGA,228952.1112942728,Natural Gas
EGY,2026.0,SOL,44427.083368875,Solar
EGY,2026.0,WIN,24964.3889088604,Wind
EGY,2027.0,BIO,3308.1944470910007,Biomass
EGY,2027.0,COA,46958.7222597892,Coal
EGY,2027.0,HFO,19737.8889046792,Heavy Fuel Oil
EGY,2027.0,HYD,12821.111121368,Hydropower
EGY,2027.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2027.0,Imports (LBY),135.3888889972,Imports (LBY)
EGY,2027.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2027.0,Imports (SDN),4828.777781640801,Imports (SDN)
EGY,2027.0,LFO,332.91666693300004,Light Fuel Oil
EGY,2027.0,NGA,226890.972403735,Natural Gas
EGY,2027.0,SOL,50864.88892958081,Solar
EGY,2027.0,WIN,28352.277800459604,Wind
EGY,2028.0,BIO,3142.1111136248,Biomass
EGY,2028.0,COA,50664.1944849758,Coal
EGY,2028.0,HFO,19311.1944598934,Heavy Fuel Oil
EGY,2028.0,HYD,15079.805567619402,Hydropower
EGY,2028.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2028.0,Imports (LBY),399.72222254200005,Imports (LBY)
EGY,2028.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2028.0,Imports (SDN),9794.8333411692,Imports (SDN)
EGY,2028.0,LFO,238.5000001908,Light Fuel Oil
EGY,2028.0,NGA,225189.8335134852,Natural Gas
EGY,2028.0,SOL,57302.7222680644,Solar
EGY,2028.0,WIN,31740.166692058803,Wind
EGY,2029.0,BIO,2976.0555579364004,Biomass
EGY,2029.0,COA,54369.6944879402,Coal
EGY,2029.0,HFO,18884.5277928854,Heavy Fuel Oil
EGY,2029.0,HYD,15079.805567619402,Hydropower
EGY,2029.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2029.0,Imports (LBY),1414.7500011318,Imports (LBY)
EGY,2029.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2029.0,Imports (SDN),15927.3889016308,Imports (SDN)
EGY,2029.0,LFO,618.472222717,Light Fuel Oil
EGY,2029.0,NGA,223792.61129014523,Natural Gas
EGY,2029.0,SOL,63740.5278287702,Solar
EGY,2029.0,WIN,35128.055583658,Wind
EGY,2030.0,BIO,5229.6111152948,Biomass
EGY,2030.0,COA,59287.6667140968,Coal
EGY,2030.0,HFO,18457.8611258774,Heavy Fuel Oil
EGY,2030.0,HYD,15079.805567619402,Hydropower
EGY,2030.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2030.0,Imports (LBY),399.72222254200005,Imports (LBY)
EGY,2030.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2030.0,Imports (SDN),18969.6666818424,Imports (SDN)
EGY,2030.0,LFO,848.5555562344001,Light Fuel Oil
EGY,2030.0,NGA,225091.13906896175,Natural Gas
EGY,2030.0,SOL,70178.3889450316,Solar
EGY,2030.0,WIN,38515.972253035005,Wind
