Country,y,f,Total annual production (GWh),Source
GAB,2020.0,HFO,568.2777782324,Heavy Fuel Oil
GAB,2020.0,HYD,1761.805556965,Hydropower
GAB,2020.0,LFO,278.4166668894,Light Fuel Oil
GAB,2020.0,NGA,1165.3333342656,Natural Gas
GAB,2020.0,SOL,1.0000000008,Solar
GAB,2021.0,HFO,539.861111543,Heavy Fuel Oil
GAB,2021.0,HYD,1761.805556965,Hydropower
GAB,2021.0,LFO,266.944444658,Light Fuel Oil
GAB,2021.0,NGA,1479.4722234058002,Natural Gas
GAB,2021.0,SOL,0.9444444452,Solar
GAB,2022.0,HFO,511.4444448536,Heavy Fuel Oil
GAB,2022.0,HYD,1761.805556965,Hydropower
GAB,2022.0,LFO,284.1388891162,Light Fuel Oil
GAB,2022.0,NGA,1879.16666817,Natural Gas
GAB,2022.0,SOL,0.8888888896000001,Solar
GAB,2023.0,HFO,483.0277781642,Heavy Fuel Oil
GAB,2023.0,HYD,2208.8333351004003,Hydropower
GAB,2023.0,LFO,277.361111333,Light Fuel Oil
GAB,2023.0,NGA,1870.4722237186,Natural Gas
GAB,2023.0,SOL,0.8611111118,Solar
GAB,2024.0,HFO,454.61111147480005,Heavy Fuel Oil
GAB,2024.0,HYD,2654.3888910124,Hydropower
GAB,2024.0,LFO,270.5833335498,Light Fuel Oil
GAB,2024.0,NGA,1861.7777792672,Natural Gas
GAB,2024.0,SOL,0.8055555562,Solar
GAB,2025.0,HFO,426.2222225632,Heavy Fuel Oil
GAB,2025.0,HYD,3128.1666691692003,Hydropower
GAB,2025.0,LFO,245.9444446412,Light Fuel Oil
GAB,2025.0,NGA,1853.0833348158,Natural Gas
GAB,2025.0,SOL,0.7500000006,Solar
GAB,2026.0,HFO,397.8055558738,Heavy Fuel Oil
GAB,2026.0,HYD,3439.3333360848005,Hydropower
GAB,2026.0,LFO,193.6944445994,Light Fuel Oil
GAB,2026.0,NGA,1844.3888903644,Natural Gas
GAB,2026.0,SOL,124.8333334332,Solar
GAB,2027.0,HFO,369.38888918440006,Heavy Fuel Oil
GAB,2027.0,HYD,3478.4444472272,Hydropower
GAB,2027.0,LFO,131.83333343880005,Light Fuel Oil
GAB,2027.0,NGA,1835.694445913,Natural Gas
GAB,2027.0,SOL,272.1666668844,Solar
GAB,2028.0,HFO,267.4166668806,Heavy Fuel Oil
GAB,2028.0,HYD,3478.4444472272,Hydropower
GAB,2028.0,LFO,81.3611111762,Light Fuel Oil
GAB,2028.0,NGA,1827.0000014616005,Natural Gas
GAB,2028.0,SOL,476.4444448256,Solar
GAB,2029.0,HFO,312.5555558056,Heavy Fuel Oil
GAB,2029.0,HYD,3502.3888916908,Hydropower
GAB,2029.0,LFO,74.583333393,Light Fuel Oil
GAB,2029.0,NGA,1818.3055570102,Natural Gas
GAB,2029.0,SOL,533.3055559822,Solar
GAB,2030.0,HFO,284.1388891162,Heavy Fuel Oil
GAB,2030.0,HYD,3502.3888916908,Hydropower
GAB,2030.0,LFO,67.80555560980001,Light Fuel Oil
GAB,2030.0,NGA,1809.6111125588,Natural Gas
GAB,2030.0,SOL,649.5555560752,Solar
