Country,y,f,Total annual production (GWh),Source
GNQ,2020.0,HFO,199.9722223822,Heavy Fuel Oil
GNQ,2020.0,HYD,514.6388893006,Hydropower
GNQ,2020.0,LFO,24.5000000196,Light Fuel Oil
GNQ,2020.0,NGA,644.8055560714,Natural Gas
GNQ,2020.0,SOL,1196.9166676242005,Solar
GNQ,2021.0,HFO,189.9722223742,Heavy Fuel Oil
GNQ,2021.0,HYD,514.6388893006,Hydropower
GNQ,2021.0,LFO,19.722222238000004,Light Fuel Oil
GNQ,2021.0,NGA,634.5000005076,Natural Gas
GNQ,2021.0,SOL,1314.2222232736,Solar
GNQ,2022.0,HFO,124.9722223222,Heavy Fuel Oil
GNQ,2022.0,HYD,514.6388893006,Hydropower
GNQ,2022.0,LFO,17.055555569200003,Light Fuel Oil
GNQ,2022.0,NGA,624.1944449438,Natural Gas
GNQ,2022.0,SOL,1720.5555569320002,Solar
GNQ,2023.0,HFO,118.0277778722,Heavy Fuel Oil
GNQ,2023.0,HYD,514.6388893006,Hydropower
GNQ,2023.0,LFO,17.0555555692,Light Fuel Oil
GNQ,2023.0,NGA,487.3888892788,Natural Gas
GNQ,2023.0,SOL,2190.138890641,Solar
GNQ,2024.0,HFO,111.0833334222,Heavy Fuel Oil
GNQ,2024.0,HYD,514.6388893006,Hydropower
GNQ,2024.0,LFO,17.027777791400002,Light Fuel Oil
GNQ,2024.0,NGA,572.2777782356001,Natural Gas
GNQ,2024.0,SOL,2436.6388908382,Solar
GNQ,2025.0,HFO,104.1388889722,Heavy Fuel Oil
GNQ,2025.0,HYD,514.6388893006,Hydropower
GNQ,2025.0,LFO,17.0000000136,Light Fuel Oil
GNQ,2025.0,NGA,660.7500005286001,Natural Gas
GNQ,2025.0,SOL,2679.0000021432,Solar
GNQ,2026.0,HFO,97.1944445222,Heavy Fuel Oil
GNQ,2026.0,HYD,514.6388893006,Hydropower
GNQ,2026.0,LFO,16.944444458,Light Fuel Oil
GNQ,2026.0,NGA,747.4444450424,Natural Gas
GNQ,2026.0,SOL,2916.0000023328,Solar
GNQ,2027.0,HFO,90.27777785,Heavy Fuel Oil
GNQ,2027.0,HYD,514.6388893006,Hydropower
GNQ,2027.0,LFO,16.916666680200002,Light Fuel Oil
GNQ,2027.0,NGA,814.6388895406001,Natural Gas
GNQ,2027.0,SOL,3094.44444692,Solar
GNQ,2028.0,HFO,83.3333334,Heavy Fuel Oil
GNQ,2028.0,HYD,514.6388893006,Hydropower
GNQ,2028.0,LFO,6.8333333388,Light Fuel Oil
GNQ,2028.0,NGA,881.4722229274001,Natural Gas
GNQ,2028.0,SOL,3286.3611137402,Solar
GNQ,2029.0,HFO,76.38888895000001,Heavy Fuel Oil
GNQ,2029.0,HYD,514.6388893006,Hydropower
GNQ,2029.0,LFO,6.2777777828,Light Fuel Oil
GNQ,2029.0,NGA,948.3611118698,Natural Gas
GNQ,2029.0,SOL,3464.722224994,Solar
GNQ,2030.0,HFO,69.4444445,Heavy Fuel Oil
GNQ,2030.0,HYD,512.4444448544,Hydropower
GNQ,2030.0,LFO,5.694444449000001,Light Fuel Oil
GNQ,2030.0,NGA,927.2777785196,Natural Gas
GNQ,2030.0,SOL,3731.7222252076,Solar
