Country,y,f,Total annual production (GWh),Source
MOZ,2020.0,HFO,23.6944444634,Heavy Fuel Oil
MOZ,2020.0,HYD,9296.250007437,Hydropower
MOZ,2020.0,Imports (ZAF),8576.38889575,Imports (ZAF)
MOZ,2020.0,Imports (ZWE),1121.4722231194,Imports (ZWE)
MOZ,2020.0,LFO,815.5833339858001,Light Fuel Oil
MOZ,2020.0,NGA,680.7777783224001,Natural Gas
MOZ,2020.0,SOL,24.555555575200003,Solar
MOZ,2021.0,HFO,22.500000018,Heavy Fuel Oil
MOZ,2021.0,HYD,9296.250007437,Hydropower
MOZ,2021.0,Imports (ZAF),9175.9166740074,Imports (ZAF)
MOZ,2021.0,LFO,63.47222227300001,Light Fuel Oil
MOZ,2021.0,NGA,646.7222227395999,Natural Gas
MOZ,2021.0,SOL,23.9722222414,Solar
MOZ,2022.0,HFO,21.3333333504,Heavy Fuel Oil
MOZ,2022.0,HYD,9296.250007437,Hydropower
MOZ,2022.0,Imports (ZAF),10325.9444527052,Imports (ZAF)
MOZ,2022.0,LFO,60.138888937,Light Fuel Oil
MOZ,2022.0,NGA,612.6944449346001,Natural Gas
MOZ,2022.0,SOL,23.3888889076,Solar
MOZ,2023.0,HFO,20.138888905,Heavy Fuel Oil
MOZ,2023.0,HYD,9296.250007437,Hydropower
MOZ,2023.0,Imports (ZAF),11405.2500091242,Imports (ZAF)
MOZ,2023.0,LFO,56.777777823200005,Light Fuel Oil
MOZ,2023.0,NGA,887.4166673766001,Natural Gas
MOZ,2023.0,SOL,22.805555573800003,Solar
MOZ,2024.0,HFO,39.5000000316,Heavy Fuel Oil
MOZ,2024.0,HYD,9296.250007437,Hydropower
MOZ,2024.0,Imports (ZAF),7251.6388946902,Imports (ZAF)
MOZ,2024.0,LFO,53.4444444872,Light Fuel Oil
MOZ,2024.0,NGA,9704.3611188746,Natural Gas
MOZ,2024.0,SOL,22.22222224,Solar
MOZ,2025.0,HFO,37.0277778074,Heavy Fuel Oil
MOZ,2025.0,HYD,9296.250007437,Hydropower
MOZ,2025.0,Imports (ZAF),6919.027783313,Imports (ZAF)
MOZ,2025.0,Imports (ZWE),1441.7777789312,Imports (ZWE)
MOZ,2025.0,LFO,50.11111115120001,Light Fuel Oil
MOZ,2025.0,NGA,11287.1944534742,Natural Gas
MOZ,2025.0,SOL,21.6388889062,Solar
MOZ,2026.0,COA,8877.3888959908,Coal
MOZ,2026.0,HFO,34.555555583200004,Heavy Fuel Oil
MOZ,2026.0,HYD,9296.250007437,Hydropower
MOZ,2026.0,Imports (SWZ),299.5277780174,Imports (SWZ)
MOZ,2026.0,Imports (ZAF),1773.5555569744,Imports (ZAF)
MOZ,2026.0,Imports (ZWE),2600.6388909694,Imports (ZWE)
MOZ,2026.0,LFO,46.7777778152,Light Fuel Oil
MOZ,2026.0,NGA,12863.333343624,Natural Gas
MOZ,2026.0,SOL,21.055555572400003,Solar
MOZ,2027.0,COA,8877.3888959908,Coal
MOZ,2027.0,HFO,24.166666686,Heavy Fuel Oil
MOZ,2027.0,HYD,9296.250007437,Hydropower
MOZ,2027.0,Imports (SWZ),335.33333360160003,Imports (SWZ)
MOZ,2027.0,Imports (ZAF),2565.1666687188003,Imports (ZAF)
MOZ,2027.0,Imports (ZWE),2600.6388909694,Imports (ZWE)
MOZ,2027.0,LFO,43.4166667014,Light Fuel Oil
MOZ,2027.0,NGA,12809.8888991368,Natural Gas
MOZ,2027.0,SOL,20.4444444608,Solar
MOZ,2028.0,COA,8877.3888959908,Coal
MOZ,2028.0,HFO,22.3055555734,Heavy Fuel Oil
MOZ,2028.0,HYD,9296.250007437,Hydropower
MOZ,2028.0,Imports (SWZ),1691.3611124642,Imports (SWZ)
MOZ,2028.0,Imports (ZWE),2600.6388909694,Imports (ZWE)
MOZ,2028.0,LFO,40.0833333654,Light Fuel Oil
MOZ,2028.0,NGA,14590.9166783394,Natural Gas
MOZ,2028.0,SOL,19.861111127,Solar
MOZ,2029.0,COA,8877.3888959908,Coal
MOZ,2029.0,HFO,20.4444444608,Heavy Fuel Oil
MOZ,2029.0,HYD,9296.250007437,Hydropower
MOZ,2029.0,Imports (SWZ),578.0833337958001,Imports (SWZ)
MOZ,2029.0,Imports (ZWE),2276.6944462658,Imports (ZWE)
MOZ,2029.0,LFO,36.7500000294,Light Fuel Oil
MOZ,2029.0,NGA,16939.166680218,Natural Gas
MOZ,2029.0,SOL,19.2777777932,Solar
MOZ,2030.0,COA,8877.3888959908,Coal
MOZ,2030.0,HFO,24.694444464200004,Heavy Fuel Oil
MOZ,2030.0,HYD,9296.250007437,Hydropower
MOZ,2030.0,Imports (ZWE),1275.5277787982,Imports (ZWE)
MOZ,2030.0,LFO,52.4444444864,Light Fuel Oil
MOZ,2030.0,NGA,27122.361132809,Natural Gas
MOZ,2030.0,SOL,18.6944444594,Solar
