Country,y,f,Total annual production (GWh),Source
NAM,2020.0,COA,168.3888890236,Coal
NAM,2020.0,HFO,64.2777778292,Heavy Fuel Oil
NAM,2020.0,HYD,1468.8333345084,Hydropower
NAM,2020.0,Imports (ZAF),3875.9444475452,Imports (ZAF)
NAM,2020.0,LFO,15.8055555682,Light Fuel Oil
NAM,2020.0,SOL,103.9444445276,Solar
NAM,2020.0,WIN,15.1944444566,Wind
NAM,2021.0,COA,168.3888890236,Coal
NAM,2021.0,HFO,61.0555556044,Heavy Fuel Oil
NAM,2021.0,HYD,1468.8333345084,Hydropower
NAM,2021.0,Imports (ZAF),5034.0833373606,Imports (ZAF)
NAM,2021.0,LFO,17.833333347600004,Light Fuel Oil
NAM,2021.0,SOL,102.4444445264,Solar
NAM,2021.0,WIN,15.1944444566,Wind
NAM,2022.0,BIO,0.3611111114,Biomass
NAM,2022.0,COA,339.75000027180005,Coal
NAM,2022.0,HFO,80.4444445088,Heavy Fuel Oil
NAM,2022.0,HYD,1468.8333345084,Hydropower
NAM,2022.0,Imports (ZAF),6019.4166714822,Imports (ZAF)
NAM,2022.0,Imports (ZWE),85.3055556238,Imports (ZWE)
NAM,2022.0,LFO,18.8611111262,Light Fuel Oil
NAM,2022.0,SOL,100.9444445252,Solar
NAM,2022.0,WIN,15.1944444566,Wind
NAM,2023.0,BIO,0.8611111118,Biomass
NAM,2023.0,COA,748.9444450436001,Coal
NAM,2023.0,HFO,71.77777783520001,Heavy Fuel Oil
NAM,2023.0,HYD,1468.8333345084,Hydropower
NAM,2023.0,Imports (ZAF),6241.1666716596,Imports (ZAF)
NAM,2023.0,Imports (ZWE),205.972222387,Imports (ZWE)
NAM,2023.0,LFO,17.805555569800003,Light Fuel Oil
NAM,2023.0,NGA,635.9166671754,Natural Gas
NAM,2023.0,SOL,99.444444524,Solar
NAM,2023.0,WIN,15.1944444566,Wind
NAM,2024.0,BIO,0.8055555562,Biomass
NAM,2024.0,COA,757.8055561618,Coal
NAM,2024.0,HFO,107.1111111968,Heavy Fuel Oil
NAM,2024.0,HYD,1590.4722234946,Hydropower
NAM,2024.0,Imports (ZAF),4739.1388926802,Imports (ZAF)
NAM,2024.0,Imports (ZWE),185.1666668148,Imports (ZWE)
NAM,2024.0,LFO,16.6111111244,Light Fuel Oil
NAM,2024.0,NGA,3501.3055583566,Natural Gas
NAM,2024.0,SOL,97.9722223006,Solar
NAM,2024.0,WIN,15.1944444566,Wind
NAM,2025.0,BIO,0.5000000004,Biomass
NAM,2025.0,COA,715.7222227948,Coal
NAM,2025.0,HFO,100.416666747,Heavy Fuel Oil
NAM,2025.0,HYD,2406.3611130362,Hydropower
NAM,2025.0,Imports (ZAF),5043.833337368401,Imports (ZAF)
NAM,2025.0,Imports (ZWE),206.4166668318,Imports (ZWE)
NAM,2025.0,LFO,15.833333346000002,Light Fuel Oil
NAM,2025.0,NGA,3845.3333364096,Natural Gas
NAM,2025.0,SOL,96.4722222994,Solar
NAM,2025.0,WIN,15.1944444566,Wind
NAM,2026.0,BIO,0.4444444448,Biomass
NAM,2026.0,COA,673.61111165,Coal
NAM,2026.0,HFO,93.7222222972,Heavy Fuel Oil
NAM,2026.0,HYD,2855.1388911730005,Hydropower
NAM,2026.0,Imports (ZAF),5068.2222262768,Imports (ZAF)
NAM,2026.0,Imports (ZWE),163.6666667976,Imports (ZWE)
NAM,2026.0,LFO,13.194444455,Light Fuel Oil
NAM,2026.0,NGA,4260.777781186401,Natural Gas
NAM,2026.0,SOL,779.8055561794,Solar
NAM,2026.0,WIN,15.1944444566,Wind
NAM,2027.0,BIO,0.3888888892,Biomass
NAM,2027.0,COA,631.5000005052001,Coal
