Country,y,f,Total annual production (GWh),Source
NGA,2020.0,BIO,30.7500000246,Biomass
NGA,2020.0,HFO,2008.4166682734,Heavy Fuel Oil
NGA,2020.0,HYD,12567.4722322762,Hydropower
NGA,2020.0,LFO,214.13888906020003,Light Fuel Oil
NGA,2020.0,NGA,20515.1111275232,Natural Gas
NGA,2020.0,SOL,29.6388889126,Solar
NGA,2020.0,WIN,22.7222222404,Wind
NGA,2021.0,BIO,29.1944444678,Biomass
NGA,2021.0,HFO,10675.2222307624,Heavy Fuel Oil
NGA,2021.0,HYD,12567.4722322762,Hydropower
NGA,2021.0,LFO,392.6111114252001,Light Fuel Oil
NGA,2021.0,NGA,27270.861132927803,Natural Gas
NGA,2021.0,SOL,330.277778042,Solar
NGA,2021.0,WIN,22.083333351,Wind
NGA,2022.0,BIO,1983.6944460314,Biomass
NGA,2022.0,COA,4446.583336890601,Coal
NGA,2022.0,HFO,10173.1388970274,Heavy Fuel Oil
NGA,2022.0,HYD,12567.4722322762,Hydropower
NGA,2022.0,LFO,380.6111114156,Light Fuel Oil
NGA,2022.0,NGA,38124.1111416104,Natural Gas
NGA,2022.0,SOL,411.1944447734,Solar
NGA,2022.0,WIN,21.472222239400004,Wind
NGA,2023.0,BIO,3100.1944469246,Biomass
NGA,2023.0,COA,8893.138896003402,Coal
NGA,2023.0,HFO,9671.0277855146,Heavy Fuel Oil
NGA,2023.0,HYD,15688.222234772802,Hydropower
NGA,2023.0,Imports (BEN),441.527778131,Imports (BEN)
NGA,2023.0,Imports (NER),28.9444444676,Imports (NER)
NGA,2023.0,LFO,369.0000002952,Light Fuel Oil
NGA,2023.0,NGA,45606.4167031518,Natural Gas
NGA,2023.0,SOL,468.7777781528,Solar
NGA,2023.0,WIN,20.8611111278,Wind
NGA,2024.0,BIO,6147.6111160292,Biomass
NGA,2024.0,COA,35823.9722508814,Coal
NGA,2024.0,HFO,1606.7222235076,Heavy Fuel Oil
NGA,2024.0,HYD,17935.166681014798,Hydropower
NGA,2024.0,LFO,357.7222225084,Light Fuel Oil
NGA,2024.0,NGA,40127.1389209906,Natural Gas
NGA,2024.0,SOL,501.944444846,Solar
NGA,2024.0,WIN,20.1944444606,Wind
NGA,2025.0,BIO,9652.6666743888,Biomass
NGA,2025.0,COA,51535.916707895405,Coal
NGA,2025.0,HFO,2356.6388907742003,Heavy Fuel Oil
NGA,2025.0,HYD,21055.9166835114,Hydropower
NGA,2025.0,LFO,346.8888891664001,Light Fuel Oil
NGA,2025.0,NGA,39471.944476022,Natural Gas
NGA,2025.0,SOL,508.9722226294,Solar
NGA,2025.0,WIN,19.583333349,Wind
NGA,2026.0,BIO,10141.2222303352,Biomass
NGA,2026.0,COA,51636.0555968644,Coal
NGA,2026.0,HFO,3401.944447166,Heavy Fuel Oil
NGA,2026.0,HYD,24176.666686008,Hydropower
NGA,2026.0,Imports (NER),160.6666667952,Imports (NER)
NGA,2026.0,LFO,162.4722223522,Light Fuel Oil
NGA,2026.0,NGA,46249.38892588841,Natural Gas
NGA,2026.0,SOL,1307.7222232684,Solar
NGA,2026.0,WIN,18.9444444596,Wind
NGA,2027.0,BIO,10139.6944525562,Biomass
NGA,2027.0,COA,51636.0555968644,Coal
NGA,2027.0,HFO,3192.7500025542004,Heavy Fuel Oil
NGA,2027.0,HYD,27297.416688504603,Hydropower
NGA,2027.0,LFO,164.5000001316,Light Fuel Oil
NGA,2027.0,NGA,50557.1667071124,Natural Gas
NGA,2027.0,SOL,1583.7777790448,Solar
NGA,2027.0,WIN,18.333333348,Wind
NGA,2028.0,BIO,10138.1388969994,Biomass
NGA,2028.0,COA,51636.0555968644,Coal
NGA,2028.0,HFO,2983.5277801646,Heavy Fuel Oil
NGA,2028.0,HYD,30418.1666910012,Hydropower
NGA,2028.0,LFO,128.47222232500002,Light Fuel Oil
NGA,2028.0,NGA,54798.4444882832,Natural Gas
NGA,2028.0,SOL,2027.4166682886,Solar
NGA,2028.0,WIN,17.7222222364,Wind
NGA,2029.0,BIO,10136.6111192204,Biomass
NGA,2029.0,COA,51636.0555968644,Coal
NGA,2029.0,HFO,2774.3333355528,Heavy Fuel Oil
NGA,2029.0,HYD,33538.9166934978,Hydropower
NGA,2029.0,LFO,117.777777872,Light Fuel Oil
NGA,2029.0,NGA,58109.8333798212,Natural Gas
NGA,2029.0,SOL,2314.4444462960005,Solar
NGA,2029.0,WIN,17.055555569200003,Wind
NGA,2030.0,BIO,10135.0833414414,Biomass
NGA,2030.0,COA,51636.0555968644,Coal
NGA,2030.0,HFO,2565.1111131632,Heavy Fuel Oil
NGA,2030.0,HYD,36659.6666959944,Hydropower
NGA,2030.0,LFO,107.083333419,Light Fuel Oil
NGA,2030.0,NGA,61935.138938437005,Natural Gas
NGA,2030.0,SOL,3007.3888912948,Solar
NGA,2030.0,WIN,16.444444457600003,Wind
