Country,y,f,Total annual production (GWh),Source
SEN,2020.0,COA,210.5000001684,Coal
SEN,2020.0,HFO,5306.6388931342,Heavy Fuel Oil
SEN,2020.0,HYD,1061.8888897384,Hydropower
SEN,2020.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2020.0,LFO,227.88888907120003,Light Fuel Oil
SEN,2020.0,SOL,144.8333334492,Solar
SEN,2020.0,WIN,149.8333334532,Wind
SEN,2021.0,BIO,896.1944451614,Biomass
SEN,2021.0,COA,210.5000001684,Coal
SEN,2021.0,HFO,4284.3611145386,Heavy Fuel Oil
SEN,2021.0,HYD,1061.8888897384,Hydropower
SEN,2021.0,Imports (GIN),1514.1944456558,Imports (GIN)
SEN,2021.0,Imports (MRT),486.5833337226,Imports (MRT)
SEN,2021.0,LFO,216.6388890622,Light Fuel Oil
SEN,2021.0,SOL,144.0000001152,Solar
SEN,2021.0,WIN,149.8333334532,Wind
SEN,2022.0,BIO,896.1944451614,Biomass
SEN,2022.0,COA,210.5000001684,Coal
SEN,2022.0,HFO,4453.194448007001,Heavy Fuel Oil
SEN,2022.0,HYD,1061.8888897384,Hydropower
SEN,2022.0,Imports (GIN),1731.3055569406,Imports (GIN)
SEN,2022.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2022.0,LFO,199.1944446038,Light Fuel Oil
SEN,2022.0,SOL,263.16666687720004,Solar
SEN,2022.0,WIN,149.8333334532,Wind
SEN,2023.0,BIO,896.1944451614,Biomass
SEN,2023.0,COA,199.9722223822,Coal
SEN,2023.0,HFO,4602.1944481262,Heavy Fuel Oil
SEN,2023.0,HYD,1317.2500010538,Hydropower
SEN,2023.0,Imports (GIN),1535.2500012282,Imports (GIN)
SEN,2023.0,Imports (GMB),58.5555556024,Imports (GMB)
SEN,2023.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2023.0,LFO,196.250000157,Light Fuel Oil
SEN,2023.0,SOL,262.3055557654,Solar
SEN,2023.0,WIN,149.8333334532,Wind
SEN,2024.0,BIO,896.1944451614,Biomass
SEN,2024.0,COA,189.444444596,Coal
SEN,2024.0,HFO,4367.3888923828,Heavy Fuel Oil
SEN,2024.0,HYD,2983.1666690532,Hydropower
SEN,2024.0,Imports (GIN),920.7500007366,Imports (GIN)
SEN,2024.0,Imports (GMB),6.4722222274000005,Imports (GMB)
SEN,2024.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2024.0,LFO,185.1111112592,Light Fuel Oil
SEN,2024.0,SOL,261.44444465360004,Solar
SEN,2024.0,WIN,149.8333334532,Wind
SEN,2025.0,BIO,896.1944451614,Biomass
SEN,2025.0,COA,219.4722223978,Coal
SEN,2025.0,HFO,4132.5555588616,Heavy Fuel Oil
SEN,2025.0,HYD,4577.083336995,Hydropower
SEN,2025.0,Imports (GIN),596.2222226992,Imports (GIN)
SEN,2025.0,Imports (GMB),0.1944444446,Imports (GMB)
SEN,2025.0,Imports (MRT),413.472222553,Imports (MRT)
SEN,2025.0,LFO,174.722222362,Light Fuel Oil
SEN,2025.0,SOL,305.000000244,Solar
SEN,2025.0,WIN,149.8333334532,Wind
SEN,2026.0,BIO,896.1944451614,Biomass
SEN,2026.0,COA,1509.444445652,Coal
SEN,2026.0,HFO,3897.7500031182,Heavy Fuel Oil
SEN,2026.0,HYD,4577.083336995,Hydropower
SEN,2026.0,Imports (MRT),312.083333583,Imports (MRT)
SEN,2026.0,LFO,148.750000119,Light Fuel Oil
SEN,2026.0,SOL,467.8611114854,Solar
SEN,2026.0,WIN,149.8333334532,Wind
SEN,2027.0,BIO,896.1944451614,Biomass
SEN,2027.0,COA,1947.7777793360003,Coal
SEN,2027.0,HFO,3662.916669597,Heavy Fuel Oil
SEN,2027.0,HYD,4577.083336995,Hydropower
SEN,2027.0,Imports (GIN),84.3333334008,Imports (GIN)
SEN,2027.0,Imports (GMB),28.416666689400003,Imports (GMB)
SEN,2027.0,Imports (MRT),312.083333583,Imports (MRT)
SEN,2027.0,LFO,138.13888899940002,Light Fuel Oil
SEN,2027.0,SOL,574.1111115704,Solar
SEN,2027.0,WIN,149.8333334532,Wind
SEN,2028.0,BIO,896.1944451614,Biomass
SEN,2028.0,COA,2573.1666687252005,Coal
SEN,2028.0,HFO,3428.1111138536003,Heavy Fuel Oil
SEN,2028.0,HYD,4577.083336995,Hydropower
SEN,2028.0,Imports (GIN),322.4444447024,Imports (GIN)
SEN,2028.0,Imports (GMB),30.6666666912,Imports (GMB)
SEN,2028.0,Imports (MRT),312.083333583,Imports (MRT)
SEN,2028.0,LFO,127.50000010200002,Light Fuel Oil
SEN,2028.0,SOL,679.861111655,Solar
SEN,2028.0,WIN,149.8333334532,Wind
SEN,2029.0,BIO,896.1944451614,Biomass
SEN,2029.0,COA,2838.2222244928,Coal
SEN,2029.0,HFO,3193.3055581102,Heavy Fuel Oil
SEN,2029.0,HYD,4577.083336995,Hydropower
SEN,2029.0,Imports (GIN),164.6388890206,Imports (GIN)
SEN,2029.0,Imports (GMB),25.6388889094,Imports (GMB)
SEN,2029.0,Imports (MRT),613.7500004909999,Imports (MRT)
SEN,2029.0,LFO,116.8888889824,Light Fuel Oil
SEN,2029.0,SOL,784.9722228502,Solar
SEN,2029.0,WIN,149.8333334532,Wind
SEN,2030.0,BIO,896.1944451614,Biomass
SEN,2030.0,COA,3450.833336094,Coal
SEN,2030.0,HFO,2958.472224589,Heavy Fuel Oil
SEN,2030.0,HYD,4577.083336995,Hydropower
SEN,2030.0,Imports (GIN),2.9444444468,Imports (GIN)
SEN,2030.0,Imports (GMB),0.138888889,Imports (GMB)
