Country,y,f,Total annual production (GWh),Source
TGO,2020.0,HFO,1.6666666680000002,Heavy Fuel Oil
TGO,2020.0,HYD,582.1388893546,Hydropower
TGO,2020.0,Imports (BEN),919.2777785132,Imports (BEN)
TGO,2020.0,LFO,96.9166667442,Light Fuel Oil
TGO,2020.0,SOL,5.0555555596,Solar
TGO,2021.0,HFO,7.944444450800001,Heavy Fuel Oil
TGO,2021.0,HYD,582.1388893546,Hydropower
TGO,2021.0,Imports (BEN),1496.3333345304002,Imports (BEN)
TGO,2021.0,Imports (GHA),23.5000000188,Imports (GHA)
TGO,2021.0,LFO,91.250000073,Light Fuel Oil
TGO,2021.0,SOL,4.9722222262,Solar
TGO,2022.0,HFO,7.5277777838,Heavy Fuel Oil
TGO,2022.0,HYD,582.1388893546,Hydropower
TGO,2022.0,Imports (BEN),877.5833340354001,Imports (BEN)
TGO,2022.0,Imports (GHA),1301.3611121522,Imports (GHA)
TGO,2022.0,LFO,89.861111183,Light Fuel Oil
TGO,2022.0,NGA,37.9722222526,Natural Gas
TGO,2022.0,SOL,4.861111115000001,Solar
TGO,2023.0,COA,2147.2222239400003,Coal
TGO,2023.0,HFO,7.111111116800001,Heavy Fuel Oil
TGO,2023.0,HYD,1251.6388898901998,Hydropower
TGO,2023.0,Imports (GHA),63.0000000504,Imports (GHA)
TGO,2023.0,LFO,85.138888957,Light Fuel Oil
TGO,2023.0,NGA,38.055555586,Natural Gas
TGO,2023.0,SOL,4.7777777816,Solar
TGO,2024.0,COA,2807.8055578018,Coal
TGO,2024.0,HFO,6.694444449800001,Heavy Fuel Oil
TGO,2024.0,HYD,1251.6388898901998,Hydropower
TGO,2024.0,Imports (BEN),51.805555597,Imports (BEN)
TGO,2024.0,LFO,79.72222228600002,Light Fuel Oil
TGO,2024.0,NGA,38.1111111416,Natural Gas
TGO,2024.0,SOL,49.7777778176,Solar
TGO,2025.0,COA,3470.972224999,Coal
TGO,2025.0,HFO,6.2777777828,Heavy Fuel Oil
TGO,2025.0,HYD,1251.6388898901998,Hydropower
TGO,2025.0,Imports (BEN),37.361111141,Imports (BEN)
TGO,2025.0,LFO,74.27777783719999,Light Fuel Oil
TGO,2025.0,NGA,38.1111111416,Natural Gas
TGO,2025.0,SOL,95.555555632,Solar
TGO,2026.0,COA,4037.8333365636,Coal
TGO,2026.0,HFO,5.861111115800001,Heavy Fuel Oil
TGO,2026.0,HYD,1251.6388898901998,Hydropower
TGO,2026.0,Imports (GHA),120.3055556518,Imports (GHA)
TGO,2026.0,LFO,68.77777783280001,Light Fuel Oil
TGO,2026.0,NGA,40.3055555878,Natural Gas
TGO,2026.0,SOL,146.388889006,Solar
TGO,2027.0,COA,4037.8333365636,Coal
TGO,2027.0,HFO,5.4444444488,Heavy Fuel Oil
TGO,2027.0,HYD,1251.6388898901998,Hydropower
TGO,2027.0,Imports (BEN),324.6111113708,Imports (BEN)
TGO,2027.0,LFO,61.0833333822,Light Fuel Oil
TGO,2027.0,NGA,40.3055555878,Natural Gas
TGO,2027.0,SOL,212.16666683640003,Solar
TGO,2028.0,COA,4037.8333365636,Coal
TGO,2028.0,HFO,2.083333335,Heavy Fuel Oil
TGO,2028.0,HYD,1251.6388898901998,Hydropower
TGO,2028.0,Imports (BEN),500.0277781778,Imports (BEN)
TGO,2028.0,LFO,56.38888893400001,Light Fuel Oil
TGO,2028.0,NGA,40.3055555878,Natural Gas
TGO,2028.0,SOL,309.55555580320004,Solar
TGO,2029.0,COA,4037.8333365636,Coal
TGO,2029.0,HFO,1.9166666682,Heavy Fuel Oil
TGO,2029.0,HYD,1251.6388898901998,Hydropower
TGO,2029.0,Imports (BEN),491.6388892822,Imports (BEN)
TGO,2029.0,Imports (GHA),181.9722223678,Imports (GHA)
TGO,2029.0,LFO,51.6944444858,Light Fuel Oil
TGO,2029.0,NGA,40.3055555878,Natural Gas
TGO,2029.0,SOL,411.5000003292,Solar
TGO,2030.0,COA,4037.8333365636,Coal
TGO,2030.0,HFO,4.1944444478000005,Heavy Fuel Oil
TGO,2030.0,HYD,1251.6388898901998,Hydropower
TGO,2030.0,Imports (BEN),842.1944451182,Imports (BEN)
TGO,2030.0,LFO,47.0000000376,Light Fuel Oil
TGO,2030.0,NGA,40.3055555878,Natural Gas
TGO,2030.0,SOL,518.0833337478,Solar
