Country,y,f,Total annual production (GWh),Source
TZA,2020.0,BIO,86.38888895800001,Biomass
TZA,2020.0,COA,35.7777778064,Coal
TZA,2020.0,GEO,37.222222252,Geothermal
TZA,2020.0,HFO,206.8888890544,Heavy Fuel Oil
TZA,2020.0,HYD,2466.8888908624,Hydropower
TZA,2020.0,Imports (KEN),7835.0555618236,Imports (KEN)
TZA,2020.0,Imports (RWA),222.3888890668,Imports (RWA)
TZA,2020.0,Imports (UGA),1065.1944452966002,Imports (UGA)
TZA,2020.0,LFO,533.1666670932,Light Fuel Oil
TZA,2020.0,NGA,785.3055561838,Natural Gas
TZA,2020.0,SOL,15.7500000126,Solar
TZA,2020.0,WIN,0.0,Wind
TZA,2021.0,BIO,203.5000001628,Biomass
TZA,2021.0,COA,178.9166668098,Coal
TZA,2021.0,GEO,37.222222252,Geothermal
TZA,2021.0,HFO,409.5000003276,Heavy Fuel Oil
TZA,2021.0,HYD,4102.1944477262,Hydropower
TZA,2021.0,Imports (BDI),29.1111111344,Imports (BDI)
TZA,2021.0,Imports (KEN),4899.0833372526,Imports (KEN)
TZA,2021.0,Imports (RWA),165.972222355,Imports (RWA)
TZA,2021.0,Imports (UGA),140.3055556678,Imports (UGA)
TZA,2021.0,Imports (ZMB),3165.9166691994,Imports (ZMB)
TZA,2021.0,LFO,535.1666670948,Light Fuel Oil
TZA,2021.0,NGA,1487.1388900786,Natural Gas
TZA,2021.0,SOL,15.083333345400002,Solar
TZA,2021.0,WIN,0.0,Wind
TZA,2022.0,BIO,192.777777932,Biomass
TZA,2022.0,COA,2179.8888906328,Coal
TZA,2022.0,GEO,148.9166667858,Geothermal
TZA,2022.0,HFO,387.9444447548,Heavy Fuel Oil
TZA,2022.0,HYD,4102.1944477262,Hydropower
TZA,2022.0,Imports (BDI),75.6666667272,Imports (BDI)
TZA,2022.0,Imports (KEN),4319.7777812336,Imports (KEN)
TZA,2022.0,Imports (RWA),900.3333340536001,Imports (RWA)
TZA,2022.0,Imports (UGA),1065.1944452966002,Imports (UGA)
TZA,2022.0,Imports (ZMB),3236.6944470338003,Imports (ZMB)
TZA,2022.0,LFO,506.2777781828,Light Fuel Oil
TZA,2022.0,NGA,2230.9444462292,Natural Gas
TZA,2022.0,SOL,14.444444456,Solar
TZA,2023.0,BIO,182.083333479,Biomass
TZA,2023.0,COA,7189.2777835292,Coal
TZA,2023.0,GEO,148.9166667858,Geothermal
TZA,2023.0,HFO,366.388889182,Heavy Fuel Oil
TZA,2023.0,HYD,4102.1944477262,Hydropower
TZA,2023.0,Imports (KEN),6097.000004877601,Imports (KEN)
TZA,2023.0,Imports (RWA),220.0555557316,Imports (RWA)
TZA,2023.0,Imports (UGA),399.444444764,Imports (UGA)
TZA,2023.0,Imports (ZMB),2320.6111129676,Imports (ZMB)
TZA,2023.0,LFO,477.38888927080006,Light Fuel Oil
TZA,2023.0,NGA,2149.1388906082,Natural Gas
TZA,2023.0,SOL,13.7777777888,Solar
TZA,2024.0,BIO,171.38888902600002,Biomass
TZA,2024.0,COA,8228.3888954716,Coal
TZA,2024.0,GEO,744.6111117068001,Geothermal
TZA,2024.0,HFO,344.83333360920005,Heavy Fuel Oil
TZA,2024.0,HYD,4102.1944477262,Hydropower
TZA,2024.0,Imports (KEN),12039.1111207424,Imports (KEN)
TZA,2024.0,Imports (RWA),105.6111111956,Imports (RWA)
TZA,2024.0,Imports (UGA),221.4444446216,Imports (UGA)
TZA,2024.0,LFO,448.472222581,Light Fuel Oil
TZA,2024.0,NGA,1369.3333344288,Natural Gas
TZA,2024.0,SOL,13.1111111216,Solar
TZA,2025.0,BIO,107.16666675240002,Biomass
TZA,2025.0,COA,10862.9722309126,Coal
TZA,2025.0,GEO,1489.1944456358,Geothermal
TZA,2025.0,HFO,323.2777780364,Heavy Fuel Oil
TZA,2025.0,HYD,6598.8055608346,Hydropower
TZA,2025.0,Imports (KEN),9653.750007723002,Imports (KEN)
TZA,2025.0,Imports (RWA),416.2777781108,Imports (RWA)
TZA,2025.0,Imports (UGA),381.5555558608,Imports (UGA)
TZA,2025.0,Imports (ZMB),299.2777780172,Imports (ZMB)
TZA,2025.0,LFO,421.38888922600006,Light Fuel Oil
TZA,2025.0,NGA,1330.0555566196,Natural Gas
TZA,2025.0,SOL,12.472222232200002,Solar
TZA,2026.0,BIO,96.4444445216,Biomass
TZA,2026.0,COA,12879.861121415002,Coal
TZA,2026.0,GEO,2233.8055573426004,Geothermal
TZA,2026.0,HFO,301.7222224636,Heavy Fuel Oil
TZA,2026.0,HYD,11592.0000092736,Hydropower
TZA,2026.0,Imports (KEN),8068.3055620102,Imports (KEN)
TZA,2026.0,Imports (RWA),299.2222224616,Imports (RWA)
TZA,2026.0,Imports (UGA),367.5277780718,Imports (UGA)
TZA,2026.0,Imports (ZMB),192.6666668208,Imports (ZMB)
TZA,2026.0,LFO,389.7500003118,Light Fuel Oil
TZA,2026.0,NGA,1290.8055565882005,Natural Gas
TZA,2026.0,SOL,11.805555565,Solar
TZA,2027.0,BIO,85.75000006860002,Biomass
TZA,2027.0,COA,13797.22223326,Coal
TZA,2027.0,GEO,2978.3888912716,Geothermal
TZA,2027.0,HFO,280.1666668908,Heavy Fuel Oil
TZA,2027.0,HYD,11592.0000092736,Hydropower
TZA,2027.0,Imports (KEN),9746.6944522418,Imports (KEN)
TZA,2027.0,Imports (RWA),1118.5833342282,Imports (RWA)
TZA,2027.0,Imports (UGA),369.91666696260006,Imports (UGA)
TZA,2027.0,Imports (ZMB),211.0555557244,Imports (ZMB)
TZA,2027.0,LFO,349.5277780574,Light Fuel Oil
TZA,2027.0,NGA,1251.5277787789998,Natural Gas
TZA,2027.0,SOL,11.1388888978,Solar
TZA,2028.0,BIO,75.0555556156,Biomass
TZA,2028.0,COA,15884.5000127076,Coal
TZA,2028.0,GEO,3723.0000029784,Geothermal
TZA,2028.0,HFO,258.63888909580004,Heavy Fuel Oil
TZA,2028.0,HYD,11592.0000092736,Hydropower
TZA,2028.0,Imports (KEN),11175.3333422736,Imports (KEN)
TZA,2028.0,Imports (RWA),929.6944451882,Imports (RWA)
TZA,2028.0,Imports (UGA),399.444444764,Imports (UGA)
TZA,2028.0,Imports (ZMB),229.16666685,Imports (ZMB)
TZA,2028.0,LFO,305.416666911,Light Fuel Oil
TZA,2028.0,NGA,1216.6111120843998,Natural Gas
TZA,2028.0,SOL,401.0833336542,Solar
TZA,2029.0,BIO,64.3333333848,Biomass
TZA,2029.0,COA,16144.861124027002,Coal
TZA,2029.0,GEO,4467.611114685201,Geothermal
TZA,2029.0,HFO,237.083333523,Heavy Fuel Oil
TZA,2029.0,HYD,11592.0000092736,Hydropower
TZA,2029.0,Imports (KEN),13062.166677116402,Imports (KEN)
TZA,2029.0,Imports (RWA),1123.055556454,Imports (RWA)
TZA,2029.0,Imports (UGA),399.444444764,Imports (UGA)
TZA,2029.0,Imports (ZMB),299.2777780172,Imports (ZMB)
TZA,2029.0,LFO,279.9444446684,Light Fuel Oil
TZA,2029.0,NGA,1186.1388898378,Natural Gas
TZA,2029.0,SOL,1213.0000009704,Solar
TZA,2030.0,BIO,53.63888893180001,Biomass
TZA,2030.0,COA,19467.1111266848,Coal
TZA,2030.0,GEO,4839.8888927608,Geothermal
TZA,2030.0,HFO,215.52777795020003,Heavy Fuel Oil
TZA,2030.0,HYD,11592.0000092736,Hydropower
TZA,2030.0,Imports (KEN),13744.9444554404,Imports (KEN)
TZA,2030.0,Imports (RWA),873.888889588,Imports (RWA)
TZA,2030.0,Imports (UGA),289.00000023120003,Imports (UGA)
TZA,2030.0,LFO,254.5000002036,Light Fuel Oil
TZA,2030.0,NGA,1267.2777787916,Natural Gas
TZA,2030.0,SOL,2047.2500016378,Solar
