Country,y,f,Total annual production (GWh),Source
ZWE,2020.0,BIO,387.222222532,Biomass
ZWE,2020.0,COA,3719.000002975201,Coal
ZWE,2020.0,HYD,4148.8611144302,Hydropower
ZWE,2020.0,Imports (ZMB),1135.5000009084,Imports (ZMB)
ZWE,2020.0,SOL,9.2777777852,Solar
ZWE,2021.0,BIO,367.8611114054,Biomass
ZWE,2021.0,COA,8508.222229028801,Coal
ZWE,2021.0,HYD,4148.8611144302,Hydropower
ZWE,2021.0,Imports (MOZ),568.5833337882,Imports (MOZ)
ZWE,2021.0,Imports (ZAF),1872.4444459424,Imports (ZAF)
ZWE,2021.0,SOL,9.2777777852,Solar
ZWE,2022.0,BIO,348.5000002788,Biomass
ZWE,2022.0,COA,12954.7777881416,Coal
ZWE,2022.0,HYD,4148.8611144302,Hydropower
ZWE,2022.0,Imports (ZAF),1367.0555566492,Imports (ZAF)
ZWE,2022.0,SOL,9.2777777852,Solar
ZWE,2023.0,BIO,329.1388891522,Biomass
ZWE,2023.0,COA,12562.7222322724,Coal
ZWE,2023.0,HYD,4148.8611144302,Hydropower
ZWE,2023.0,Imports (MOZ),20.2500000162,Imports (MOZ)
ZWE,2023.0,Imports (ZAF),2995.9444468412,Imports (ZAF)
ZWE,2023.0,SOL,9.2777777852,Solar
ZWE,2024.0,BIO,309.7777780256,Biomass
ZWE,2024.0,COA,12170.6666764032,Coal
ZWE,2024.0,HYD,4148.8611144302,Hydropower
ZWE,2024.0,Imports (MOZ),1141.250000913,Imports (MOZ)
ZWE,2024.0,Imports (ZAF),67.80555560980001,Imports (ZAF)
ZWE,2024.0,SOL,9.2777777852,Solar
ZWE,2025.0,BIO,193.611111266,Biomass
ZWE,2025.0,COA,11778.611120534,Coal
ZWE,2025.0,HYD,4148.8611144302,Hydropower
ZWE,2025.0,Imports (MOZ),633.6111116180001,Imports (MOZ)
ZWE,2025.0,Imports (ZAF),133.1388889954,Imports (ZAF)
ZWE,2025.0,SOL,9.2777777852,Solar
ZWE,2026.0,BIO,174.2500001394,Biomass
ZWE,2026.0,COA,12215.7500097726,Coal
ZWE,2026.0,HYD,4148.8611144302,Hydropower
ZWE,2026.0,Imports (MOZ),462.083333703,Imports (MOZ)
ZWE,2026.0,Imports (ZAF),210.0833335014,Imports (ZAF)
ZWE,2026.0,SOL,9.2777777852,Solar
ZWE,2027.0,BIO,154.8888890128,Biomass
ZWE,2027.0,COA,12771.1944546614,Coal
ZWE,2027.0,HYD,4148.8611144302,Hydropower
ZWE,2027.0,Imports (MOZ),635.8611116198,Imports (MOZ)
ZWE,2027.0,Imports (ZAF),192.638889043,Imports (ZAF)
ZWE,2027.0,SOL,9.2777777852,Solar
ZWE,2028.0,BIO,135.5277778862,Biomass
ZWE,2028.0,COA,14602.277789459602,Coal
ZWE,2028.0,HYD,4148.8611144302,Hydropower
ZWE,2028.0,Imports (MOZ),585.9166671354001,Imports (MOZ)
ZWE,2028.0,Imports (ZAF),42.750000034200006,Imports (ZAF)
ZWE,2028.0,SOL,9.2777777852,Solar
ZWE,2029.0,BIO,116.1666667596,Biomass
ZWE,2029.0,COA,18219.277792353205,Coal
ZWE,2029.0,HYD,4148.8611144302,Hydropower
ZWE,2029.0,Imports (MOZ),115.0555556476,Imports (MOZ)
ZWE,2029.0,SOL,9.2777777852,Solar
ZWE,2030.0,BIO,96.805555633,Biomass
ZWE,2030.0,COA,20687.083349883,Coal
ZWE,2030.0,HYD,4148.8611144302,Hydropower
ZWE,2030.0,SOL,9.2777777852,Solar
