Country,y,f,Total installed capacity (GW),Source
BDI,2020,HYD,0.075227,Hydropower
BDI,2020,LFO,0.0071717609110246,Light Fuel Oil
BDI,2020,SOL,0.00485,Solar
BDI,2021,HYD,0.075227,Hydropower
BDI,2021,LFO,0.0068692609110247,Light Fuel Oil
BDI,2021,SOL,0.0047,Solar
BDI,2022,HYD,0.124227,Hydropower
BDI,2022,LFO,0.0065667609110247,Light Fuel Oil
BDI,2022,SOL,0.00455,Solar
BDI,2023,HYD,0.3454239321509962,Hydropower
BDI,2023,LFO,0.0062642609110247,Light Fuel Oil
BDI,2023,SOL,0.0043999999999999,Solar
BDI,2024,GEO,0.1,Geothermal
BDI,2024,HYD,0.3454239321509962,Hydropower
BDI,2024,LFO,0.0059617609110247,Light Fuel Oil
BDI,2024,SOL,0.00425,Solar
BDI,2025,GEO,0.1,Geothermal
BDI,2025,HYD,0.3454239321509962,Hydropower
BDI,2025,LFO,0.0056592609110246,Light Fuel Oil
BDI,2025,SOL,0.0040999999999999,Solar
BDI,2026,GEO,0.1,Geothermal
BDI,2026,HYD,0.3454239321509962,Hydropower
BDI,2026,LFO,0.0053488655987521,Light Fuel Oil
BDI,2026,SOL,0.00395,Solar
BDI,2027,GEO,0.1,Geothermal
BDI,2027,HYD,0.3454239321509962,Hydropower
BDI,2027,LFO,0.0042535486708299,Light Fuel Oil
BDI,2027,SOL,0.0038,Solar
BDI,2028,GEO,0.1,Geothermal
BDI,2028,HYD,0.3454239321509962,Hydropower
BDI,2028,LFO,0.00363,Light Fuel Oil
BDI,2028,SOL,0.0151911280558451,Solar
BDI,2029,GEO,0.1,Geothermal
BDI,2029,HYD,0.3702568015827684,Hydropower
BDI,2029,LFO,0.0033275,Light Fuel Oil
BDI,2029,SOL,0.0253939377764647,Solar
BDI,2030,GEO,0.1,Geothermal
BDI,2030,HYD,0.3953144221631723,Hydropower
BDI,2030,LFO,0.003025,Light Fuel Oil
BDI,2030,SOL,0.0372133402447727,Solar
