Country,y,f,Total installed capacity (GW),Source
CAF,2020,HYD,0.018751,Hydropower
CAF,2020,LFO,0.0438631425307431,Light Fuel Oil
CAF,2021,BIO,0.0562871472233856,Biomass
CAF,2021,HFO,0.0008443167111729,Heavy Fuel Oil
CAF,2021,HYD,0.018751,Hydropower
CAF,2021,LFO,0.0434914925307431,Light Fuel Oil
CAF,2022,BIO,0.0669192412909286,Biomass
CAF,2022,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2022,HYD,0.018751,Hydropower
CAF,2022,LFO,0.0431198425307431,Light Fuel Oil
CAF,2023,BIO,0.0669192412909286,Biomass
CAF,2023,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2023,HYD,0.0795316782057189,Hydropower
CAF,2023,LFO,0.0427481925307431,Light Fuel Oil
CAF,2024,BIO,0.0669192412909286,Biomass
CAF,2024,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2024,HYD,0.1129565170241272,Hydropower
CAF,2024,LFO,0.0423765425307431,Light Fuel Oil
CAF,2025,BIO,0.0669192412909286,Biomass
CAF,2025,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2025,HYD,0.1527383230537149,Hydropower
CAF,2025,LFO,0.0057824894529222,Light Fuel Oil
CAF,2026,BIO,0.0669192412909286,Biomass
CAF,2026,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2026,HYD,0.1877783165875239,Hydropower
CAF,2026,LFO,0.0052031,Light Fuel Oil
CAF,2026,SOL,0.0034290262114578,Solar
CAF,2027,BIO,0.0669192412909286,Biomass
CAF,2027,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2027,HYD,0.1975630409263145,Hydropower
CAF,2027,LFO,0.00483145,Light Fuel Oil
CAF,2027,SOL,0.0070474551202888,Solar
CAF,2028,BIO,0.0669192412909286,Biomass
CAF,2028,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2028,HYD,0.2065641642291203,Hydropower
CAF,2028,LFO,0.0044598,Light Fuel Oil
CAF,2028,SOL,0.0115689017901654,Solar
CAF,2029,BIO,0.0669192412909286,Biomass
CAF,2029,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2029,HYD,0.2065641642291203,Hydropower
CAF,2029,LFO,0.00408815,Light Fuel Oil
CAF,2029,SOL,0.0288753427374413,Solar
CAF,2030,BIO,0.0669192412909286,Biomass
CAF,2030,HFO,0.0032598604438793,Heavy Fuel Oil
CAF,2030,HYD,0.2065641642291203,Hydropower
CAF,2030,LFO,0.0037165,Light Fuel Oil
CAF,2030,SOL,0.0525971315460958,Solar
