Country,y,f,Total installed capacity (GW),Source
ETH,2020,BIO,0.1962,Biomass
ETH,2020,GEO,0.1285,Geothermal
ETH,2020,HYD,5.245628000000001,Hydropower
ETH,2020,LFO,0.141634,Light Fuel Oil
ETH,2020,SOL,0.012702,Solar
ETH,2020,WIN,0.32218,Wind
ETH,2021,BIO,0.18639,Biomass
ETH,2021,GEO,0.2985,Geothermal
ETH,2021,HYD,6.325628000000001,Hydropower
ETH,2021,LFO,0.1345523,Light Fuel Oil
ETH,2021,SOL,0.012244,Solar
ETH,2021,WIN,0.313621,Wind
ETH,2022,BIO,0.17658,Biomass
ETH,2022,GEO,0.3985,Geothermal
ETH,2022,HYD,7.405628000000001,Hydropower
ETH,2022,LFO,0.1274706,Light Fuel Oil
ETH,2022,SOL,0.011786,Solar
ETH,2022,WIN,0.305062,Wind
ETH,2023,BIO,0.16677,Biomass
ETH,2023,GEO,0.5985,Geothermal
ETH,2023,HYD,10.030628,Hydropower
ETH,2023,LFO,0.1203889,Light Fuel Oil
ETH,2023,SOL,0.011328,Solar
ETH,2023,WIN,0.2965029999999999,Wind
ETH,2024,BIO,0.15696,Biomass
ETH,2024,GEO,0.8485,Geothermal
ETH,2024,HYD,12.655628,Hydropower
ETH,2024,LFO,0.1133072,Light Fuel Oil
ETH,2024,SOL,0.01087,Solar
ETH,2024,WIN,0.287944,Wind
ETH,2025,BIO,0.0981,Biomass
ETH,2025,GEO,1.0485,Geothermal
ETH,2025,HYD,12.655628,Hydropower
ETH,2025,LFO,0.1062255,Light Fuel Oil
ETH,2025,SOL,0.010412,Solar
ETH,2025,WIN,0.279385,Wind
ETH,2026,BIO,0.08829,Biomass
ETH,2026,GEO,1.048075,Geothermal
ETH,2026,HYD,12.655628,Hydropower
ETH,2026,LFO,0.0991438,Light Fuel Oil
ETH,2026,SOL,0.009954,Solar
ETH,2026,WIN,0.270826,Wind
ETH,2027,BIO,0.07848,Biomass
ETH,2027,GEO,1.181155727542172,Geothermal
ETH,2027,HYD,12.655628,Hydropower
ETH,2027,LFO,0.0920621,Light Fuel Oil
ETH,2027,SOL,0.009496,Solar
ETH,2027,WIN,0.262267,Wind
ETH,2028,BIO,0.06867,Biomass
ETH,2028,GEO,1.379111660227303,Geothermal
ETH,2028,HYD,12.655628,Hydropower
ETH,2028,LFO,0.0849804,Light Fuel Oil
ETH,2028,SOL,0.509038,Solar
ETH,2028,WIN,0.253708,Wind
ETH,2029,BIO,0.05886,Biomass
ETH,2029,GEO,1.608293436137175,Geothermal
ETH,2029,HYD,12.655628,Hydropower
ETH,2029,LFO,0.0778987,Light Fuel Oil
ETH,2029,SOL,1.0085799999999998,Solar
ETH,2029,WIN,0.245149,Wind
ETH,2030,BIO,0.04905,Biomass
ETH,2030,GEO,1.6078684361371751,Geothermal
ETH,2030,HYD,12.655628,Hydropower
ETH,2030,LFO,0.070817,Light Fuel Oil
ETH,2030,SOL,1.6405075464833945,Solar
ETH,2030,WIN,0.23659,Wind
