Country,y,f,Total installed capacity (GW),Source
GNQ,2020,GAS,0.1792393431688546,Natural Gas
GNQ,2020,HFO,0.02984,Heavy Fuel Oil
GNQ,2020,HYD,0.12735,Hydropower
GNQ,2020,LFO,0.1580043364059416,Light Fuel Oil
GNQ,2020,SOL,0.4547454819534442,Solar
GNQ,2021,GAS,0.1779670672391201,Natural Gas
GNQ,2021,HFO,0.028348,Heavy Fuel Oil
GNQ,2021,HYD,0.12735,Hydropower
GNQ,2021,LFO,0.1575793364059416,Light Fuel Oil
GNQ,2021,SOL,0.4758757575539712,Solar
GNQ,2022,GAS,0.1828638367972579,Natural Gas
GNQ,2022,HFO,0.026856,Heavy Fuel Oil
GNQ,2022,HYD,0.12735,Hydropower
GNQ,2022,LFO,0.1571543364059416,Light Fuel Oil
GNQ,2022,SOL,0.5436123747993474,Solar
GNQ,2023,GAS,0.175518836797258,Natural Gas
GNQ,2023,HFO,0.025364,Heavy Fuel Oil
GNQ,2023,HYD,0.1982715370606463,Hydropower
GNQ,2023,LFO,0.1567293364059416,Light Fuel Oil
GNQ,2023,SOL,0.5650192718774357,Solar
GNQ,2024,GAS,0.168173836797258,Natural Gas
GNQ,2024,HFO,0.023872,Heavy Fuel Oil
GNQ,2024,HYD,0.1982715370606463,Hydropower
GNQ,2024,LFO,0.1563043364059416,Light Fuel Oil
GNQ,2024,SOL,0.6403297864498483,Solar
GNQ,2025,GAS,0.160828836797258,Natural Gas
GNQ,2025,HFO,0.02238,Heavy Fuel Oil
GNQ,2025,HYD,0.1982715370606463,Hydropower
GNQ,2025,LFO,0.0809961653328728,Light Fuel Oil
GNQ,2025,SOL,0.7690280541639626,Solar
GNQ,2026,GAS,0.153483836797258,Natural Gas
GNQ,2026,HFO,0.020888,Heavy Fuel Oil
GNQ,2026,HYD,0.1982715370606463,Hydropower
GNQ,2026,LFO,0.0805711653328728,Light Fuel Oil
GNQ,2026,SOL,0.8951181159441515,Solar
GNQ,2027,GAS,0.146138836797258,Natural Gas
GNQ,2027,HFO,0.019396,Heavy Fuel Oil
GNQ,2027,HYD,0.1982715370606463,Hydropower
GNQ,2027,LFO,0.0801461653328728,Light Fuel Oil
GNQ,2027,SOL,1.0339233976832356,Solar
GNQ,2028,GAS,0.1387938367972579,Natural Gas
GNQ,2028,HFO,0.017904,Heavy Fuel Oil
GNQ,2028,HYD,0.1982715370606463,Hydropower
GNQ,2028,LFO,0.0051,Light Fuel Oil
GNQ,2028,SOL,1.1285395076269928,Solar
GNQ,2029,GAS,0.131448836797258,Natural Gas
GNQ,2029,HFO,0.016412,Heavy Fuel Oil
GNQ,2029,HYD,0.1982715370606463,Hydropower
GNQ,2029,LFO,0.004675,Light Fuel Oil
GNQ,2029,SOL,1.222832318105267,Solar
GNQ,2030,GAS,0.124103836797258,Natural Gas
GNQ,2030,HFO,0.01492,Heavy Fuel Oil
GNQ,2030,HYD,0.1982715370606463,Hydropower
GNQ,2030,LFO,0.00425,Light Fuel Oil
GNQ,2030,SOL,1.4826912510164891,Solar
