Country,y,f,Total installed capacity (GW),Source
SSD,2020,GAS,0.072358733643025,Natural Gas
SSD,2020,HFO,0.012,Heavy Fuel Oil
SSD,2020,LFO,0.1492901582457418,Light Fuel Oil
SSD,2021,GAS,0.0734987619424508,Natural Gas
SSD,2021,HFO,0.0114,Heavy Fuel Oil
SSD,2021,LFO,0.1482956582457419,Light Fuel Oil
SSD,2022,GAS,0.0734987619424508,Natural Gas
SSD,2022,HFO,0.0108,Heavy Fuel Oil
SSD,2022,LFO,0.1473011582457419,Light Fuel Oil
SSD,2023,GAS,0.0734987619424508,Natural Gas
SSD,2023,HFO,0.0102,Heavy Fuel Oil
SSD,2023,LFO,0.1463066582457418,Light Fuel Oil
SSD,2024,GAS,0.0734987619424508,Natural Gas
SSD,2024,GEO,0.0762196566556747,Geothermal
SSD,2024,HFO,0.0096,Heavy Fuel Oil
SSD,2024,LFO,0.1453121582457419,Light Fuel Oil
SSD,2025,GAS,0.0734987619424508,Natural Gas
SSD,2025,GEO,0.0821104878369758,Geothermal
SSD,2025,HFO,0.009,Heavy Fuel Oil
SSD,2025,LFO,0.0149175,Light Fuel Oil
SSD,2026,GAS,0.0734987619424508,Natural Gas
SSD,2026,GEO,0.0880469555326292,Geothermal
SSD,2026,HFO,0.0084,Heavy Fuel Oil
SSD,2026,LFO,0.013923,Light Fuel Oil
SSD,2027,GAS,0.0734987619424508,Natural Gas
SSD,2027,GEO,0.0944431831713089,Geothermal
SSD,2027,HFO,0.0078,Heavy Fuel Oil
SSD,2027,LFO,0.0129285,Light Fuel Oil
SSD,2028,GAS,0.0734987619424508,Natural Gas
SSD,2028,GEO,0.0994009301843504,Geothermal
SSD,2028,HFO,0.0072,Heavy Fuel Oil
SSD,2028,LFO,0.011934,Light Fuel Oil
SSD,2029,GAS,0.0734987619424508,Natural Gas
SSD,2029,GEO,0.1043907871710372,Geothermal
SSD,2029,HFO,0.0066,Heavy Fuel Oil
SSD,2029,LFO,0.0109395,Light Fuel Oil
SSD,2030,GAS,0.0734987619424508,Natural Gas
SSD,2030,GEO,0.1099611655491483,Geothermal
SSD,2030,HFO,0.006,Heavy Fuel Oil
SSD,2030,LFO,0.009945,Light Fuel Oil
