Country,y,f,Total installed capacity (GW),Source
TZA,2020,BIO,0.05363,Biomass
TZA,2020,COA,0.0255,Coal
TZA,2020,GAS,0.799595,Natural Gas
TZA,2020,GEO,0.005,Geothermal
TZA,2020,HFO,0.154372,Heavy Fuel Oil
TZA,2020,HYD,0.6060249999999999,Hydropower
TZA,2020,LFO,0.4265485466422394,Light Fuel Oil
TZA,2020,SOL,0.0096912,Solar
TZA,2021,BIO,2.043207399785675,Biomass
TZA,2021,COA,0.0255,Coal
TZA,2021,GAS,0.77161525,Natural Gas
TZA,2021,GEO,0.005,Geothermal
TZA,2021,HFO,0.1466534,Heavy Fuel Oil
TZA,2021,HYD,0.999025,Hydropower
TZA,2021,LFO,0.4075597966422394,Light Fuel Oil
TZA,2021,SOL,0.0092864,Solar
TZA,2022,BIO,3.5202792130849256,Biomass
TZA,2022,COA,0.2955,Coal
TZA,2022,GAS,0.7436355,Natural Gas
TZA,2022,GEO,0.02,Geothermal
TZA,2022,HFO,0.1389348,Heavy Fuel Oil
TZA,2022,HYD,0.999025,Hydropower
TZA,2022,LFO,0.3885710466422394,Light Fuel Oil
TZA,2022,SOL,0.0088816,Solar
TZA,2023,BIO,3.5175977130849256,Biomass
TZA,2023,COA,0.294225,Coal
TZA,2023,GAS,0.71565575,Natural Gas
TZA,2023,GEO,0.02,Geothermal
TZA,2023,HFO,0.1312162,Heavy Fuel Oil
TZA,2023,HYD,1.4904909898479866,Hydropower
TZA,2023,LFO,0.3695822966422394,Light Fuel Oil
TZA,2023,SOL,0.0084768,Solar
TZA,2024,BIO,3.5149162130849256,Biomass
TZA,2024,COA,0.29295,Coal
TZA,2024,GAS,0.687676,Natural Gas
TZA,2024,GEO,0.1,Geothermal
TZA,2024,HFO,0.1234976,Heavy Fuel Oil
TZA,2024,HYD,1.4904909898479866,Hydropower
TZA,2024,LFO,0.3505935466422394,Light Fuel Oil
TZA,2024,SOL,0.008072,Solar
TZA,2025,BIO,3.4988272130849256,Biomass
TZA,2025,COA,0.291675,Coal
TZA,2025,GAS,0.65969625,Natural Gas
TZA,2025,GEO,0.2,Geothermal
TZA,2025,HFO,0.115779,Heavy Fuel Oil
TZA,2025,HYD,2.090490989847986,Hydropower
TZA,2025,LFO,0.3316047966422394,Light Fuel Oil
TZA,2025,SOL,0.0076672,Solar
TZA,2026,BIO,3.4961457130849256,Biomass
TZA,2026,COA,0.2904,Coal
TZA,2026,GAS,0.6317165,Natural Gas
TZA,2026,GEO,0.3,Geothermal
TZA,2026,HFO,0.1080604,Heavy Fuel Oil
TZA,2026,HYD,3.2904909898479864,Hydropower
TZA,2026,LFO,0.304230596924418,Light Fuel Oil
TZA,2026,SOL,0.1918760633818732,Solar
TZA,2027,BIO,3.4934642130849256,Biomass
TZA,2027,COA,0.289125,Coal
TZA,2027,GAS,0.6037367499999999,Natural Gas
TZA,2027,GEO,0.4000000000000001,Geothermal
TZA,2027,HFO,0.1003418,Heavy Fuel Oil
TZA,2027,HYD,3.2904909898479864,Hydropower
TZA,2027,LFO,0.2651907836128623,Light Fuel Oil
TZA,2027,SOL,0.6914712633818733,Solar
TZA,2028,BIO,3.4907827130849256,Biomass
TZA,2028,COA,0.28785,Coal
TZA,2028,GAS,0.5757570000000001,Natural Gas
TZA,2028,GEO,0.5,Geothermal
TZA,2028,HFO,0.0926232,Heavy Fuel Oil
TZA,2028,HYD,3.2904909898479864,Hydropower
TZA,2028,LFO,0.227865,Light Fuel Oil
TZA,2028,SOL,1.2461812995988566,Solar
TZA,2029,BIO,3.4881012130849256,Biomass
TZA,2029,COA,0.286575,Coal
TZA,2029,GAS,0.54777725,Natural Gas
TZA,2029,GEO,0.6,Geothermal
TZA,2029,HFO,0.0849046,Heavy Fuel Oil
TZA,2029,HYD,3.2904909898479864,Hydropower
TZA,2029,LFO,0.20887625,Light Fuel Oil
TZA,2029,SOL,1.825916269255854,Solar
TZA,2030,BIO,3.4854197130849256,Biomass
TZA,2030,COA,0.2853,Coal
TZA,2030,GAS,0.5197974999999999,Natural Gas
TZA,2030,GEO,0.65,Geothermal
TZA,2030,HFO,0.077186,Heavy Fuel Oil
TZA,2030,HYD,3.293827423931107,Hydropower
TZA,2030,LFO,0.1898875,Light Fuel Oil
TZA,2030,SOL,2.9060561769785878,Solar
