Country,y,f,Total annual demand (GWh),Demand type
BFA,2020.0,EL3E,1657.9444457708005,Current electrified
BFA,2021.0,EL3E,1700.1944458045998,Current electrified
BFA,2021.0,EL3U,227.30555573740003,New electrified
BFA,2022.0,EL3E,1738.1666680572002,Current electrified
BFA,2022.0,EL3U,454.63888925260005,New electrified
BFA,2023.0,EL3E,1772.3888903067998,Current electrified
BFA,2023.0,EL3U,681.9444449900001,New electrified
BFA,2024.0,EL3E,1803.5277792206,Current electrified
BFA,2024.0,EL3U,909.2500007274,New electrified
BFA,2025.0,EL3E,1898.8333348524,Current electrified
BFA,2025.0,EL3U,1136.5833342426,New electrified
BFA,2026.0,EL3E,1995.3611127074,Current electrified
BFA,2026.0,EL3U,1363.8888899800002,New electrified
BFA,2027.0,EL3E,2093.0833350078,Current electrified
BFA,2027.0,EL3U,1446.7222233796,New electrified
BFA,2028.0,EL3E,2191.9166684202,Current electrified
BFA,2028.0,EL3U,1529.583334557,New electrified
BFA,2029.0,EL3E,2291.6111129444,Current electrified
BFA,2029.0,EL3U,1612.4444457344002,New electrified
BFA,2030.0,EL3E,2406.7222241476,Current electrified
BFA,2030.0,EL3U,1695.277779134,New electrified
BFA,2020.0,MLIEL1,89.166666738,Exports (MLI)
BFA,2021.0,MLIEL1,2092.0000016736003,Exports (MLI)
BFA,2022.0,MLIEL1,1805.8888903336,Exports (MLI)
BFA,2023.0,NEREL1,132.8333334396,Exports (NER)
BFA,2024.0,NEREL1,111.9166667562,Exports (NER)
BFA,2025.0,NEREL1,49.8055555954,Exports (NER)
BFA,2026.0,NEREL1,49.8055555954,Exports (NER)
BFA,2027.0,NEREL1,49.8055555954,Exports (NER)
BFA,2028.0,NEREL1,49.8055555954,Exports (NER)
BFA,2030.0,NEREL1,83.0277778442,Exports (NER)
