Country,y,f,Total annual demand (GWh),Demand type
CMR,2020.0,EL3E,7136.0555612644,Current electrified
CMR,2020.0,EL3U,764.2777783892,New electrified
CMR,2021.0,EL3E,7296.944450282,Current electrified
CMR,2021.0,EL3U,1528.5833345562005,New electrified
CMR,2022.0,EL3E,7755.1944506486,Current electrified
CMR,2022.0,EL3U,2292.8611129454,New electrified
CMR,2023.0,EL3E,8217.3333399072,Current electrified
CMR,2023.0,EL3U,3057.1666691124005,New electrified
CMR,2024.0,EL3E,8683.5833402802,Current electrified
CMR,2024.0,EL3U,3821.4444475016,New electrified
CMR,2025.0,EL3E,9154.138896212202,Current electrified
CMR,2025.0,EL3U,4585.750003668601,New electrified
CMR,2026.0,EL3E,9665.555563288002,Current electrified
CMR,2026.0,EL3U,5350.0277820578,New electrified
CMR,2027.0,EL3E,10181.555563700802,Current electrified
CMR,2027.0,EL3U,6114.333338224801,New electrified
CMR,2028.0,EL3E,10701.916675228202,Current electrified
CMR,2028.0,EL3U,6878.611116614001,New electrified
CMR,2029.0,EL3E,11226.611120092402,Current electrified
CMR,2029.0,EL3U,7642.916672781001,New electrified
CMR,2030.0,EL3E,11755.416676071,Current electrified
CMR,2030.0,EL3U,8407.1944511702,New electrified
