Country,y,f,Total annual demand (GWh),Demand type
GAB,2020.0,EL3E,2299.583335173,Current electrified
GAB,2021.0,EL3E,2294.1944462798,Current electrified
GAB,2021.0,EL3U,256.7222224276,New electrified
GAB,2022.0,EL3E,2368.5000018948003,Current electrified
GAB,2022.0,EL3U,513.4166670774,New electrified
GAB,2023.0,EL3E,2442.2500019538,Current electrified
GAB,2023.0,EL3U,770.1388895050001,New electrified
GAB,2024.0,EL3E,2515.4722242346,Current electrified
GAB,2024.0,EL3U,1026.8611119326,New electrified
GAB,2025.0,EL3E,2588.1944465150004,Current electrified
GAB,2025.0,EL3U,1283.5555565824,New electrified
GAB,2026.0,EL3E,2659.7777799056,Current electrified
GAB,2026.0,EL3U,1540.27777901,New electrified
GAB,2027.0,EL3E,2731.0277799626,Current electrified
GAB,2027.0,EL3U,1576.3333345944002,New electrified
GAB,2028.0,EL3E,2802.1388911306008,Current electrified
GAB,2028.0,EL3U,1612.361112401,New electrified
GAB,2029.0,EL3E,2873.1111134096,Current electrified
GAB,2029.0,EL3U,1648.4166679854002,New electrified
GAB,2030.0,EL3E,2944.0277801330003,Current electrified
GAB,2030.0,EL3U,1684.444445792,New electrified
