Country,y,f,Total annual demand (GWh),Demand type
GMB,2020.0,EL3E,253.1666668692,Current electrified
GMB,2021.0,EL3E,259.6388890966,Current electrified
GMB,2021.0,EL3U,31.4722222474,New electrified
GMB,2022.0,EL3E,265.416666879,Current electrified
GMB,2022.0,EL3U,62.97222227260001,New electrified
GMB,2023.0,EL3E,270.66666688320004,Current electrified
GMB,2023.0,EL3U,94.44444452,New electrified
GMB,2024.0,EL3E,275.3888891092,Current electrified
GMB,2024.0,EL3U,125.9166667674,New electrified
GMB,2025.0,EL3E,289.94444467640005,Current electrified
GMB,2025.0,EL3U,157.4166667926,New electrified
GMB,2026.0,EL3E,304.6944446882,Current electrified
GMB,2026.0,EL3U,188.88888904,New electrified
GMB,2027.0,EL3E,319.61111136679995,Current electrified
GMB,2027.0,EL3U,195.7500001566,New electrified
GMB,2028.0,EL3E,334.72222249000004,Current electrified
GMB,2028.0,EL3U,202.638889051,New electrified
GMB,2029.0,EL3E,349.9166669466,Current electrified
GMB,2029.0,EL3U,209.5277779454,New electrified
GMB,2030.0,EL3E,367.52777807180007,Current electrified
GMB,2030.0,EL3U,216.388889062,New electrified
GMB,2020.0,GNBEL1,29.861111135,Exports (GNB)
GMB,2020.0,SENEL1,22.5833333514,Exports (SEN)
GMB,2023.0,SENEL1,1418.3333344680002,Exports (SEN)
GMB,2024.0,SENEL1,2035.5833349618,Exports (SEN)
GMB,2025.0,SENEL1,2336.7222240916003,Exports (SEN)
GMB,2026.0,SENEL1,2279.16666849,Exports (SEN)
GMB,2027.0,SENEL1,2558.1388909354005,Exports (SEN)
GMB,2028.0,SENEL1,2572.2500020578,Exports (SEN)
GMB,2029.0,SENEL1,2793.2500022346003,Exports (SEN)
GMB,2030.0,SENEL1,2521.6944464618,Exports (SEN)
