Country,y,f,Total annual demand (GWh),Demand type
GNB,2020.0,EL3E,91.6388889622,Current electrified
GNB,2021.0,EL3E,93.97222229740002,Current electrified
GNB,2021.0,EL3U,21.0277777946,New electrified
GNB,2022.0,EL3E,96.0555556324,Current electrified
GNB,2022.0,EL3U,42.0277778114,New electrified
GNB,2023.0,EL3E,97.9722223006,Current electrified
GNB,2023.0,EL3U,63.055555606000006,New electrified
GNB,2024.0,EL3E,99.6666667464,Current electrified
GNB,2024.0,EL3U,84.08333340060001,New electrified
GNB,2025.0,EL3E,104.9444445284,Current electrified
GNB,2025.0,EL3U,105.0833334174,New electrified
GNB,2026.0,EL3E,110.277777866,Current electrified
GNB,2026.0,EL3U,126.111111212,New electrified
GNB,2027.0,EL3E,115.6666667592,Current electrified
GNB,2027.0,EL3U,131.7222223276,New electrified
GNB,2028.0,EL3E,121.1666667636,Current electrified
GNB,2028.0,EL3U,137.36111122100002,New electrified
GNB,2029.0,EL3E,126.6388889902,Current electrified
GNB,2029.0,EL3U,143.00000011440002,New electrified
GNB,2030.0,EL3E,133.0277778842,Current electrified
GNB,2030.0,EL3U,148.61111123,New electrified
GNB,2020.0,GINEL1,70.277777834,Exports (GIN)
GNB,2022.0,GMBEL1,54.1944444878,Exports (GMB)
GNB,2023.0,GMBEL1,0.0,Exports (GMB)
GNB,2027.0,GMBEL1,324.0833335926,Exports (GMB)
GNB,2028.0,GMBEL1,369.4444447400001,Exports (GMB)
GNB,2029.0,GMBEL1,632.6666671728001,Exports (GMB)
GNB,2030.0,GMBEL1,375.9444447452,Exports (GMB)
