Country,y,f,Total annual demand (GWh),Demand type
GNQ,2020.0,EL3E,1919.2222237576,Current electrified
GNQ,2021.0,EL3E,1910.8055570842,Current electrified
GNQ,2021.0,EL3U,95.9166667434,New electrified
GNQ,2022.0,EL3E,2078.9444461076,Current electrified
GNQ,2022.0,EL3U,191.8611112646,New electrified
GNQ,2023.0,EL3E,2246.6388906862,Current electrified
GNQ,2023.0,EL3U,287.77777800800004,New electrified
GNQ,2024.0,EL3E,2414.0555574868,Current electrified
GNQ,2024.0,EL3U,383.6944447514,New electrified
GNQ,2025.0,EL3E,2581.8611131766,Current electrified
GNQ,2025.0,EL3U,479.6388892726,New electrified
GNQ,2026.0,EL3E,2745.0277799738,Current electrified
GNQ,2026.0,EL3U,575.5555560160001,New electrified
GNQ,2027.0,EL3E,2909.0833356606,Current electrified
GNQ,2027.0,EL3U,602.222222704,New electrified
GNQ,2028.0,EL3E,3073.7777802368,Current electrified
GNQ,2028.0,EL3U,628.888889392,New electrified
GNQ,2029.0,EL3E,3238.5277803686,Current electrified
GNQ,2029.0,EL3U,655.55555608,New electrified
GNQ,2030.0,EL3E,3402.6944471666,Current electrified
GNQ,2030.0,EL3U,682.222222768,New electrified
