Country,y,f,Total annual demand (GWh),Demand type
KEN,2020.0,EL3E,9869.2222301176,Current electrified
KEN,2021.0,EL3E,11740.9166760594,Current electrified
KEN,2021.0,EL3U,2956.111113476,New electrified
KEN,2022.0,EL3E,12446.4722321794,Current electrified
KEN,2022.0,EL3U,5912.222226952,New electrified
KEN,2023.0,EL3E,13137.50001051,Current electrified
KEN,2023.0,EL3U,8868.333340428,New electrified
KEN,2024.0,EL3E,13814.9444554964,Current electrified
KEN,2024.0,EL3U,11824.444453904,New electrified
KEN,2025.0,EL3E,14480.6111226956,Current electrified
KEN,2025.0,EL3U,14780.55556738,New electrified
KEN,2026.0,EL3E,15389.388901200402,Current electrified
KEN,2026.0,EL3U,17736.666680856,New electrified
KEN,2027.0,EL3E,16288.5833463642,Current electrified
KEN,2027.0,EL3U,18465.833348106004,New electrified
KEN,2028.0,EL3E,17178.416680409402,Current electrified
KEN,2028.0,EL3U,19195.000015356003,New electrified
KEN,2029.0,EL3E,18059.9722366702,Current electrified
KEN,2029.0,EL3U,19924.166682606003,New electrified
KEN,2030.0,EL3E,18934.3611262586,Current electrified
KEN,2030.0,EL3U,20653.333349856,New electrified
KEN,2020.0,TZAEL1,7768.9166728818,Exports (TZA)
KEN,2021.0,TZAEL1,3477.6944472266,Exports (TZA)
KEN,2021.0,UGAEL1,285.97222245100005,Exports (UGA)
KEN,2022.0,TZAEL1,1898.6388904078,Exports (TZA)
KEN,2022.0,UGAEL1,1574.5277790374005,Exports (UGA)
KEN,2023.0,TZAEL1,4468.611114686,Exports (TZA)
KEN,2023.0,UGAEL1,2819.8055578114,Exports (UGA)
KEN,2024.0,TZAEL1,3842.083336407,Exports (TZA)
KEN,2024.0,UGAEL1,2949.722224582,Exports (UGA)
KEN,2025.0,TZAEL1,6674.7500053398,Exports (TZA)
KEN,2025.0,UGAEL1,4539.4166702982,Exports (UGA)
KEN,2026.0,TZAEL1,5004.3888928924,Exports (TZA)
KEN,2026.0,UGAEL1,4780.055559379601,Exports (UGA)
KEN,2027.0,TZAEL1,7098.3611167898,Exports (TZA)
KEN,2027.0,UGAEL1,3886.7222253316,Exports (UGA)
KEN,2028.0,TZAEL1,9132.6666739728,Exports (TZA)
KEN,2028.0,UGAEL1,4160.833336662,Exports (UGA)
KEN,2029.0,TZAEL1,11132.6944533506,Exports (TZA)
KEN,2029.0,UGAEL1,4688.3611148618,Exports (UGA)
KEN,2030.0,TZAEL1,12357.0277876634,Exports (TZA)
KEN,2030.0,UGAEL1,5160.2222263504,Exports (UGA)
