Country,y,f,Total annual demand (GWh),Demand type
MLI,2020.0,EL3E,8635.5277846862,Current electrified
MLI,2021.0,EL3E,8855.5277848622,Current electrified
MLI,2021.0,EL3U,285.50000022840004,New electrified
MLI,2022.0,EL3E,9053.3055627982,Current electrified
MLI,2022.0,EL3U,571.0277782346,New electrified
MLI,2023.0,EL3E,9231.5555629408,Current electrified
MLI,2023.0,EL3U,856.527778463,New electrified
MLI,2024.0,EL3E,9393.7222297372,Current electrified
MLI,2024.0,EL3U,1142.0277786914,New electrified
MLI,2025.0,EL3E,9890.1111190232,Current electrified
MLI,2025.0,EL3U,1427.5555566976,New electrified
MLI,2026.0,EL3E,10392.916674981,Current electrified
MLI,2026.0,EL3U,1713.055556926,New electrified
MLI,2027.0,EL3E,10901.9166753882,Current electrified
MLI,2027.0,EL3U,1802.8333347756,New electrified
MLI,2028.0,EL3E,11416.7222313556,Current electrified
MLI,2028.0,EL3U,1892.638890403,New electrified
MLI,2029.0,EL3E,11935.972231771,Current electrified
MLI,2029.0,EL3U,1982.4444460304,New electrified
MLI,2030.0,EL3E,12535.5000100284,Current electrified
MLI,2030.0,EL3U,2072.22222388,New electrified
MLI,2023.0,BFAEL1,57.8333333796,Exports (BFA)
MLI,2024.0,BFAEL1,861.5277784670001,Exports (BFA)
MLI,2025.0,BFAEL1,930.972222967,Exports (BFA)
MLI,2026.0,BFAEL1,113.9444445356,Exports (BFA)
MLI,2027.0,BFAEL1,122.9722223206,Exports (BFA)
MLI,2028.0,BFAEL1,177.222222364,Exports (BFA)
MLI,2029.0,BFAEL1,285.7777780064,Exports (BFA)
MLI,2030.0,BFAEL1,757.916667273,Exports (BFA)
MLI,2030.0,CIVEL1,36.0555555844,Exports (CIV)
