Country,y,f,Total annual demand (GWh),Demand type
MOZ,2020.0,EL3E,16944.1389024442,Current electrified
MOZ,2021.0,EL3E,13078.2500104626,Current electrified
MOZ,2021.0,EL3U,1070.7500008566,New electrified
MOZ,2022.0,EL3E,12306.3333431784,Current electrified
MOZ,2022.0,EL3U,2141.4722239354,New electrified
MOZ,2023.0,EL3E,11598.5000092788,Current electrified
MOZ,2023.0,EL3U,3212.2222247920004,New electrified
MOZ,2024.0,EL3E,10955.1944532086,Current electrified
MOZ,2024.0,EL3U,4282.9722256486,New electrified
MOZ,2025.0,EL3E,10378.7222305252,Current electrified
MOZ,2025.0,EL3U,5353.6944487274,New electrified
MOZ,2026.0,EL3E,10390.6666749792,Current electrified
MOZ,2026.0,EL3U,6424.444449584001,New electrified
MOZ,2027.0,EL3E,10468.944452819602,Current electrified
MOZ,2027.0,EL3U,6826.166672127601,New electrified
MOZ,2028.0,EL3E,10610.5277862662,Current electrified
MOZ,2028.0,EL3U,7227.916672449,New electrified
MOZ,2029.0,EL3E,10813.083341983802,Current electrified
MOZ,2029.0,EL3U,7629.6666727704,New electrified
MOZ,2030.0,EL3E,11074.027786637002,Current electrified
MOZ,2030.0,EL3U,8031.388895314,New electrified
MOZ,2020.0,MWIEL1,268.3611113258,Exports (MWI)
MOZ,2021.0,MWIEL1,1475.1666678468,Exports (MWI)
MOZ,2021.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2021.0,ZWEEL1,810.3888895372,Exports (ZWE)
MOZ,2022.0,MWIEL1,2724.3888910684004,Exports (MWI)
MOZ,2022.0,ZAFEL1,30822.7222468804,Exports (ZAF)
MOZ,2022.0,ZWEEL1,507.8333337396001,Exports (ZWE)
MOZ,2023.0,MWIEL1,436.7777781272,Exports (MWI)
MOZ,2023.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2023.0,ZWEEL1,331.9722224878,Exports (ZWE)
MOZ,2024.0,MWIEL1,861.9722229118,Exports (MWI)
MOZ,2024.0,SWZEL1,206.7500001654,Exports (SWZ)
MOZ,2024.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2024.0,ZWEEL1,2422.361113049,Exports (ZWE)
MOZ,2025.0,MWIEL1,2230.000001784,Exports (MWI)
MOZ,2025.0,SWZEL1,573.3333337920001,Exports (SWZ)
MOZ,2025.0,ZAFEL1,31797.8055809938,Exports (ZAF)
MOZ,2025.0,ZWEEL1,150.1111112312,Exports (ZWE)
MOZ,2026.0,MWIEL1,3453.055558318,Exports (MWI)
MOZ,2026.0,SWZEL1,940.0833340854,Exports (SWZ)
MOZ,2026.0,ZAFEL1,31485.972247411,Exports (ZAF)
MOZ,2026.0,ZWEEL1,518.0833337478,Exports (ZWE)
MOZ,2027.0,MWIEL1,3889.1944475558,Exports (MWI)
MOZ,2027.0,SWZEL1,1144.8888898048,Exports (SWZ)
MOZ,2027.0,ZAFEL1,31607.7500252862,Exports (ZAF)
MOZ,2027.0,ZWEEL1,1233.1666676532,Exports (ZWE)
MOZ,2028.0,MWIEL1,4127.1944477462,Exports (MWI)
MOZ,2028.0,SWZEL1,1312.1944454942002,Exports (SWZ)
MOZ,2028.0,ZAFEL1,31498.583358532203,Exports (ZAF)
MOZ,2028.0,ZWEEL1,1509.5000012076,Exports (ZWE)
MOZ,2029.0,MWIEL1,4349.305559035,Exports (MWI)
MOZ,2029.0,SWZEL1,1054.3888897324,Exports (SWZ)
MOZ,2029.0,ZAFEL1,31383.888913996,Exports (ZAF)
MOZ,2029.0,ZWEEL1,2056.5555572008,Exports (ZWE)
MOZ,2030.0,MWIEL1,4568.888892544001,Exports (MWI)
MOZ,2030.0,SWZEL1,1113.3055564462002,Exports (SWZ)
MOZ,2030.0,ZAFEL1,31650.8055808762,Exports (ZAF)
MOZ,2030.0,ZWEEL1,814.1388895402,Exports (ZWE)
