Country,y,f,Total annual demand (GWh),Demand type
NER,2020.0,EL3E,1457.8888900552,Current electrified
NER,2021.0,EL3E,1495.0277789738,Current electrified
NER,2021.0,EL3U,323.2777780364,New electrified
NER,2022.0,EL3E,1528.4166678894,Current electrified
NER,2022.0,EL3U,646.5833338506001,New electrified
NER,2023.0,EL3E,1558.5277790246,Current electrified
NER,2023.0,EL3U,969.861111887,New electrified
NER,2024.0,EL3E,1585.8888901576,Current electrified
NER,2024.0,EL3U,1293.1388899234005,New electrified
NER,2025.0,EL3E,1669.722223558,Current electrified
NER,2025.0,EL3U,1616.4444457376,New electrified
NER,2026.0,EL3E,1754.5833347370003,Current electrified
NER,2026.0,EL3U,1939.722223774,New electrified
NER,2027.0,EL3E,1840.5277792502,Current electrified
NER,2027.0,EL3U,2070.6944461010003,New electrified
NER,2028.0,EL3E,1927.4444459864003,Current electrified
NER,2028.0,EL3U,2201.6666684280003,New electrified
NER,2029.0,EL3E,2015.0833349454,Current electrified
NER,2029.0,EL3U,2332.6388907550004,New electrified
NER,2030.0,EL3E,2116.3055572486,Current electrified
NER,2030.0,EL3U,2463.611113082,New electrified
NER,2026.0,BFAEL1,83.0277778442,Exports (BFA)
NER,2026.0,TGOEL1,0.0833333334,Exports (TGO)
NER,2027.0,BFAEL1,20.916666683400003,Exports (BFA)
NER,2028.0,BFAEL1,59.277777825200005,Exports (BFA)
NER,2028.0,NGAEL1,219.1388890642,Exports (NGA)
NER,2029.0,NGAEL1,838.8055562266,Exports (NGA)
NER,2030.0,NGAEL1,1522.22222344,Exports (NGA)
