Country,y,f,Total annual demand (GWh),Demand type
RWA,2020.0,EL3E,706.3333338984,Current electrified
RWA,2021.0,EL3E,724.3611116906,Current electrified
RWA,2021.0,EL3U,178.888889032,New electrified
RWA,2022.0,EL3E,740.5277783701999,Current electrified
RWA,2022.0,EL3U,357.777778064,New electrified
RWA,2023.0,EL3E,755.1111117152,Current electrified
RWA,2023.0,EL3U,536.666667096,New electrified
RWA,2024.0,EL3E,768.3611117258001,Current electrified
RWA,2024.0,EL3U,715.555556128,New electrified
RWA,2025.0,EL3E,808.9722228694001,Current electrified
RWA,2025.0,EL3U,894.4444451600001,New electrified
RWA,2026.0,EL3E,850.1111117912001,Current electrified
RWA,2026.0,EL3U,1073.333334192,New electrified
RWA,2027.0,EL3E,891.7222229356001,Current electrified
RWA,2027.0,EL3U,1109.4444453320002,New electrified
RWA,2028.0,EL3E,933.8611118582002,Current electrified
RWA,2028.0,EL3U,1145.555556472,New electrified
RWA,2029.0,EL3E,976.3055563366,Current electrified
RWA,2029.0,EL3U,1181.666667612,New electrified
RWA,2030.0,EL3E,1025.3333341536,Current electrified
RWA,2030.0,EL3U,1217.777778752,New electrified
RWA,2020.0,TZAEL1,2767.361113325,Exports (TZA)
RWA,2021.0,BDIEL1,97.0000000776,Exports (BDI)
RWA,2021.0,CODEL1,188.8333334844,Exports (COD)
RWA,2022.0,BDIEL1,98.2222223008,Exports (BDI)
RWA,2022.0,CODEL1,306.9166669122,Exports (COD)
RWA,2022.0,UGAEL1,158.47222234900002,Exports (UGA)
RWA,2023.0,BDIEL1,38.4444444752,Exports (BDI)
RWA,2023.0,CODEL1,2716.9444466180003,Exports (COD)
RWA,2024.0,CODEL1,2148.750001719,Exports (COD)
RWA,2025.0,CODEL1,1978.333334916,Exports (COD)
RWA,2025.0,TZAEL1,256.1666668716,Exports (TZA)
RWA,2025.0,UGAEL1,739.6666672584,Exports (UGA)
RWA,2026.0,BDIEL1,33.5833333602,Exports (BDI)
RWA,2026.0,CODEL1,2080.5000016644,Exports (COD)
RWA,2026.0,TZAEL1,486.805555945,Exports (TZA)
RWA,2026.0,UGAEL1,454.1111114744001,Exports (UGA)
RWA,2027.0,BDIEL1,89.2777778492,Exports (BDI)
RWA,2027.0,CODEL1,2080.5000016644,Exports (COD)
RWA,2027.0,TZAEL1,1140.833334246,Exports (TZA)
RWA,2028.0,BDIEL1,150.833333454,Exports (BDI)
RWA,2028.0,CODEL1,2080.5000016644,Exports (COD)
RWA,2028.0,TZAEL1,1090.0555564276,Exports (TZA)
RWA,2029.0,BDIEL1,150.833333454,Exports (BDI)
RWA,2029.0,CODEL1,2080.5000016644,Exports (COD)
RWA,2029.0,TZAEL1,1071.111111968,Exports (TZA)
RWA,2030.0,BDIEL1,150.833333454,Exports (BDI)
RWA,2030.0,CODEL1,2080.5000016644,Exports (COD)
RWA,2030.0,TZAEL1,1248.3055565542002,Exports (TZA)
RWA,2030.0,UGAEL1,72.38888894680001,Exports (UGA)
