Country,y,f,Total annual demand (GWh),Demand type
SEN,2020.0,EL3E,4251.916670068201,Current electrified
SEN,2021.0,EL3E,4518.9444480596,Current electrified
SEN,2021.0,EL3U,483.5277781646,New electrified
SEN,2022.0,EL3E,4716.0000037728005,Current electrified
SEN,2022.0,EL3U,967.0277785514,New electrified
SEN,2023.0,EL3E,4912.2500039298,Current electrified
SEN,2023.0,EL3U,1450.5555567160002,New electrified
SEN,2024.0,EL3E,5107.6666707528,Current electrified
SEN,2024.0,EL3U,1934.0833348806,New electrified
SEN,2025.0,EL3E,5302.0555597972,Current electrified
SEN,2025.0,EL3U,2417.5833352674003,New electrified
SEN,2026.0,EL3E,5512.638893298999,Current electrified
SEN,2026.0,EL3U,2901.1111134320004,New electrified
SEN,2027.0,EL3E,5722.083337911,Current electrified
SEN,2027.0,EL3U,3040.7777802104,New electrified
SEN,2028.0,EL3E,5930.4722269666,Current electrified
SEN,2028.0,EL3U,3180.416669211,New electrified
SEN,2029.0,EL3E,6137.7500049102,Current electrified
SEN,2029.0,EL3U,3320.0833359894,New electrified
SEN,2030.0,EL3E,6343.888893964,Current electrified
SEN,2030.0,EL3U,3459.72222499,New electrified
SEN,2020.0,GINEL1,264.0555557668,Exports (GIN)
SEN,2020.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2021.0,GMBEL1,244.9166668626,Exports (GMB)
SEN,2022.0,GMBEL1,241.02777797060003,Exports (GMB)
SEN,2023.0,MLIEL1,988.2222230128,Exports (MLI)
SEN,2023.0,MRTEL1,224.3611112906,Exports (MRT)
SEN,2024.0,MLIEL1,2434.027779725,Exports (MLI)
SEN,2024.0,MRTEL1,665.8055560882001,Exports (MRT)
SEN,2025.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2025.0,MRTEL1,832.1944451101999,Exports (MRT)
SEN,2026.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2026.0,MRTEL1,832.1944451101999,Exports (MRT)
SEN,2027.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2027.0,MRTEL1,832.1944451101999,Exports (MRT)
SEN,2028.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2028.0,MRTEL1,524.5277781974,Exports (MRT)
SEN,2029.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2029.0,MRTEL1,499.4722226218,Exports (MRT)
SEN,2030.0,MLIEL1,2359.1111129984,Exports (MLI)
SEN,2030.0,MRTEL1,520.1111115272,Exports (MRT)
