Country,y,f,Total annual demand (GWh),Demand type
SWZ,2020.0,EL3E,1985.1944460326,Current electrified
SWZ,2021.0,EL3E,2318.9166685218,Current electrified
SWZ,2021.0,EL3U,91.66666674,New electrified
SWZ,2022.0,EL3E,2691.8611132646,Current electrified
SWZ,2022.0,EL3U,183.33333348,New electrified
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified
SWZ,2023.0,EL3U,275.00000022,New electrified
SWZ,2024.0,EL3E,3571.4444473016,Current electrified
SWZ,2024.0,EL3U,366.66666696,New electrified
SWZ,2025.0,EL3E,4010.3611143194,Current electrified
SWZ,2025.0,EL3U,458.3333337,New electrified
SWZ,2026.0,EL3E,4492.000003593601,Current electrified
SWZ,2026.0,EL3U,550.00000044,New electrified
SWZ,2027.0,EL3E,5018.888892904,Current electrified
SWZ,2027.0,EL3U,580.7500004646,New electrified
SWZ,2028.0,EL3E,5594.2222266976005,Current electrified
SWZ,2028.0,EL3U,611.5277782669999,New electrified
SWZ,2029.0,EL3E,6221.6944494218005,Current electrified
SWZ,2029.0,EL3U,642.3055560694,New electrified
SWZ,2030.0,EL3E,6838.1666721372,Current electrified
SWZ,2030.0,EL3U,673.055556094,New electrified
SWZ,2021.0,MOZEL1,1180.416667611,Exports (MOZ)
SWZ,2021.0,ZAFEL1,12066.888898542402,Exports (ZAF)
SWZ,2022.0,MOZEL1,897.1666673844001,Exports (MOZ)
SWZ,2022.0,ZAFEL1,12066.888898542402,Exports (ZAF)
SWZ,2023.0,MOZEL1,343.5277780526,Exports (MOZ)
SWZ,2023.0,ZAFEL1,12066.888898542402,Exports (ZAF)
SWZ,2024.0,MOZEL1,169.9722223582,Exports (MOZ)
SWZ,2024.0,ZAFEL1,12066.888898542402,Exports (ZAF)
SWZ,2025.0,ZAFEL1,11965.1944540166,Exports (ZAF)
SWZ,2026.0,ZAFEL1,11691.0833426862,Exports (ZAF)
SWZ,2027.0,ZAFEL1,11617.1111204048,Exports (ZAF)
SWZ,2028.0,ZAFEL1,11606.9166759522,Exports (ZAF)
SWZ,2029.0,ZAFEL1,11880.8888983936,Exports (ZAF)
SWZ,2030.0,MOZEL1,10.416666675,Exports (MOZ)
SWZ,2030.0,ZAFEL1,12009.3333429408,Exports (ZAF)
