Country,y,f,Total annual demand (GWh),Demand type
TUN,2020.0,EL3E,15690.3333458856,Current electrified
TUN,2021.0,EL3E,18971.805570733,Current electrified
TUN,2022.0,EL3E,22321.527795635,Current electrified
TUN,2023.0,EL3E,25667.6111316452,Current electrified
TUN,2024.0,EL3E,29010.222245430403,Current electrified
TUN,2025.0,EL3E,32349.8333592132,Current electrified
TUN,2026.0,EL3E,33941.111138264,Current electrified
TUN,2027.0,EL3E,35529.69447286821,Current electrified
TUN,2028.0,EL3E,37115.4444741368,Current electrified
TUN,2029.0,EL3E,38698.5555865144,Current electrified
TUN,2030.0,EL3E,40279.305587779,Current electrified
TUN,2029.0,DZAEL1,2534.2500020274,Exports (DZA)
TUN,2030.0,DZAEL1,3364.9166693586,Exports (DZA)
