Country,y,f,Total annual demand (GWh),Demand type
UGA,2020.0,EL3E,3243.0555581500003,Current electrified
UGA,2021.0,EL3E,3325.694447105,Current electrified
UGA,2021.0,EL3U,1720.5000013764002,New electrified
UGA,2022.0,EL3E,3399.9722249422,Current electrified
UGA,2022.0,EL3U,3441.0277805306005,New electrified
UGA,2023.0,EL3E,3466.9166694402,Current electrified
UGA,2023.0,EL3U,5161.527781907,New electrified
UGA,2024.0,EL3E,3527.8055583778,Current electrified
UGA,2024.0,EL3U,6882.027783283401,New electrified
UGA,2025.0,EL3E,3714.2222251936,Current electrified
UGA,2025.0,EL3U,8602.555562437601,New electrified
UGA,2026.0,EL3E,3903.055558678,Current electrified
UGA,2026.0,EL3U,10323.055563814,New electrified
UGA,2027.0,EL3E,4094.2222254976,Current electrified
UGA,2027.0,EL3U,11046.8888977264,New electrified
UGA,2028.0,EL3E,4287.5277812078,Current electrified
UGA,2028.0,EL3U,11770.694453861,New electrified
UGA,2029.0,EL3E,4482.5277813638,Current electrified
UGA,2029.0,EL3U,12494.5277877734,New electrified
UGA,2030.0,EL3E,4707.6944482106,Current electrified
UGA,2030.0,EL3U,13218.333343908,New electrified
UGA,2020.0,KENEL1,703.055556118,Exports (KEN)
UGA,2020.0,RWAEL1,636.1111116200001,Exports (RWA)
UGA,2020.0,TZAEL1,1065.1944452966002,Exports (TZA)
UGA,2021.0,RWAEL1,838.472222893,Exports (RWA)
UGA,2022.0,RWAEL1,708.8055561226,Exports (RWA)
UGA,2023.0,RWAEL1,579.5555560192,Exports (RWA)
UGA,2024.0,RWAEL1,51.8888889304,Exports (RWA)
UGA,2025.0,RWAEL1,693.4444449992001,Exports (RWA)
UGA,2026.0,KENEL1,863.8611118022001,Exports (KEN)
UGA,2026.0,RWAEL1,1134.7500009078,Exports (RWA)
UGA,2027.0,KENEL1,215.6388890614,Exports (KEN)
UGA,2027.0,RWAEL1,157.500000126,Exports (RWA)
UGA,2027.0,TZAEL1,43.1388889234,Exports (TZA)
UGA,2028.0,RWAEL1,157.05555568120002,Exports (RWA)
UGA,2028.0,TZAEL1,64.9722222742,Exports (TZA)
UGA,2029.0,RWAEL1,187.3888890388,Exports (RWA)
UGA,2029.0,TZAEL1,206.388889054,Exports (TZA)
UGA,2030.0,RWAEL1,105.277777862,Exports (RWA)
