Country,y,f,Total annual demand (GWh),Demand type
ZAF,2020.0,EL3E,214397.33350485124,Current electrified
ZAF,2021.0,EL3E,218009.9168410746,Current electrified
ZAF,2021.0,EL3U,6807.222227668,New electrified
ZAF,2022.0,EL3E,225143.91684678185,Current electrified
ZAF,2022.0,EL3U,13614.4722331138,New electrified
ZAF,2023.0,EL3E,232185.88907463764,Current electrified
ZAF,2023.0,EL3U,20421.6944607818,New electrified
ZAF,2024.0,EL3E,239143.4446357592,Current electrified
ZAF,2024.0,EL3U,27228.9444662276,New electrified
ZAF,2025.0,EL3E,246028.7779746008,Current electrified
ZAF,2025.0,EL3U,34036.1666938956,New electrified
ZAF,2026.0,EL3E,251113.80575644664,Current electrified
ZAF,2026.0,EL3U,40843.3889215636,New electrified
ZAF,2027.0,EL3E,256137.639093799,Current electrified
ZAF,2027.0,EL3U,41559.638922136604,New electrified
ZAF,2028.0,EL3E,261098.63909776785,Current electrified
ZAF,2028.0,EL3U,42275.8611449318,New electrified
ZAF,2029.0,EL3E,265999.583546133,Current electrified
ZAF,2029.0,EL3U,42992.1111455048,New electrified
ZAF,2030.0,EL3E,270843.333550008,Current electrified
ZAF,2030.0,EL3U,43708.3333683,New electrified
ZAF,2020.0,LSOEL1,823.1666673252,Exports (LSO)
ZAF,2020.0,MOZEL1,6207.638893855,Exports (MOZ)
ZAF,2020.0,NAMEL1,3874.9444475444,Exports (NAM)
ZAF,2020.0,SWZEL1,1803.6944458874,Exports (SWZ)
ZAF,2021.0,LSOEL1,1151.9166675882,Exports (LSO)
ZAF,2021.0,NAMEL1,2536.527779807001,Exports (NAM)
ZAF,2022.0,BWAEL1,1363.9722233134005,Exports (BWA)
ZAF,2022.0,LSOEL1,1423.7222233612,Exports (LSO)
ZAF,2022.0,NAMEL1,4370.7222257188005,Exports (NAM)
ZAF,2023.0,LSOEL1,99.3888889684,Exports (LSO)
ZAF,2024.0,CODEL1,1350.3055566358005,Exports (COD)
ZAF,2024.0,LSOEL1,239.7500001918,Exports (LSO)
ZAF,2025.0,BWAEL1,465.694444817,Exports (BWA)
ZAF,2025.0,LSOEL1,429.7500003438,Exports (LSO)
ZAF,2025.0,NAMEL1,402.3055558774,Exports (NAM)
ZAF,2026.0,BWAEL1,1590.8055568282,Exports (BWA)
ZAF,2026.0,LSOEL1,561.0833337821999,Exports (LSO)
ZAF,2026.0,NAMEL1,394.7500003158,Exports (NAM)
ZAF,2027.0,BWAEL1,1790.0833347654002,Exports (BWA)
ZAF,2027.0,LSOEL1,683.2222227688001,Exports (LSO)
ZAF,2027.0,NAMEL1,68.9166667218,Exports (NAM)
ZAF,2028.0,BWAEL1,1313.9166677178,Exports (BWA)
ZAF,2028.0,LSOEL1,732.1944450302,Exports (LSO)
ZAF,2028.0,NAMEL1,417.0555558892,Exports (NAM)
ZAF,2029.0,BWAEL1,808.7777784248,Exports (BWA)
ZAF,2029.0,CODEL1,25.4444444648,Exports (COD)
ZAF,2029.0,LSOEL1,239.61111130280003,Exports (LSO)
ZAF,2029.0,NAMEL1,1035.4722230506,Exports (NAM)
ZAF,2030.0,LSOEL1,8.0000000064,Exports (LSO)
ZAF,2030.0,NAMEL1,589.8888893608,Exports (NAM)
