Country,y,f,Total annual production (GWh),Source
BDI,2020.0,HYD,191.0000001528,Hydropower
BDI,2020.0,Imports (COD),130.77777788240002,Imports (COD)
BDI,2020.0,LFO,8.916666673800002,Light Fuel Oil
BDI,2020.0,SOL,7.138888894600001,Solar
BDI,2021.0,HYD,191.0000001528,Hydropower
BDI,2021.0,Imports (COD),129.6944445482,Imports (COD)
BDI,2021.0,Imports (RWA),97.0000000776,Imports (RWA)
BDI,2021.0,Imports (TZA),161.4444445736,Imports (TZA)
BDI,2021.0,LFO,8.5277777846,Light Fuel Oil
BDI,2021.0,SOL,6.9166666722,Solar
BDI,2022.0,HYD,394.8888892048,Hydropower
BDI,2022.0,Imports (COD),139.08333344460002,Imports (COD)
BDI,2022.0,Imports (RWA),98.2222223008,Imports (RWA)
BDI,2022.0,Imports (TZA),203.4444446072,Imports (TZA)
BDI,2022.0,LFO,8.138888895400001,Light Fuel Oil
BDI,2022.0,SOL,6.694444449800001,Solar
BDI,2023.0,HYD,1315.3055566078,Hydropower
BDI,2023.0,Imports (RWA),38.4444444752,Imports (RWA)
BDI,2023.0,Imports (TZA),161.2222223512,Imports (TZA)
BDI,2023.0,LFO,7.7222222284,Light Fuel Oil
BDI,2023.0,SOL,6.4722222274000005,Solar
BDI,2024.0,GEO,744.6111117068001,Geothermal
BDI,2024.0,HYD,1315.3055566078,Hydropower
BDI,2024.0,LFO,7.3333333392,Light Fuel Oil
BDI,2024.0,SOL,6.250000005,Solar
BDI,2025.0,GEO,744.6111117068001,Geothermal
BDI,2025.0,HYD,1315.3055566078,Hydropower
BDI,2025.0,Imports (COD),49.38888892840001,Imports (COD)
BDI,2025.0,Imports (TZA),8.4444444512,Imports (TZA)
BDI,2025.0,LFO,6.9166666722,Light Fuel Oil
BDI,2025.0,SOL,6.0277777826,Solar
BDI,2026.0,GEO,744.6111117068001,Geothermal
BDI,2026.0,HYD,1315.3055566078,Hydropower
BDI,2026.0,Imports (COD),199.1388890482,Imports (COD)
BDI,2026.0,Imports (RWA),33.5833333602,Imports (RWA)
BDI,2026.0,Imports (TZA),126.1388889898,Imports (TZA)
BDI,2026.0,LFO,6.5000000052,Light Fuel Oil
BDI,2026.0,SOL,5.8055555602,Solar
BDI,2027.0,GEO,744.6111117068001,Geothermal
BDI,2027.0,HYD,1315.3055566078,Hydropower
BDI,2027.0,Imports (COD),201.27777793880003,Imports (COD)
BDI,2027.0,Imports (RWA),89.2777778492,Imports (RWA)
BDI,2027.0,Imports (TZA),140.44444455680002,Imports (TZA)
BDI,2027.0,LFO,5.5277777822,Light Fuel Oil
BDI,2027.0,SOL,5.5833333378,Solar
BDI,2028.0,GEO,744.6111117068001,Geothermal
BDI,2028.0,HYD,1315.3055566078,Hydropower
BDI,2028.0,Imports (COD),201.27777793880003,Imports (COD)
BDI,2028.0,Imports (RWA),150.833333454,Imports (RWA)
BDI,2028.0,Imports (TZA),140.44444455680002,Imports (TZA)
BDI,2028.0,LFO,4.861111115000001,Light Fuel Oil
BDI,2028.0,SOL,22.361111129,Solar
BDI,2029.0,GEO,744.6111117068001,Geothermal
BDI,2029.0,HYD,1418.6111122460002,Hydropower
BDI,2029.0,Imports (COD),201.27777793880003,Imports (COD)
BDI,2029.0,Imports (RWA),150.833333454,Imports (RWA)
BDI,2029.0,Imports (TZA),140.44444455680002,Imports (TZA)
BDI,2029.0,LFO,4.4722222258,Light Fuel Oil
BDI,2029.0,SOL,37.361111141,Solar
BDI,2030.0,GEO,744.6111117068001,Geothermal
BDI,2030.0,HYD,1522.8888901072,Hydropower
BDI,2030.0,Imports (COD),201.27777793880003,Imports (COD)
BDI,2030.0,Imports (RWA),150.833333454,Imports (RWA)
BDI,2030.0,Imports (TZA),140.44444455680002,Imports (TZA)
BDI,2030.0,LFO,4.0555555588,Light Fuel Oil
BDI,2030.0,SOL,54.7500000438,Solar
