Country,y,f,Total annual production (GWh),Source
CAF,2020.0,HYD,39.0000000312,Hydropower
CAF,2020.0,LFO,126.50000010120002,Light Fuel Oil
CAF,2021.0,BIO,247.6111113092,Biomass
CAF,2021.0,HFO,2.500000002,Heavy Fuel Oil
CAF,2021.0,HYD,39.0000000312,Hydropower
CAF,2021.0,LFO,22.5555555736,Light Fuel Oil
CAF,2022.0,BIO,294.3888891244,Biomass
CAF,2022.0,HFO,23.1388889074,Heavy Fuel Oil
CAF,2022.0,HYD,39.0000000312,Hydropower
CAF,2022.0,LFO,71.2777778348,Light Fuel Oil
CAF,2023.0,BIO,248.2777779764,Biomass
CAF,2023.0,HFO,9.6388888966,Heavy Fuel Oil
CAF,2023.0,HYD,291.8888891224,Hydropower
CAF,2023.0,LFO,8.611111118,Light Fuel Oil
CAF,2024.0,BIO,231.2222224072,Biomass
CAF,2024.0,HFO,9.6388888966,Heavy Fuel Oil
CAF,2024.0,HYD,430.9722225670001,Hydropower
CAF,2024.0,LFO,8.777777784800001,Light Fuel Oil
CAF,2025.0,BIO,202.1111112728,Biomass
CAF,2025.0,HFO,4.1944444478000005,Heavy Fuel Oil
CAF,2025.0,HYD,596.527778255,Hydropower
CAF,2025.0,LFO,7.6111111172,Light Fuel Oil
CAF,2026.0,BIO,181.9722223678,Biomass
CAF,2026.0,HFO,3.0000000024,Heavy Fuel Oil
CAF,2026.0,HYD,742.3333339272001,Hydropower
CAF,2026.0,LFO,6.972222227800001,Light Fuel Oil
CAF,2026.0,SOL,4.6388888926,Solar
CAF,2027.0,BIO,178.7777779208,Biomass
CAF,2027.0,HFO,3.2222222248,Heavy Fuel Oil
CAF,2027.0,HYD,783.055556182,Hydropower
CAF,2027.0,LFO,6.4722222274000005,Light Fuel Oil
CAF,2027.0,SOL,9.5277777854,Solar
CAF,2028.0,BIO,177.3055556974,Biomass
CAF,2028.0,HFO,3.5555555584000005,Heavy Fuel Oil
CAF,2028.0,HYD,820.5000006564,Hydropower
CAF,2028.0,LFO,5.972222227,Light Fuel Oil
CAF,2028.0,SOL,15.6388889014,Solar
CAF,2029.0,BIO,194.0833334886,Biomass
CAF,2029.0,HFO,5.8055555602,Heavy Fuel Oil
CAF,2029.0,HYD,820.5000006564,Hydropower
CAF,2029.0,LFO,5.55555556,Light Fuel Oil
CAF,2029.0,SOL,39.02777780900001,Solar
CAF,2030.0,BIO,207.0277779434,Biomass
CAF,2030.0,HFO,4.8055555594,Heavy Fuel Oil
CAF,2030.0,HYD,820.5000006564,Hydropower
CAF,2030.0,LFO,4.9722222262,Light Fuel Oil
CAF,2030.0,SOL,71.05555561240001,Solar
