Country,y,f,Total annual production (GWh),Source
COD,2020.0,HFO,29.6111111348,Heavy Fuel Oil
COD,2020.0,HYD,10866.3333420264,Hydropower
COD,2020.0,Imports (AGO),3512.5277805878,Imports (AGO)
COD,2020.0,LFO,12.3333333432,Light Fuel Oil
COD,2020.0,NGA,20.3611111274,Natural Gas
COD,2020.0,SOL,4.583333337,Solar
COD,2021.0,HFO,28.1388889114,Heavy Fuel Oil
COD,2021.0,HYD,10866.3333420264,Hydropower
COD,2021.0,Imports (AGO),2190.4166684190004,Imports (AGO)
COD,2021.0,Imports (RWA),188.8333334844,Imports (RWA)
COD,2021.0,Imports (ZMB),411.250000329,Imports (ZMB)
COD,2021.0,LFO,18.3888889036,Light Fuel Oil
COD,2021.0,NGA,19.3333333488,Natural Gas
COD,2021.0,SOL,4.5277777814,Solar
COD,2022.0,HFO,26.666666688000003,Heavy Fuel Oil
COD,2022.0,HYD,11070.222231078398,Hydropower
COD,2022.0,Imports (AGO),2463.472224193,Imports (AGO)
COD,2022.0,Imports (COG),499.3333337328,Imports (COG)
COD,2022.0,Imports (RWA),306.9166669122,Imports (RWA)
COD,2022.0,Imports (ZMB),811.388889538,Imports (ZMB)
COD,2022.0,LFO,17.7500000142,Light Fuel Oil
COD,2022.0,NGA,18.3055555702,Natural Gas
COD,2022.0,SOL,4.4722222258,Solar
COD,2023.0,HFO,25.166666686800003,Heavy Fuel Oil
COD,2023.0,HYD,11070.222231078398,Hydropower
COD,2023.0,Imports (AGO),1578.611112374,Imports (AGO)
COD,2023.0,Imports (BDI),402.3888892108001,Imports (BDI)
COD,2023.0,Imports (COG),499.3333337328,Imports (COG)
COD,2023.0,Imports (RWA),2716.9444466180003,Imports (RWA)
COD,2023.0,Imports (ZMB),2163.7222239532,Imports (ZMB)
COD,2023.0,LFO,17.1111111248,Light Fuel Oil
COD,2023.0,NGA,17.305555569400003,Natural Gas
COD,2023.0,SOL,4.416666670200001,Solar
COD,2024.0,HFO,37.1944444742,Heavy Fuel Oil
COD,2024.0,HYD,11070.222231078398,Hydropower
COD,2024.0,Imports (AGO),3641.8888918024,Imports (AGO)
COD,2024.0,Imports (BDI),528.6666670896,Imports (BDI)
COD,2024.0,Imports (COG),474.7500003798,Imports (COG)
COD,2024.0,Imports (RWA),2148.750001719,Imports (RWA)
