Country,y,f,Total annual production (GWh),Source
GNB,2020.0,Imports (GMB),29.861111135,Imports (GMB)
GNB,2020.0,LFO,88.8333334044,Light Fuel Oil
GNB,2020.0,SOL,46.91666670420001,Solar
GNB,2021.0,Imports (GIN),54.722222266,Imports (GIN)
GNB,2021.0,LFO,57.8611111574,Light Fuel Oil
GNB,2021.0,SOL,46.88888892640001,Solar
GNB,2022.0,Imports (GIN),122.0277778754,Imports (GIN)
GNB,2022.0,LFO,65.52777783020001,Light Fuel Oil
GNB,2022.0,SOL,46.86111114860001,Solar
GNB,2023.0,HYD,154.0833334566,Hydropower
GNB,2023.0,LFO,38.0000000304,Light Fuel Oil
GNB,2023.0,SOL,46.833333370800005,Solar
GNB,2024.0,HYD,186.0000001488,Hydropower
GNB,2024.0,LFO,35.52777780620001,Light Fuel Oil
GNB,2024.0,SOL,46.833333370800005,Solar
GNB,2025.0,HYD,225.0833335134,Hydropower
GNB,2025.0,LFO,33.3611111378,Light Fuel Oil
GNB,2025.0,SOL,46.80555559300001,Solar
GNB,2026.0,HYD,264.16666687800006,Hydropower
GNB,2026.0,LFO,31.194444469400004,Light Fuel Oil
GNB,2026.0,SOL,46.77777781520001,Solar
GNB,2027.0,HYD,625.4444449448,Hydropower
GNB,2027.0,LFO,29.0000000232,Light Fuel Oil
GNB,2027.0,SOL,46.75000003740001,Solar
GNB,2028.0,HYD,664.1944449758,Hydropower
GNB,2028.0,LFO,26.2222222432,Light Fuel Oil
GNB,2028.0,SOL,60.6666667152,Solar
GNB,2029.0,HYD,674.8055560954,Hydropower
GNB,2029.0,Imports (GIN),267.1944446582,Imports (GIN)
GNB,2029.0,LFO,24.0555555748,Light Fuel Oil
GNB,2029.0,SOL,69.583333389,Solar
GNB,2030.0,HYD,674.8055560954,Hydropower
GNB,2030.0,LFO,21.8611111286,Light Fuel Oil
GNB,2030.0,SOL,78.3611111738,Solar
