Country,y,f,Total annual production (GWh),Source
GNQ,2020.0,HFO,40.000000032,Heavy Fuel Oil
GNQ,2020.0,HYD,514.6388893006,Hydropower
GNQ,2020.0,LFO,17.694444458600003,Light Fuel Oil
GNQ,2020.0,NGA,374.0277780770001,Natural Gas
GNQ,2020.0,SOL,1636.8333346428003,Solar
GNQ,2021.0,HFO,38.0000000304,Heavy Fuel Oil
GNQ,2021.0,HYD,514.6388893006,Hydropower
GNQ,2021.0,LFO,11.5833333426,Light Fuel Oil
GNQ,2021.0,NGA,398.1111114296,Natural Gas
GNQ,2021.0,SOL,1713.5277791486,Solar
GNQ,2022.0,HFO,65.7222222748,Heavy Fuel Oil
GNQ,2022.0,HYD,514.6388893006,Hydropower
GNQ,2022.0,LFO,11.0555555644,Light Fuel Oil
GNQ,2022.0,NGA,452.7222225844,Natural Gas
GNQ,2022.0,SOL,1959.3333349008,Solar
GNQ,2023.0,HFO,34.0000000272,Heavy Fuel Oil
GNQ,2023.0,HYD,809.7500006478001,Hydropower
GNQ,2023.0,LFO,10.555555564,Light Fuel Oil
GNQ,2023.0,NGA,438.1388892394,Natural Gas
GNQ,2023.0,SOL,2037.0277794074,Solar
GNQ,2024.0,HFO,111.0833334222,Heavy Fuel Oil
GNQ,2024.0,HYD,796.9444450820001,Hydropower
GNQ,2024.0,LFO,10.0277777858,Light Fuel Oil
GNQ,2024.0,NGA,425.6111114516,Natural Gas
GNQ,2024.0,SOL,2310.3333351816,Solar
GNQ,2025.0,HFO,104.1388889722,Heavy Fuel Oil
GNQ,2025.0,HYD,671.6944449818,Hydropower
GNQ,2025.0,LFO,9.5277777854,Light Fuel Oil
GNQ,2025.0,NGA,415.3055558878,Natural Gas
GNQ,2025.0,SOL,2777.361113333,Solar
GNQ,2026.0,HFO,97.1944445222,Heavy Fuel Oil
GNQ,2026.0,HYD,557.0000004456,Hydropower
GNQ,2026.0,LFO,9.0000000072,Light Fuel Oil
GNQ,2026.0,NGA,405.000000324,Natural Gas
GNQ,2026.0,SOL,3226.666669248,Solar
GNQ,2027.0,HFO,26.0000000208,Heavy Fuel Oil
GNQ,2027.0,HYD,532.6944448706,Hydropower
GNQ,2027.0,LFO,8.5000000068,Light Fuel Oil
GNQ,2027.0,NGA,394.6944447602,Natural Gas
GNQ,2027.0,SOL,3572.361113969,Solar
GNQ,2028.0,HFO,24.0000000192,Heavy Fuel Oil
GNQ,2028.0,HYD,532.6944448706,Hydropower
GNQ,2028.0,LFO,6.8333333388,Light Fuel Oil
GNQ,2028.0,NGA,384.3888891964,Natural Gas
GNQ,2028.0,SOL,3825.277780838,Solar
GNQ,2029.0,HFO,22.0000000176,Heavy Fuel Oil
GNQ,2029.0,HYD,532.6944448706,Hydropower
GNQ,2029.0,LFO,6.2777777828,Light Fuel Oil
GNQ,2029.0,NGA,374.0833336326,Natural Gas
GNQ,2029.0,SOL,4075.8888921496,Solar
GNQ,2030.0,HFO,20.000000016,Heavy Fuel Oil
GNQ,2030.0,HYD,532.6944448706,Hydropower
GNQ,2030.0,LFO,5.694444449000001,Light Fuel Oil
GNQ,2030.0,NGA,103.0833334158,Natural Gas
GNQ,2030.0,SOL,4585.361114779401,Solar
