Country,y,f,Total annual production (GWh),Source
KEN,2020.0,BIO,151.8611112326,Biomass
KEN,2020.0,GEO,4616.500003693201,Geothermal
KEN,2020.0,HFO,668.2777783124001,Heavy Fuel Oil
KEN,2020.0,HYD,3294.6666693024,Hydropower
KEN,2020.0,Imports (ETH),7691.277783930801,Imports (ETH)
KEN,2020.0,Imports (UGA),703.055556118,Imports (UGA)
KEN,2020.0,LFO,518.2777781924001,Light Fuel Oil
KEN,2020.0,SOL,446.61111146840005,Solar
KEN,2020.0,WIN,2117.4444461384,Wind
KEN,2021.0,BIO,361.8055558450001,Biomass
KEN,2021.0,GEO,4966.4722261954,Geothermal
KEN,2021.0,HFO,634.861111619,Heavy Fuel Oil
KEN,2021.0,HYD,3294.6666693024,Hydropower
KEN,2021.0,Imports (ETH),8770.5833403498,Imports (ETH)
KEN,2021.0,LFO,496.5000003972,Light Fuel Oil
KEN,2021.0,SOL,614.9166671586,Solar
KEN,2021.0,WIN,2587.6944465146,Wind
KEN,2022.0,BIO,346.9166669442,Biomass
KEN,2022.0,GEO,6939.666672218401,Geothermal
KEN,2022.0,HFO,601.4444449256,Heavy Fuel Oil
KEN,2022.0,HYD,3294.6666693024,Hydropower
KEN,2022.0,Imports (ETH),9581.3611187762,Imports (ETH)
KEN,2022.0,Imports (TZA),335.138889157,Imports (TZA)
KEN,2022.0,LFO,472.6944448226,Light Fuel Oil
KEN,2022.0,SOL,752.3333339352,Solar
KEN,2022.0,WIN,3407.3055582814,Wind
KEN,2023.0,BIO,332.0555558212,Biomass
KEN,2023.0,GEO,9136.2222295312,Geothermal
KEN,2023.0,HFO,568.0277782322,Heavy Fuel Oil
KEN,2023.0,HYD,3294.6666693024,Hydropower
KEN,2023.0,Imports (ETH),15761.2222348312,Imports (ETH)
KEN,2023.0,LFO,447.63888924700007,Light Fuel Oil
KEN,2023.0,SOL,920.6388896254,Solar
KEN,2023.0,WIN,3575.6388917494,Wind
KEN,2024.0,BIO,317.1666669204,Biomass
KEN,2024.0,GEO,11444.5000091556,Geothermal
KEN,2024.0,HFO,534.6111115388001,Heavy Fuel Oil
KEN,2024.0,HYD,3294.6666693024,Hydropower
KEN,2024.0,Imports (ETH),16644.0000133152,Imports (ETH)
KEN,2024.0,LFO,422.58333367140006,Light Fuel Oil
KEN,2024.0,SOL,1121.4166675638,Solar
KEN,2024.0,WIN,4002.7500032022,Wind
KEN,2025.0,BIO,227.9444446268,Biomass
KEN,2025.0,GEO,14948.5833452922,Geothermal
KEN,2025.0,HFO,501.1944448454,Heavy Fuel Oil
KEN,2025.0,HYD,3294.6666693024,Hydropower
KEN,2025.0,Imports (ETH),15490.1111235032,Imports (ETH)
KEN,2025.0,LFO,394.8888892048,Light Fuel Oil
KEN,2025.0,SOL,1527.2500012217995,Solar
KEN,2025.0,WIN,10219.583341509,Wind
KEN,2026.0,BIO,213.055555726,Biomass
KEN,2026.0,GEO,18668.611126046,Geothermal
KEN,2026.0,HFO,467.8055559298,Heavy Fuel Oil
KEN,2026.0,HYD,3294.6666693024,Hydropower
KEN,2026.0,Imports (ETH),13099.3611215906,Imports (ETH)
KEN,2026.0,Imports (TZA),126.3333334344,Imports (TZA)
KEN,2026.0,Imports (UGA),863.8611118022001,Imports (UGA)
KEN,2026.0,LFO,355.3611113954,Light Fuel Oil
KEN,2026.0,SOL,2201.3611128722,Solar
KEN,2026.0,WIN,10215.3333415056,Wind
KEN,2027.0,BIO,198.194444603,Biomass
KEN,2027.0,GEO,22388.6389067998,Geothermal
KEN,2027.0,HFO,434.3888892364,Heavy Fuel Oil
KEN,2027.0,HYD,3294.6666693024,Hydropower
KEN,2027.0,Imports (ETH),12585.277787846002,Imports (ETH)
KEN,2027.0,Imports (UGA),215.6388890614,Imports (UGA)
KEN,2027.0,LFO,329.8888891528,Light Fuel Oil
KEN,2027.0,SOL,2874.9166689666,Solar
KEN,2027.0,WIN,10211.11111928,Wind
KEN,2028.0,BIO,183.3055557022,Biomass
KEN,2028.0,GEO,26108.6666875536,Geothermal
KEN,2028.0,HFO,400.972222543,Heavy Fuel Oil
KEN,2028.0,HYD,3294.6666693024,Hydropower
KEN,2028.0,Imports (ETH),12567.1388989426,Imports (ETH)
KEN,2028.0,LFO,300.6666669072,Light Fuel Oil
KEN,2028.0,SOL,3634.9444473524,Solar
KEN,2028.0,WIN,10206.8888970544,Wind
KEN,2029.0,BIO,168.44444457920002,Biomass
KEN,2029.0,GEO,29828.6666905296,Geothermal
KEN,2029.0,HFO,367.5555558496,Heavy Fuel Oil
KEN,2029.0,HYD,3294.6666693024,Hydropower
KEN,2029.0,Imports (ETH),12576.0277878386,Imports (ETH)
KEN,2029.0,LFO,275.6111113316,Light Fuel Oil
KEN,2029.0,SOL,4371.9722257198,Solar
KEN,2029.0,WIN,10202.6666748288,Wind
KEN,2030.0,BIO,153.5555556784,Biomass
KEN,2030.0,GEO,33548.6944712834,Geothermal
KEN,2030.0,HFO,445.3611114674,Heavy Fuel Oil
KEN,2030.0,HYD,3294.6666693024,Hydropower
KEN,2030.0,Imports (ETH),11312.8611201614,Imports (ETH)
KEN,2030.0,LFO,250.555555756,Light Fuel Oil
KEN,2030.0,SOL,5386.833337642801,Solar
KEN,2030.0,WIN,10198.4444526032,Wind
