Country,y,f,Total annual production (GWh),Source
MLI,2020.0,HFO,243.3055557502,Heavy Fuel Oil
MLI,2020.0,HYD,1040.8888897216002,Hydropower
MLI,2020.0,Imports (BFA),89.166666738,Imports (BFA)
MLI,2020.0,Imports (CIV),1627.222223524,Imports (CIV)
MLI,2020.0,Imports (GIN),2658.472224349,Imports (GIN)
MLI,2020.0,Imports (SEN),2738.7777799688,Imports (SEN)
MLI,2020.0,Imports (SLE),1071.0277786346,Imports (SLE)
MLI,2020.0,LFO,308.97222246940004,Light Fuel Oil
MLI,2020.0,SOL,865.6111118036,Solar
MLI,2021.0,HFO,231.1388890738,Heavy Fuel Oil
MLI,2021.0,HYD,1040.8888897216002,Hydropower
MLI,2021.0,Imports (BFA),2092.0000016736003,Imports (BFA)
MLI,2021.0,Imports (CIV),2660.555557684,Imports (CIV)
MLI,2021.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2021.0,Imports (SLE),1087.9722230926,Imports (SLE)
MLI,2021.0,LFO,260.97222243100003,Light Fuel Oil
MLI,2021.0,SOL,1153.2222231448,Solar
MLI,2022.0,HFO,218.9722223974,Heavy Fuel Oil
MLI,2022.0,HYD,1040.8888897216002,Hydropower
MLI,2022.0,Imports (BFA),1805.8888903336,Imports (BFA)
MLI,2022.0,Imports (CIV),2660.555557684,Imports (CIV)
MLI,2022.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2022.0,Imports (SLE),1848.9722237014,Imports (SLE)
MLI,2022.0,LFO,247.2500001978,Light Fuel Oil
MLI,2022.0,SOL,1268.333334348,Solar
MLI,2023.0,HFO,206.805555721,Heavy Fuel Oil
MLI,2023.0,HYD,4172.8611144494,Hydropower
MLI,2023.0,Imports (CIV),101.250000081,Imports (CIV)
MLI,2023.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2023.0,Imports (SEN),988.2222230128,Imports (SEN)
MLI,2023.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2023.0,LFO,255.83333353800003,Light Fuel Oil
MLI,2023.0,SOL,1267.8611121254,Solar
MLI,2024.0,HFO,194.6388890446,Heavy Fuel Oil
MLI,2024.0,HYD,4172.8611144494,Hydropower
MLI,2024.0,Imports (CIV),49.2222222616,Imports (CIV)
MLI,2024.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2024.0,Imports (SEN),2434.027779725,Imports (SEN)
MLI,2024.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2024.0,LFO,262.3888890988,Light Fuel Oil
MLI,2024.0,SOL,1267.4166676806,Solar
MLI,2025.0,HFO,182.4722223682,Heavy Fuel Oil
MLI,2025.0,HYD,4172.8611144494,Hydropower
MLI,2025.0,Imports (CIV),244.2777779732,Imports (CIV)
MLI,2025.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2025.0,Imports (SEN),2738.7777799688,Imports (SEN)
MLI,2025.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2025.0,LFO,206.0277779426,Light Fuel Oil
MLI,2025.0,SOL,1759.7500014078,Solar
MLI,2026.0,HFO,170.3055556918,Heavy Fuel Oil
MLI,2026.0,HYD,4172.8611144494,Hydropower
MLI,2026.0,Imports (CIV),136.8611112206,Imports (CIV)
MLI,2026.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2026.0,Imports (SEN),2738.7777799688,Imports (SEN)
MLI,2026.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2026.0,LFO,228.75000018300003,Light Fuel Oil
MLI,2026.0,SOL,1918.7777793128,Solar
MLI,2027.0,HFO,158.13888901540005,Heavy Fuel Oil
MLI,2027.0,HYD,4172.8611144494,Hydropower
MLI,2027.0,Imports (CIV),226.97222240380003,Imports (CIV)
MLI,2027.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2027.0,Imports (SEN),2738.7777799688,Imports (SEN)
MLI,2027.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2027.0,LFO,178.5555556984,Light Fuel Oil
MLI,2027.0,SOL,2500.3333353336,Solar
MLI,2028.0,HFO,145.97222233899998,Heavy Fuel Oil
MLI,2028.0,HYD,4172.8611144494,Hydropower
MLI,2028.0,Imports (CIV),502.66666706880005,Imports (CIV)
MLI,2028.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2028.0,Imports (SEN),2738.7777799688,Imports (SEN)
MLI,2028.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2028.0,LFO,164.8333334652,Light Fuel Oil
MLI,2028.0,SOL,2940.8333356860003,Solar
MLI,2029.0,HFO,133.8055556626,Heavy Fuel Oil
MLI,2029.0,HYD,4172.8611144494,Hydropower
MLI,2029.0,Imports (CIV),582.2777782436001,Imports (CIV)
MLI,2029.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2029.0,Imports (SEN),2738.7777799688,Imports (SEN)
MLI,2029.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2029.0,LFO,151.08333345420002,Light Fuel Oil
MLI,2029.0,SOL,3587.9444473148005,Solar
MLI,2030.0,HFO,121.666666764,Heavy Fuel Oil
MLI,2030.0,HYD,4172.8611144494,Hydropower
MLI,2030.0,Imports (CIV),9.2222222296,Imports (CIV)
MLI,2030.0,Imports (GIN),2673.8611132502,Imports (GIN)
MLI,2030.0,Imports (SEN),2359.1111129984,Imports (SEN)
MLI,2030.0,Imports (SLE),2721.3055577326,Imports (SLE)
MLI,2030.0,LFO,137.36111122100002,Light Fuel Oil
MLI,2030.0,SOL,5649.166671186,Solar
