Country,y,f,Total annual production (GWh),Source
NGA,2020.0,BIO,30.7500000246,Biomass
NGA,2020.0,HFO,3277.1111137328003,Heavy Fuel Oil
NGA,2020.0,HYD,12567.4722322762,Hydropower
NGA,2020.0,LFO,214.13888906020003,Light Fuel Oil
NGA,2020.0,NGA,13104.1388993722,Natural Gas
NGA,2020.0,SOL,29.6388889126,Solar
NGA,2020.0,WIN,22.7222222404,Wind
NGA,2021.0,BIO,22720.8889070656,Biomass
NGA,2021.0,HFO,1907.9722237486,Heavy Fuel Oil
NGA,2021.0,HYD,12567.4722322762,Hydropower
NGA,2021.0,LFO,376.250000301,Light Fuel Oil
NGA,2021.0,NGA,12448.9444544036,Natural Gas
NGA,2021.0,SOL,370.0833336294,Solar
NGA,2021.0,WIN,22.083333351,Wind
NGA,2022.0,BIO,46574.3889261484,Biomass
NGA,2022.0,HFO,1807.5555570016,Heavy Fuel Oil
NGA,2022.0,HYD,12567.4722322762,Hydropower
NGA,2022.0,LFO,364.25000029140006,Light Fuel Oil
NGA,2022.0,NGA,11793.750009435,Natural Gas
NGA,2022.0,SOL,451.0000003608001,Solar
NGA,2022.0,WIN,21.472222239400004,Wind
NGA,2023.0,BIO,54719.388932664406,Biomass
NGA,2023.0,HFO,1707.1388902546,Heavy Fuel Oil
NGA,2023.0,HYD,15688.222234772802,Hydropower
NGA,2023.0,Imports (BEN),1437.8611122614002,Imports (BEN)
NGA,2023.0,LFO,352.638889171,Light Fuel Oil
NGA,2023.0,NGA,11138.5277866886,Natural Gas
NGA,2023.0,SOL,508.611111518,Solar
NGA,2023.0,WIN,20.8611111278,Wind
NGA,2024.0,BIO,71290.8889459216,Biomass
NGA,2024.0,HFO,1606.7222235076,Heavy Fuel Oil
NGA,2024.0,HYD,17935.166681014798,Hydropower
NGA,2024.0,Imports (BEN),634.4722227298,Imports (BEN)
NGA,2024.0,LFO,186.41666681580003,Light Fuel Oil
NGA,2024.0,NGA,10483.3055639422,Natural Gas
NGA,2024.0,SOL,919.1944451798,Solar
NGA,2024.0,WIN,20.1944444606,Wind
NGA,2025.0,BIO,89513.3056271662,Biomass
NGA,2025.0,HFO,1506.3055567606,Heavy Fuel Oil
NGA,2025.0,HYD,21055.9166835114,Hydropower
NGA,2025.0,Imports (BEN),233.6944446314,Imports (BEN)
NGA,2025.0,LFO,175.833333474,Light Fuel Oil
NGA,2025.0,NGA,7090.416672339001,Natural Gas
NGA,2025.0,SOL,925.6111118516,Solar
NGA,2025.0,WIN,19.583333349,Wind
NGA,2026.0,BIO,103441.1945271974,Biomass
NGA,2026.0,HFO,1405.8888900136,Heavy Fuel Oil
NGA,2026.0,HYD,24176.666686008,Hydropower
NGA,2026.0,Imports (BEN),1075.1111119712,Imports (BEN)
NGA,2026.0,LFO,170.3611112474,Light Fuel Oil
NGA,2026.0,NGA,6594.2500052754,Natural Gas
NGA,2026.0,SOL,2124.5277794774,Solar
NGA,2026.0,WIN,18.9444444596,Wind
NGA,2027.0,BIO,103439.6667494184,Biomass
NGA,2027.0,HFO,1305.4722232666,Heavy Fuel Oil
NGA,2027.0,HYD,27297.416688504603,Hydropower
NGA,2027.0,Imports (BEN),2025.555557176,Imports (BEN)
NGA,2027.0,LFO,164.5000001316,Light Fuel Oil
NGA,2027.0,NGA,6892.0555610692,Natural Gas
NGA,2027.0,SOL,3297.9722248606004,Solar
NGA,2027.0,WIN,18.333333348,Wind
NGA,2028.0,BIO,103438.1111938616,Biomass
NGA,2028.0,HFO,1205.0555565196,Heavy Fuel Oil
NGA,2028.0,HYD,30418.1666910012,Hydropower
NGA,2028.0,Imports (BEN),2140.833335046,Imports (BEN)
NGA,2028.0,Imports (NER),219.1388890642,Imports (NER)
NGA,2028.0,LFO,128.47222232500002,Light Fuel Oil
NGA,2028.0,NGA,7413.0000059304,Natural Gas
NGA,2028.0,SOL,4598.6944481234,Solar
NGA,2028.0,WIN,17.7222222364,Wind
NGA,2029.0,BIO,103436.58341608262,Biomass
NGA,2029.0,HFO,1104.6111119948,Heavy Fuel Oil
NGA,2029.0,HYD,33538.9166934978,Hydropower
NGA,2029.0,Imports (BEN),2690.0277799298005,Imports (BEN)
NGA,2029.0,Imports (NER),838.8055562266,Imports (NER)
NGA,2029.0,LFO,117.777777872,Light Fuel Oil
NGA,2029.0,NGA,7207.3055613214,Natural Gas
NGA,2029.0,SOL,6056.9166715122,Solar
NGA,2029.0,WIN,17.055555569200003,Wind
NGA,2030.0,BIO,103435.0556383036,Biomass
NGA,2030.0,HFO,1004.1944452478,Heavy Fuel Oil
NGA,2030.0,HYD,36659.6666959944,Hydropower
NGA,2030.0,Imports (BEN),2887.4722245322,Imports (BEN)
NGA,2030.0,Imports (NER),1522.22222344,Imports (NER)
NGA,2030.0,LFO,107.083333419,Light Fuel Oil
NGA,2030.0,NGA,6552.083338575,Natural Gas
NGA,2030.0,SOL,7769.6944506602,Solar
NGA,2030.0,WIN,16.444444457600003,Wind
