Country,y,f,Total annual production (GWh),Source
RWA,2020.0,BIO,6.0833333382,Biomass
RWA,2020.0,HFO,46.9166667042,Heavy Fuel Oil
RWA,2020.0,HYD,463.9166670378,Hydropower
RWA,2020.0,Imports (COD),2790.5277800102,Imports (COD)
RWA,2020.0,Imports (UGA),636.1111116200001,Imports (UGA)
RWA,2020.0,LFO,0.0833333334,Light Fuel Oil
RWA,2020.0,NGA,5.0555555596,Natural Gas
RWA,2020.0,SOL,18.4166666814,Solar
RWA,2021.0,BIO,14.3333333448,Biomass
RWA,2021.0,HFO,44.5555555912,Heavy Fuel Oil
RWA,2021.0,HYD,463.9166670378,Hydropower
RWA,2021.0,Imports (COD),182.8611112574,Imports (COD)
RWA,2021.0,Imports (UGA),838.472222893,Imports (UGA)
RWA,2021.0,LFO,1.8333333348,Light Fuel Oil
RWA,2021.0,NGA,4.8055555594,Natural Gas
RWA,2021.0,SOL,18.3888889036,Solar
RWA,2022.0,BIO,13.5833333442,Biomass
RWA,2022.0,HFO,42.222222256,Heavy Fuel Oil
RWA,2022.0,HYD,680.8055561002,Hydropower
RWA,2022.0,Imports (COD),85.69444451300001,Imports (COD)
RWA,2022.0,Imports (TZA),517.6666670808,Imports (TZA)
RWA,2022.0,Imports (UGA),708.8055561226,Imports (UGA)
RWA,2022.0,LFO,1.8611111126,Light Fuel Oil
RWA,2022.0,NGA,4.555555559200001,Natural Gas
RWA,2022.0,SOL,18.3611111258,Solar
RWA,2023.0,BIO,12.8333333436,Biomass
RWA,2023.0,HFO,39.861111143,Heavy Fuel Oil
RWA,2023.0,HYD,816.4444450976,Hydropower
RWA,2023.0,Imports (TZA),3116.8888913824003,Imports (TZA)
RWA,2023.0,Imports (UGA),579.5555560192,Imports (UGA)
RWA,2023.0,LFO,1.9166666682,Light Fuel Oil
RWA,2023.0,NGA,4.305555559,Natural Gas
RWA,2023.0,SOL,18.3611111258,Solar
RWA,2024.0,BIO,12.083333343,Biomass
RWA,2024.0,GEO,744.6111117068001,Geothermal
RWA,2024.0,HFO,37.5277778078,Heavy Fuel Oil
RWA,2024.0,HYD,816.4444450976,Hydropower
RWA,2024.0,Imports (BDI),149.166666786,Imports (BDI)
RWA,2024.0,Imports (TZA),2318.333335188,Imports (TZA)
RWA,2024.0,Imports (UGA),51.8888889304,Imports (UGA)
RWA,2024.0,LFO,2.1388888906,Light Fuel Oil
RWA,2024.0,NGA,4.027777781,Natural Gas
RWA,2024.0,SOL,21.416666683800003,Solar
RWA,2025.0,BIO,7.5555555616,Biomass
RWA,2025.0,GEO,744.6111117068001,Geothermal
RWA,2025.0,HFO,35.194444472600004,Heavy Fuel Oil
RWA,2025.0,HYD,851.805556237,Hydropower
RWA,2025.0,Imports (BDI),58.3055556022,Imports (BDI)
RWA,2025.0,Imports (COD),1248.3055565542002,Imports (COD)
RWA,2025.0,Imports (TZA),1567.500001254,Imports (TZA)
RWA,2025.0,Imports (UGA),693.4444449992001,Imports (UGA)
RWA,2025.0,LFO,1.250000001,Light Fuel Oil
RWA,2025.0,NGA,3.7777777808,Natural Gas
RWA,2025.0,SOL,49.444444484,Solar
RWA,2026.0,BIO,6.7777777832,Biomass
RWA,2026.0,GEO,744.6111117068001,Geothermal
RWA,2026.0,HFO,32.833333359600005,Heavy Fuel Oil
RWA,2026.0,HYD,851.805556237,Hydropower
RWA,2026.0,Imports (BDI),89.41666673819999,Imports (BDI)
RWA,2026.0,Imports (COD),1248.3055565542002,Imports (COD)
RWA,2026.0,Imports (TZA),1387.4722233322002,Imports (TZA)
RWA,2026.0,Imports (UGA),1134.7500009078,Imports (UGA)
RWA,2026.0,LFO,0.8888888896000001,Light Fuel Oil
RWA,2026.0,NGA,3.5277777806,Natural Gas
RWA,2026.0,SOL,80.02777784180002,Solar
RWA,2027.0,BIO,6.0277777826,Biomass
RWA,2027.0,GEO,1489.1944456358,Geothermal
RWA,2027.0,HFO,30.5000000244,Heavy Fuel Oil
RWA,2027.0,HYD,851.805556237,Hydropower
RWA,2027.0,Imports (BDI),39.1388889202,Imports (BDI)
RWA,2027.0,Imports (COD),1248.3055565542002,Imports (COD)
RWA,2027.0,Imports (TZA),1988.3888904796,Imports (TZA)
RWA,2027.0,Imports (UGA),157.500000126,Imports (UGA)
RWA,2027.0,LFO,1.0000000008,Light Fuel Oil
RWA,2027.0,NGA,3.2777777804,Natural Gas
RWA,2027.0,SOL,108.9722223094,Solar
RWA,2028.0,BIO,5.277777782,Biomass
RWA,2028.0,GEO,1489.1944456358,Geothermal
RWA,2028.0,HFO,28.1388889114,Heavy Fuel Oil
RWA,2028.0,HYD,851.805556237,Hydropower
RWA,2028.0,Imports (BDI),1.1666666676,Imports (BDI)
RWA,2028.0,Imports (COD),1248.3055565542002,Imports (COD)
RWA,2028.0,Imports (TZA),2080.5000016644,Imports (TZA)
RWA,2028.0,Imports (UGA),157.05555568120002,Imports (UGA)
RWA,2028.0,NGA,3.0277777802,Natural Gas
RWA,2028.0,SOL,144.30555567100004,Solar
RWA,2029.0,BIO,4.5277777814,Biomass
RWA,2029.0,GEO,1489.1944456358,Geothermal
RWA,2029.0,HFO,25.8055555762,Heavy Fuel Oil
RWA,2029.0,HYD,851.805556237,Hydropower
RWA,2029.0,Imports (COD),1248.3055565542002,Imports (COD)
RWA,2029.0,Imports (TZA),2080.5000016644,Imports (TZA)
RWA,2029.0,Imports (UGA),187.3888890388,Imports (UGA)
RWA,2029.0,NGA,2.77777778,Natural Gas
RWA,2029.0,SOL,174.02777791700004,Solar
RWA,2030.0,BIO,3.7777777808,Biomass
RWA,2030.0,GEO,2233.8055573426004,Geothermal
RWA,2030.0,HFO,23.444444463200004,Heavy Fuel Oil
RWA,2030.0,HYD,851.805556237,Hydropower
RWA,2030.0,Imports (COD),1248.3055565542002,Imports (COD)
RWA,2030.0,Imports (TZA),1728.9166680498,Imports (TZA)
RWA,2030.0,Imports (UGA),105.277777862,Imports (UGA)
RWA,2030.0,NGA,4.3611111146,Natural Gas
RWA,2030.0,SOL,209.5000001676,Solar
