Country,y,f,Total annual production (GWh),Source
SWZ,2020.0,BIO,175.6388890294,Biomass
SWZ,2020.0,HYD,219.0555557308,Hydropower
SWZ,2020.0,Imports (ZAF),1803.6944458874,Imports (ZAF)
SWZ,2020.0,LFO,1.250000001,Light Fuel Oil
SWZ,2021.0,BIO,16406.4166797918,Biomass
SWZ,2021.0,HYD,219.0555557308,Hydropower
SWZ,2021.0,LFO,1.8888888904000003,Light Fuel Oil
SWZ,2022.0,BIO,16634.750013307803,Biomass
SWZ,2022.0,HYD,219.0555557308,Hydropower
SWZ,2022.0,LFO,1.9166666682,Light Fuel Oil
SWZ,2023.0,BIO,16625.972235523,Biomass
SWZ,2023.0,HYD,219.0555557308,Hydropower
SWZ,2023.0,LFO,1.8611111126,Light Fuel Oil
SWZ,2024.0,BIO,16617.194457738202,Biomass
SWZ,2024.0,HYD,465.3888892612,Hydropower
SWZ,2024.0,Imports (MOZ),206.7500001654,Imports (MOZ)
SWZ,2024.0,LFO,1.805555557,Light Fuel Oil
SWZ,2025.0,BIO,16564.500013251603,Biomass
SWZ,2025.0,HYD,465.3888892612,Hydropower
SWZ,2025.0,Imports (MOZ),573.3333337920001,Imports (MOZ)
SWZ,2025.0,LFO,1.2777777788,Light Fuel Oil
SWZ,2026.0,BIO,16555.694457689002,Biomass
SWZ,2026.0,HYD,465.3888892612,Hydropower
SWZ,2026.0,Imports (MOZ),940.0833340854,Imports (MOZ)
SWZ,2026.0,LFO,1.1944444454,Light Fuel Oil
SWZ,2027.0,BIO,16546.9166799042,Biomass
SWZ,2027.0,HYD,465.3888892612,Hydropower
SWZ,2027.0,Imports (MOZ),1144.8888898048,Imports (MOZ)
SWZ,2027.0,LFO,1.1388888897999998,Light Fuel Oil
SWZ,2027.0,SOL,313.6388891398,Solar
SWZ,2028.0,BIO,16538.1389021194,Biomass
SWZ,2028.0,HYD,465.3888892612,Hydropower
SWZ,2028.0,Imports (MOZ),1312.1944454942002,Imports (MOZ)
SWZ,2028.0,LFO,0.7500000006,Light Fuel Oil
SWZ,2028.0,SOL,770.4722228386,Solar
SWZ,2029.0,BIO,17267.8333471476,Biomass
SWZ,2029.0,HYD,465.3888892612,Hydropower
SWZ,2029.0,Imports (MOZ),1054.3888897324,Imports (MOZ)
SWZ,2029.0,LFO,0.694444445,Light Fuel Oil
SWZ,2029.0,SOL,1266.1666676796,Solar
SWZ,2030.0,BIO,17259.0555693628,Biomass
SWZ,2030.0,HYD,465.3888892612,Hydropower
SWZ,2030.0,Imports (MOZ),1113.3055564462002,Imports (MOZ)
SWZ,2030.0,LFO,0.6111111116000001,Light Fuel Oil
SWZ,2030.0,SOL,2030.138890513,Solar
