Country,y,f,Total annual production (GWh),Source
TGO,2020.0,HFO,8.388888895600001,Heavy Fuel Oil
TGO,2020.0,HYD,582.1388893546,Hydropower
TGO,2020.0,Imports (BEN),547.1944448822001,Imports (BEN)
TGO,2020.0,Imports (GHA),366.0277780706001,Imports (GHA)
TGO,2020.0,LFO,96.3611111882,Light Fuel Oil
TGO,2020.0,SOL,5.0555555596,Solar
TGO,2021.0,BIO,1564.4722234738,Biomass
TGO,2021.0,HFO,1.5833333346,Heavy Fuel Oil
TGO,2021.0,HYD,582.1388893546,Hydropower
TGO,2021.0,LFO,89.583333405,Light Fuel Oil
TGO,2021.0,SOL,4.9722222262,Solar
TGO,2022.0,BIO,2312.0277796274,Biomass
TGO,2022.0,HFO,1.5000000012,Heavy Fuel Oil
TGO,2022.0,HYD,582.1388893546,Hydropower
TGO,2022.0,LFO,89.3333334048,Light Fuel Oil
TGO,2022.0,SOL,4.861111115000001,Solar
TGO,2023.0,BIO,2312.0277796274,Biomass
TGO,2023.0,HFO,1.4166666678000002,Heavy Fuel Oil
TGO,2023.0,HYD,1251.6388898901998,Hydropower
TGO,2023.0,Imports (GHA),0.3611111114,Imports (GHA)
TGO,2023.0,LFO,83.94444451160001,Light Fuel Oil
TGO,2023.0,SOL,49.166666706,Solar
TGO,2024.0,BIO,2355.5277796622004,Biomass
TGO,2024.0,HFO,1.3333333344,Heavy Fuel Oil
TGO,2024.0,HYD,1251.6388898901998,Hydropower
TGO,2024.0,Imports (BEN),277.638889111,Imports (BEN)
TGO,2024.0,Imports (GHA),217.5277779518,Imports (GHA)
TGO,2024.0,LFO,76.91666672820001,Light Fuel Oil
TGO,2024.0,SOL,98.0277778562,Solar
TGO,2025.0,BIO,3008.3888912956,Biomass
TGO,2025.0,HFO,1.250000001,Heavy Fuel Oil
TGO,2025.0,HYD,1251.6388898901998,Hydropower
TGO,2025.0,Imports (BEN),246.3333335304,Imports (BEN)
TGO,2025.0,Imports (GHA),246.6944446418,Imports (GHA)
TGO,2025.0,LFO,72.88888894719999,Light Fuel Oil
TGO,2025.0,SOL,140.4722223346,Solar
TGO,2026.0,BIO,3008.3888912956,Biomass
TGO,2026.0,HFO,1.1666666676,Heavy Fuel Oil
TGO,2026.0,HYD,1251.6388898901998,Hydropower
TGO,2026.0,Imports (BEN),635.416667175,Imports (BEN)
TGO,2026.0,Imports (GHA),508.6944448514,Imports (GHA)
TGO,2026.0,Imports (NER),0.0833333334,Imports (NER)
TGO,2026.0,LFO,68.2777778324,Light Fuel Oil
TGO,2026.0,SOL,190.8888890416,Solar
TGO,2027.0,BIO,3008.3888912956,Biomass
TGO,2027.0,HFO,1.0833333342,Heavy Fuel Oil
TGO,2027.0,HYD,1251.6388898901998,Hydropower
TGO,2027.0,Imports (BEN),252.222222424,Imports (BEN)
TGO,2027.0,Imports (GHA),1096.8888897664,Imports (GHA)
TGO,2027.0,LFO,61.0833333822,Light Fuel Oil
TGO,2027.0,SOL,255.416666871,Solar
TGO,2028.0,BIO,3008.3888912956,Biomass
TGO,2028.0,HFO,1.0000000008,Heavy Fuel Oil
TGO,2028.0,HYD,1251.6388898901998,Hydropower
TGO,2028.0,Imports (BEN),170.97222235900003,Imports (BEN)
TGO,2028.0,Imports (GHA),1137.4722231322,Imports (GHA)
TGO,2028.0,LFO,56.38888893400001,Light Fuel Oil
TGO,2028.0,SOL,569.7500004558,Solar
TGO,2029.0,BIO,3008.3888912956,Biomass
TGO,2029.0,HFO,0.9166666674,Heavy Fuel Oil
TGO,2029.0,HYD,1251.6388898901998,Hydropower
TGO,2029.0,Imports (GHA),871.1944451414,Imports (GHA)
TGO,2029.0,LFO,51.6944444858,Light Fuel Oil
TGO,2029.0,SOL,1446.8055567129998,Solar
TGO,2030.0,BIO,3008.3888912956,Biomass
TGO,2030.0,HFO,0.8333333340000001,Heavy Fuel Oil
TGO,2030.0,HYD,1251.6388898901998,Hydropower
TGO,2030.0,Imports (GHA),406.3611114362,Imports (GHA)
TGO,2030.0,LFO,47.0000000376,Light Fuel Oil
TGO,2030.0,SOL,2656.6388910142,Solar
