Country,y,f,Total installed capacity (GW),Source
BWA,2020,COA,0.752,Coal
BWA,2020,LFO,0.1915899994732051,Light Fuel Oil
BWA,2020,SOL,0.0983451616364121,Solar
BWA,2021,COA,0.752,Coal
BWA,2021,LFO,0.1831085994732051,Light Fuel Oil
BWA,2021,SOL,0.0982801616364121,Solar
BWA,2022,COA,0.752,Coal
BWA,2022,LFO,0.1746271994732051,Light Fuel Oil
BWA,2022,SOL,0.0982151616364121,Solar
BWA,2023,COA,0.7144,Coal
BWA,2023,LFO,0.1661457994732051,Light Fuel Oil
BWA,2023,SOL,0.0981501616364121,Solar
BWA,2024,COA,0.6768,Coal
BWA,2024,LFO,0.1576643994732051,Light Fuel Oil
BWA,2024,SOL,0.1992004969280427,Solar
BWA,2025,COA,0.6392,Coal
BWA,2025,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2025,LFO,0.1491829994732051,Light Fuel Oil
BWA,2025,SOL,0.3115828255788369,Solar
BWA,2026,BIO,0.0268567104900649,Biomass
BWA,2026,COA,0.6016,Coal
BWA,2026,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2026,LFO,0.1407015994732051,Light Fuel Oil
BWA,2026,SOL,0.5115178255788368,Solar
BWA,2027,BIO,0.0268567104900649,Biomass
BWA,2027,COA,0.564,Coal
BWA,2027,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2027,LFO,0.1322201994732051,Light Fuel Oil
BWA,2027,SOL,0.674691634940764,Solar
BWA,2028,BIO,0.0268567104900649,Biomass
BWA,2028,COA,0.5264,Coal
BWA,2028,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2028,LFO,0.1017768,Light Fuel Oil
BWA,2028,SOL,0.7746266349407639,Solar
BWA,2029,BIO,0.0268567104900649,Biomass
BWA,2029,COA,0.5378163662669063,Coal
BWA,2029,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2029,LFO,0.0932954,Light Fuel Oil
BWA,2029,SOL,0.9510232245600286,Solar
BWA,2030,BIO,0.0268567104900649,Biomass
BWA,2030,COA,0.5488873144263153,Coal
BWA,2030,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2030,LFO,0.084814,Light Fuel Oil
BWA,2030,SOL,1.1509582245600285,Solar
