Country,y,f,Total installed capacity (GW),Source
CAF,2020,HYD,0.018751,Hydropower
CAF,2020,LFO,0.043863142530743,Light Fuel Oil
CAF,2021,BIO,0.0290582041631886,Biomass
CAF,2021,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2021,HYD,0.018751,Hydropower
CAF,2021,LFO,0.043491492530743,Light Fuel Oil
CAF,2022,BIO,0.0290582041631886,Biomass
CAF,2022,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2022,HYD,0.018751,Hydropower
CAF,2022,LFO,0.043119842530743,Light Fuel Oil
CAF,2023,BIO,0.0290582041631886,Biomass
CAF,2023,COA,0.0180266781043898,Coal
CAF,2023,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2023,HYD,0.018751,Hydropower
CAF,2023,LFO,0.0427481925307429,Light Fuel Oil
CAF,2024,BIO,0.0290582041631886,Biomass
CAF,2024,COA,0.0243746549172367,Coal
CAF,2024,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2024,HYD,0.018751,Hydropower
CAF,2024,LFO,0.0423765425307429,Light Fuel Oil
CAF,2025,BIO,0.0290582041631886,Biomass
CAF,2025,COA,0.0320615752573228,Coal
CAF,2025,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2025,HYD,0.018751,Hydropower
CAF,2025,LFO,0.0057824894529222,Light Fuel Oil
CAF,2026,BIO,0.0290582041631886,Biomass
CAF,2026,COA,0.0384896986820385,Coal
CAF,2026,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2026,HYD,0.018751,Hydropower
CAF,2026,LFO,0.0052031,Light Fuel Oil
CAF,2026,SOL,0.0034290262114578,Solar
CAF,2027,BIO,0.0290582041631886,Biomass
CAF,2027,COA,0.040585346501637,Coal
CAF,2027,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2027,HYD,0.018751,Hydropower
CAF,2027,LFO,0.00483145,Light Fuel Oil
CAF,2027,SOL,0.0070474551202888,Solar
CAF,2028,BIO,0.0290582041631886,Biomass
CAF,2028,COA,0.042214559348361,Coal
CAF,2028,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2028,HYD,0.018751,Hydropower
CAF,2028,LFO,0.0044598,Light Fuel Oil
CAF,2028,SOL,0.0115689017901654,Solar
CAF,2029,BIO,0.0290582041631886,Biomass
CAF,2029,COA,0.0438848454767453,Coal
CAF,2029,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2029,HYD,0.018751,Hydropower
CAF,2029,LFO,0.00408815,Light Fuel Oil
CAF,2029,SOL,0.0161307269927431,Solar
CAF,2030,BIO,0.0290582041631886,Biomass
CAF,2030,COA,0.0460037887456564,Coal
CAF,2030,HFO,0.0055118556802549,Heavy Fuel Oil
CAF,2030,HYD,0.018751,Hydropower
CAF,2030,LFO,0.0037165,Light Fuel Oil
CAF,2030,SOL,0.0214225621992629,Solar
