Country,y,f,Total installed capacity (GW),Source
LSO,2020,HFO,0.0012,Heavy Fuel Oil
LSO,2020,HYD,0.0769059999999999,Hydropower
LSO,2020,LFO,0.0191918262554105,Light Fuel Oil
LSO,2021,HFO,0.00114,Heavy Fuel Oil
LSO,2021,HYD,0.0769059999999999,Hydropower
LSO,2021,LFO,0.0191698262554105,Light Fuel Oil
LSO,2022,HFO,0.00108,Heavy Fuel Oil
LSO,2022,HYD,0.0769059999999999,Hydropower
LSO,2022,LFO,0.0191478262554105,Light Fuel Oil
LSO,2023,HFO,0.00102,Heavy Fuel Oil
LSO,2023,HYD,0.0769059999999999,Hydropower
LSO,2023,LFO,0.0191258262554105,Light Fuel Oil
LSO,2024,HFO,0.00096,Heavy Fuel Oil
LSO,2024,HYD,0.0867246747258733,Hydropower
LSO,2024,LFO,0.0191038262554105,Light Fuel Oil
LSO,2024,SOL,0.1,Solar
LSO,2025,HFO,0.0009,Heavy Fuel Oil
LSO,2025,HYD,0.0997045991254567,Hydropower
LSO,2025,LFO,0.0190818262554105,Light Fuel Oil
LSO,2025,SOL,0.2,Solar
LSO,2026,HFO,0.00084,Heavy Fuel Oil
LSO,2026,HYD,0.1126694701552868,Hydropower
LSO,2026,LFO,0.009784047674975,Light Fuel Oil
LSO,2026,SOL,0.3,Solar
LSO,2027,HFO,0.00078,Heavy Fuel Oil
LSO,2027,HYD,0.1126694701552868,Hydropower
LSO,2027,LFO,0.0097620476749751,Light Fuel Oil
LSO,2027,SOL,0.4137506454008669,Solar
LSO,2028,HFO,0.00072,Heavy Fuel Oil
LSO,2028,HYD,0.1126694701552868,Hydropower
LSO,2028,LFO,0.000264,Light Fuel Oil
LSO,2028,SOL,0.5683021657595652,Solar
LSO,2029,HFO,0.00066,Heavy Fuel Oil
LSO,2029,HYD,0.1126694701552868,Hydropower
LSO,2029,LFO,0.000242,Light Fuel Oil
LSO,2029,SOL,0.7683021657595652,Solar
LSO,2030,HFO,0.0006,Heavy Fuel Oil
LSO,2030,HYD,0.1126694701552868,Hydropower
LSO,2030,LFO,0.00022,Light Fuel Oil
LSO,2030,SOL,0.993741602946618,Solar
